TSI CPC DATA VERSION 3
1489602425,2017/3/15,18:27:05
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/15,18:26:54,1.30e3,42327,14.95,,993,0.000,2677,361,0
2017/3/15,18:27:10,1.30e3,42521,14.95,,993,0.000,2662,371,0
2017/3/15,18:27:25,1.30e3,42366,14.95,,993,0.000,2617,422,0
2017/3/15,18:27:40,1.30e3,42430,14.95,,993,0.000,2614,405,0
2017/3/15,18:27:55,1.28e3,41761,14.96,,993,0.000,2635,377,0
2017/3/15,18:28:10,1.30e3,42320,14.96,,993,0.000,2598,423,0
2017/3/15,18:28:25,1.29e3,41929,14.96,,993,0.000,2587,427,0
2017/3/15,18:28:40,1.32e3,43159,14.95,,993,0.000,2601,401,0
2017/3/15,18:28:55,1.32e3,43021,14.95,,993,0.000,2604,408,0
2017/3/15,18:29:10,1.32e3,43152,14.95,,993,0.000,2604,402,0
2017/3/15,18:29:25,1.29e3,41992,14.96,,993,0.000,2585,419,0
2017/3/15,18:29:40,1.27e3,41277,14.96,,993,0.000,2579,430,0
2017/3/15,18:29:55,1.32e3,42916,14.95,,993,0.000,2561,446,0
2017/3/15,18:30:10,1.31e3,42594,14.96,,993,0.000,2579,443,0
2017/3/15,18:30:25,1.31e3,42616,14.96,,993,0.000,2585,418,0
2017/3/15,18:30:40,1.24e3,40484,14.96,,993,0.000,2623,388,0
2017/3/15,18:30:55,1.23e3,40223,14.96,,993,0.000,2575,441,0
2017/3/15,18:31:10,1.26e3,40968,14.96,,993,0.000,2600,405,0
2017/3/15,18:31:25,1.27e3,41279,14.96,,993,0.000,2613,393,0
2017/3/15,18:31:40,1.23e3,40211,14.96,,993,0.000,2564,467,0
2017/3/15,18:31:55,1.19e3,38827,14.96,,993,0.000,2597,415,0
2017/3/15,18:32:10,1.17e3,38124,14.96,,993,0.000,2595,412,0
2017/3/15,18:32:25,1.11e3,36318,14.96,,993,0.000,2612,405,0
2017/3/15,18:32:40,1.08e3,35132,14.96,,993,0.000,2579,449,0
2017/3/15,18:32:55,1.04e3,33858,14.96,,993,0.000,2602,419,0
2017/3/15,18:33:10,2.20e3,71521,14.93,,993,0.000,2626,338,0
2017/3/15,18:33:25,5.00e3,161020,14.84,,993,0.000,2618,345,0
2017/3/15,18:33:40,1.63e4,513866,14.51,,993,0.000,2492,383,0
2017/3/15,18:33:55,2.26e4,702814,14.34,,993,0.000,2427,373,0
2017/3/15,18:34:10,2.22e4,693577,14.35,,993,0.000,2443,372,0
2017/3/15,18:34:25,3.02e4,924649,14.14,,993,0.000,2357,383,0
2017/3/15,18:34:40,3.19e4,977436,14.1,,993,0.000,2335,396,0
2017/3/15,18:34:55,3.37e4,1027221,14.05,,993,0.000,2314,386,0
2017/3/15,18:35:10,3.77e4,1141257,13.95,,993,0.000,2266,412,0
2017/3/15,18:35:25,4.32e4,1292484,13.81,,993,0.000,2220,393,0
2017/3/15,18:35:40,4.81e4,1427197,13.69,,993,0.000,2172,419,0
2017/3/15,18:35:55,4.90e4,1452748,13.66,,993,0.000,2193,371,0
2017/3/15,18:36:10,5.45e4,1600830,13.53,,993,0.000,2124,388,0
2017/3/15,18:36:25,5.85e4,1702904,13.43,,993,0.000,2103,364,0
2017/3/15,18:36:40,6.02e4,1747807,13.39,,993,0.000,2081,386,0
2017/3/15,18:36:55,5.96e4,1732465,13.41,,993,0.000,2097,391,0
2017/3/15,18:37:10,6.23e4,1802792,13.34,,993,0.000,2078,374,0
2017/3/15,18:37:25,6.61e4,1898386,13.25,,993,0.000,2081,373,0
2017/3/15,18:37:40,7.23e4,2053937,13.1,,993,0.000,2030,405,0
2017/3/15,18:37:55,7.79e4,2191672,12.97,,993,0.000,2011,363,0
2017/3/15,18:38:10,7.64e4,2155680,13.0,,993,0.000,2008,384,0
2017/3/15,18:38:25,7.71e4,2171929,12.99,,993,0.000,1997,379,0
2017/3/15,18:38:40,7.96e4,2231836,12.93,,993,0.000,1981,379,0
2017/3/15,18:38:55,8.23e4,2295607,12.86,,993,0.000,1992,375,0
2017/3/15,18:39:10,8.62e4,2387635,12.77,,993,0.000,1967,389,0
2017/3/15,18:39:25,9.01e4,2478254,12.68,,993,0.000,1929,379,0
2017/3/15,18:39:40,9.25e4,2532424,12.62,,993,0.000,1953,397,0
2017/3/15,18:39:55,9.28e4,2539563,12.62,,993,0.000,1949,385,0
2017/3/15,18:40:10,9.71e4,2636524,12.52,,993,0.000,1901,374,0
