TSI CPC DATA VERSION 3
1490461140,2017/3/25,16:59:00
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/25,16:59:00,1.83e4,575392,14.45,,1019,0.000,2476,415,0
2017/3/25,16:59:15,1.80e4,565800,14.46,,1019,0.000,2509,404,0
2017/3/25,16:59:30,1.80e4,566839,14.46,,1019,0.000,2513,383,0
2017/3/25,16:59:45,1.76e4,552958,14.47,,1020,0.000,2500,417,0
2017/3/25,17:00:00,1.76e4,554897,14.47,,1019,0.000,2510,401,0
2017/3/25,17:00:15,1.68e4,528104,14.49,,1019,0.000,2521,397,0
2017/3/25,17:00:30,1.64e4,516943,14.5,,1019,0.000,2525,393,0
2017/3/25,17:00:45,1.73e4,545069,14.48,,1019,0.000,2531,393,0
2017/3/25,17:01:00,1.70e4,534200,14.49,,1019,0.000,2509,416,0
2017/3/25,17:01:15,1.66e4,524364,14.5,,1019,0.000,2512,417,0
2017/3/25,17:01:30,1.63e4,513171,14.51,,1019,0.000,2486,424,0
2017/3/25,17:01:45,1.61e4,509525,14.51,,1020,0.000,2520,377,0
2017/3/25,17:02:00,1.56e4,493052,14.53,,1019,0.000,2551,369,0
2017/3/25,17:02:15,1.53e4,483956,14.53,,1019,0.000,2534,379,0
2017/3/25,17:02:30,1.51e4,477629,14.54,,1019,0.000,2542,368,0
2017/3/25,17:02:45,1.50e4,475160,14.54,,1019,0.000,2517,394,0
2017/3/25,17:03:00,1.51e4,477411,14.54,,1019,0.000,2523,397,0
2017/3/25,17:03:15,1.50e4,474294,14.54,,1019,0.000,2521,407,0
2017/3/25,17:03:30,1.47e4,466486,14.55,,1019,0.000,2535,394,0
2017/3/25,17:03:45,1.41e4,448178,14.57,,1019,0.000,2528,408,0
2017/3/25,17:04:00,1.54e4,487976,14.53,,1019,0.000,2519,394,0
2017/3/25,17:04:15,1.44e4,455626,14.56,,1019,0.000,2486,438,0
2017/3/25,17:04:30,1.48e4,468701,14.55,,1019,0.000,2514,408,0
2017/3/25,17:04:45,1.47e4,464299,14.55,,1019,0.000,2561,355,0
2017/3/25,17:05:00,1.46e4,462375,14.55,,1019,0.000,2515,390,0
2017/3/25,17:05:15,2.34e4,725976,14.32,,1019,0.000,2432,416,0
2017/3/25,17:05:30,3.76e4,1136175,13.95,,1020,0.000,2310,422,0
2017/3/25,17:05:45,3.90e4,1174292,13.91,,1020,0.000,2268,428,0
2017/3/25,17:06:00,3.79e4,1145494,13.94,,1019,0.000,2303,391,0
