TSI CPC DATA VERSION 3
1490034016,2017/3/20,18:20:16
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/20,18:20:14,2.54e3,82705,14.91,,1007,0.000,2396,552,0
2017/3/20,18:20:29,2.57e3,83549,14.91,,1007,0.000,2441,507,0
2017/3/20,18:20:44,2.55e3,83064,14.91,,1007,0.000,2445,539,0
2017/3/20,18:20:59,2.53e3,82417,14.91,,1007,0.000,2489,482,0
2017/3/20,18:21:14,2.50e3,81554,14.91,,1007,0.000,2517,478,0
2017/3/20,18:21:29,2.47e3,80537,14.91,,1007,0.000,2515,482,0
2017/3/20,18:21:44,2.47e3,80351,14.91,,1007,0.000,2518,461,0
2017/3/20,18:21:59,2.44e3,79563,14.91,,1007,0.000,2548,472,0
2017/3/20,18:22:14,2.42e3,78907,14.91,,1007,0.000,2526,479,0
2017/3/20,18:22:29,2.40e3,78308,14.91,,1007,0.000,2509,509,0
2017/3/20,18:22:44,2.37e3,77348,14.91,,1007,0.000,2542,479,0
2017/3/20,18:22:59,2.37e3,77339,14.91,,1007,0.000,2565,455,0
2017/3/20,18:23:14,2.35e3,76510,14.91,,1007,0.000,2551,474,0
2017/3/20,18:23:29,2.35e3,76470,14.91,,1007,0.000,2523,483,0
2017/3/20,18:23:44,2.35e3,76529,14.91,,1007,0.000,2564,462,0
2017/3/20,18:23:59,2.35e3,76401,14.91,,1007,0.000,2543,477,0
2017/3/20,18:24:14,2.34e3,76310,14.91,,1007,0.000,2539,472,0
2017/3/20,18:24:29,2.29e3,74588,14.91,,1007,0.000,2523,505,0
2017/3/20,18:24:44,2.29e3,74554,14.91,,1007,0.000,2545,462,0
2017/3/20,18:24:59,2.27e3,74054,14.91,,1007,0.000,2553,462,0
2017/3/20,18:25:14,2.24e3,73099,14.91,,1007,0.000,2540,488,0
2017/3/20,18:25:29,2.27e3,73992,14.91,,1007,0.000,2534,476,0
2017/3/20,18:25:44,2.25e3,73151,14.91,,1007,0.000,2532,482,0
2017/3/20,18:25:59,2.24e3,73007,14.91,,1007,0.000,2509,494,0
2017/3/20,18:26:14,2.28e3,74115,14.91,,1007,0.000,2508,528,0
2017/3/20,18:26:29,2.26e3,73657,14.91,,1007,0.000,2514,498,0
2017/3/20,18:26:44,2.28e3,74314,14.91,,1007,0.000,2496,515,0
2017/3/20,18:26:59,2.25e3,73135,14.91,,1007,0.000,2543,482,0
2017/3/20,18:27:14,2.31e3,75176,14.91,,1007,0.000,2484,538,0
2017/3/20,18:27:29,2.38e3,77463,14.91,,1007,0.000,2506,504,0
2017/3/20,18:27:44,4.29e3,138156,14.84,,1007,0.000,2482,506,0
2017/3/20,18:27:59,9.09e3,289289,14.68,,1007,0.000,2443,467,0
2017/3/20,18:28:14,7.56e3,241745,14.73,,1007,0.000,2497,433,0
2017/3/20,18:28:29,6.51e3,208680,14.76,,1007,0.000,2507,438,0
2017/3/20,18:28:44,8.99e3,286498,14.68,,1007,0.000,2481,411,0
2017/3/20,18:28:59,1.99e4,613553,14.33,,1007,0.000,2341,444,0
2017/3/20,18:29:14,2.06e4,641153,14.3,,1007,0.000,2314,445,0
2017/3/20,18:29:29,2.90e4,880135,14.06,,1007,0.000,2232,463,0
2017/3/20,18:29:44,4.83e4,1409716,13.5,,1007,0.000,2036,434,0
2017/3/20,18:29:59,4.95e4,1438261,13.47,,1007,0.000,2005,440,0
2017/3/20,18:30:14,9.78e4,2557406,12.2,,1007,0.000,1805,447,0
2017/3/20,18:30:29,8.09e4,2203008,12.63,,1007,0.000,1834,460,0
2017/3/20,18:30:44,8.34e4,2260349,12.56,,1007,0.000,1849,472,0
2017/3/20,18:30:59,1.24e5,3097056,11.54,,1007,0.000,1754,483,0
2017/3/20,18:31:14,1.31e5,3220754,11.37,,1007,0.000,1726,482,0
2017/3/20,18:31:29,1.22e5,3052884,11.6,,1007,0.000,1726,458,0
2017/3/20,18:31:44,1.43e5,3408559,11.11,,1007,0.000,1678,472,0
2017/3/20,18:31:59,1.89e5,4114752,10.08,,1007,0.000,1596,513,0
2017/3/20,18:32:14,1.39e5,3380170,11.17,,1007,0.000,1697,502,0
2017/3/20,18:32:29,1.61e5,3719901,10.69,,1007,0.000,1682,517,0
2017/3/20,18:32:44,2.27e5,4561305,9.341,,1007,0.000,1568,516,0
2017/3/20,18:32:59,1.84e5,4060712,10.18,,1007,0.000,1634,535,0
2017/3/20,18:33:14,2.06e5,4341111,9.741,,1007,0.000,1568,513,0
2017/3/20,18:33:29,2.18e5,4493511,9.5,,1007,0.000,1572,520,0
2017/3/20,18:33:44,2.18e5,4489058,9.487,,1007,0.000,1558,539,0
2017/3/20,18:33:59,2.38e5,4698704,9.119,,1007,0.000,1535,538,0
2017/3/20,18:34:14,2.51e5,4809557,8.892,,1007,0.000,1530,520,0
2017/3/20,18:34:29,2.63e5,4935529,8.656,,1007,0.000,1503,546,0
2017/3/20,18:34:44,2.68e5,4979844,8.564,,1007,0.000,1507,540,0
2017/3/20,18:34:59,2.80e5,5071052,8.356,,1007,0.000,1500,527,0
2017/3/20,18:35:14,2.97e5,5194086,8.068,,1007,0.000,1477,560,0
2017/3/20,18:35:29,3.30e5,5399801,7.534,,1007,0.000,1424,566,0
2017/3/20,18:35:44,3.35e5,5423669,7.463,,1007,0.000,1470,573,0
2017/3/20,18:35:59,3.47e5,5479890,7.279,,1007,0.000,1480,560,0
2017/3/20,18:36:14,3.66e5,5548472,7.009,,1007,0.000,1389,537,0
2017/3/20,18:36:29,3.64e5,5555255,7.035,,1007,0.000,1446,585,0
2017/3/20,18:36:44,3.66e5,5555496,7.01,,1007,0.000,1427,545,0
2017/3/20,18:36:59,3.79e5,5605262,6.816,,1007,0.000,1440,599,0
2017/3/20,18:37:14,4.02e5,5663003,6.507,,1007,0.000,1419,566,0
2017/3/20,18:37:29,3.98e5,5664477,6.566,,1007,0.000,1406,567,0
2017/3/20,18:37:44,4.26e5,5726000,6.208,,1007,0.000,1363,589,0
2017/3/20,18:37:59,4.22e5,5713913,6.244,,1007,0.000,1427,589,0
