TSI CPC DATA VERSION 3
1490468060,2017/3/25,18:54:20
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/25,18:54:15,6.51e4,1852148,13.13,,1021,0.000,2070,449,0
2017/3/25,18:54:30,6.70e4,1919083,13.21,,1021,0.000,2059,458,0
2017/3/25,18:54:45,7.08e4,2014545,13.12,,1021,0.000,2045,447,0
2017/3/25,18:55:00,7.49e4,2114374,13.02,,1021,0.000,2031,452,0
2017/3/25,18:55:15,7.75e4,2178492,12.96,,1021,0.000,2036,401,0
2017/3/25,18:55:30,7.29e4,2065026,13.07,,1021,0.000,2032,432,0
2017/3/25,18:55:45,6.93e4,1978010,13.15,,1021,0.000,2060,435,0
2017/3/25,18:56:00,6.61e4,1895972,13.23,,1021,0.000,2122,424,0
2017/3/25,18:56:15,6.62e4,1899095,13.23,,1021,0.000,2067,461,0
2017/3/25,18:56:30,6.53e4,1875601,13.25,,1021,0.000,2091,435,0
2017/3/25,18:56:45,6.25e4,1804907,13.32,,1021,0.000,2139,422,0
2017/3/25,18:57:00,6.20e4,1793650,13.33,,1021,0.000,2109,443,0
2017/3/25,18:57:15,6.16e4,1782077,13.34,,1021,0.000,2089,430,0
2017/3/25,18:57:30,6.05e4,1753099,13.36,,1021,0.000,2137,428,0
2017/3/25,18:57:45,5.97e4,1732995,13.38,,1021,0.000,2132,443,0
2017/3/25,18:58:00,6.08e4,1761875,13.35,,1021,0.000,2121,444,0
2017/3/25,18:58:15,6.04e4,1752233,13.36,,1021,0.000,2139,433,0
2017/3/25,18:58:30,5.97e4,1732951,13.38,,1021,0.000,2111,447,0
2017/3/25,18:58:45,5.73e4,1671326,13.44,,1021,0.000,2111,468,0
2017/3/25,18:59:00,5.55e4,1624736,13.48,,1021,0.000,2119,484,0
2017/3/25,18:59:15,5.64e4,1647920,13.46,,1021,0.000,2142,437,0
2017/3/25,18:59:30,5.62e4,1641928,13.47,,1021,0.000,2124,435,0
2017/3/25,18:59:45,5.58e4,1630498,13.48,,1021,0.000,2144,443,0
2017/3/25,19:00:00,5.84e4,1697833,13.41,,1021,0.000,2117,461,0
2017/3/25,19:00:15,5.96e4,1729101,13.38,,1021,0.000,2139,429,0
2017/3/25,19:00:30,7.17e4,2035590,13.1,,1021,0.000,2064,444,0
2017/3/25,19:00:45,8.39e4,2324581,12.81,,1021,0.000,2006,443,0
2017/3/25,19:01:00,1.03e5,2737025,12.39,,1021,0.000,1949,419,0
2017/3/25,19:01:15,1.44e5,3591710,11.47,,1021,0.000,1854,460,0
2017/3/25,19:01:30,1.62e5,3857193,11.14,,1021,0.000,1796,467,0
2017/3/25,19:01:45,2.22e5,4779009,10.0,,1021,0.000,1701,458,0
2017/3/25,19:02:00,2.25e5,4812157,9.947,,1021,0.000,1650,476,0
2017/3/25,19:02:15,2.66e5,5240297,9.248,,1021,0.000,1632,522,0
