TSI CPC DATA VERSION 3
1489768251,2017/3/17,16:30:51
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/17,16:30:45,1.58e3,50440,14.67,,1013,0.000,2572,463,0
2017/3/17,16:31:00,1.39e3,45254,14.95,,1013,0.000,2552,491,0
2017/3/17,16:31:15,1.33e3,43484,14.95,,1013,0.000,2565,472,0
2017/3/17,16:31:30,1.38e3,45121,14.95,,1012,0.000,2545,462,0
2017/3/17,16:31:45,1.35e3,43898,14.95,,1012,0.000,2574,454,0
2017/3/17,16:32:00,1.29e3,41990,14.96,,1013,0.000,2563,465,0
2017/3/17,16:32:15,1.31e3,42820,14.95,,1012,0.000,2564,465,0
2017/3/17,16:32:30,1.44e3,46825,14.95,,1012,0.000,2556,451,0
2017/3/17,16:32:45,1.43e3,46704,14.95,,1012,0.000,2580,421,0
2017/3/17,16:33:00,1.29e3,42221,14.96,,1012,0.000,2580,441,0
2017/3/17,16:33:15,1.30e3,42293,14.96,,1012,0.000,2603,401,0
2017/3/17,16:33:30,1.30e3,42512,14.96,,1012,0.000,2576,428,0
2017/3/17,16:33:45,1.32e3,42937,14.95,,1012,0.000,2575,440,0
2017/3/17,16:34:00,1.31e3,42734,14.95,,1012,0.000,2564,452,0
2017/3/17,16:34:15,1.29e3,42074,14.96,,1012,0.000,2573,447,0
2017/3/17,16:34:30,1.28e3,41632,14.96,,1012,0.000,2574,451,0
2017/3/17,16:34:45,1.27e3,41296,14.96,,1013,0.000,2589,416,0
2017/3/17,16:35:00,1.28e3,41773,14.96,,1012,0.000,2592,430,0
2017/3/17,16:35:15,1.28e3,41890,14.96,,1012,0.000,2602,426,0
2017/3/17,16:35:30,1.28e3,41682,14.96,,1012,0.000,2567,455,0
2017/3/17,16:35:45,1.27e3,41502,14.96,,1013,0.000,2573,439,0
2017/3/17,16:36:00,1.27e3,41580,14.96,,1012,0.000,2562,466,0
2017/3/17,16:36:15,1.32e3,43177,14.95,,1013,0.000,2558,463,0
2017/3/17,16:36:30,2.14e3,69436,14.93,,1012,0.000,2574,443,0
2017/3/17,16:36:45,6.23e3,199948,14.8,,1012,0.000,2501,477,0
2017/3/17,16:37:00,2.81e4,841818,14.2,,1012,0.000,2326,500,0
2017/3/17,16:37:15,5.16e4,1439283,13.6,,1013,0.000,2164,551,0
2017/3/17,16:37:30,1.15e5,2989654,12.05,,1013,0.000,1837,510,0
2017/3/17,16:37:45,1.30e5,3304259,11.72,,1013,0.000,1777,523,0
2017/3/17,16:38:00,1.22e5,3124856,11.91,,1012,0.000,1812,516,0
2017/3/17,16:38:15,1.15e5,3011415,12.05,,1012,0.000,1822,498,0
2017/3/17,16:38:30,1.71e5,4016545,10.87,,1012,0.000,1724,515,0
