TSI CPC DATA VERSION 3
1490540925,2017/3/26,15:08:45
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/26,15:08:45,1.11e5,2947712,12.18,,1027,0.000,1959,412,0
2017/3/26,15:09:00,1.11e5,2951030,12.18,,1027,0.000,1929,418,0
2017/3/26,15:09:15,1.11e5,2953029,12.18,,1027,0.000,1956,408,0
2017/3/26,15:09:30,1.13e5,2984178,12.15,,1027,0.000,1934,410,0
2017/3/26,15:09:45,1.12e5,2965420,12.16,,1027,0.000,1948,443,0
2017/3/26,15:10:00,1.12e5,2957303,12.17,,1027,0.000,1953,430,0
2017/3/26,15:10:15,1.14e5,3008323,12.12,,1027,0.000,1917,433,0
2017/3/26,15:10:30,1.12e5,2971232,12.16,,1027,0.000,1932,445,0
2017/3/26,15:10:45,1.18e5,3080985,12.04,,1027,0.000,1900,401,0
2017/3/26,15:11:00,1.17e5,3075641,12.04,,1027,0.000,1906,426,0
2017/3/26,15:11:15,1.23e5,3187168,11.92,,1027,0.000,1900,430,0
2017/3/26,15:11:30,1.26e5,3257539,11.85,,1027,0.000,1899,440,0
2017/3/26,15:11:45,1.15e5,3036802,12.08,,1027,0.000,1950,422,0
2017/3/26,15:12:00,1.14e5,3001688,12.12,,1027,0.000,1950,405,0
2017/3/26,15:12:15,1.21e5,3158026,11.95,,1027,0.000,1909,413,0
2017/3/26,15:12:30,1.23e5,3185289,11.93,,1027,0.000,1909,429,0
2017/3/26,15:12:45,1.17e5,3073980,12.04,,1027,0.000,1929,424,0
2017/3/26,15:13:00,1.24e5,3206661,11.9,,1027,0.000,1910,427,0
2017/3/26,15:13:15,1.26e5,3246304,11.85,,1027,0.000,1893,435,0
2017/3/26,15:13:30,1.28e5,3293537,11.8,,1027,0.000,1871,428,0
2017/3/26,15:13:45,1.33e5,3381887,11.7,,1027,0.000,1899,450,0
2017/3/26,15:14:00,1.37e5,3470189,11.61,,1027,0.000,1884,450,0
2017/3/26,15:14:15,1.33e5,3381607,11.7,,1027,0.000,1889,434,0
2017/3/26,15:14:30,1.36e5,3450619,11.62,,1027,0.000,1889,460,0
2017/3/26,15:14:45,1.39e5,3496480,11.57,,1027,0.000,1877,434,0
2017/3/26,15:15:00,1.37e5,3460384,11.62,,1027,0.000,1909,432,0
2017/3/26,15:15:15,1.42e5,3548289,11.51,,1027,0.000,1866,460,0
2017/3/26,15:15:30,1.41e5,3533761,11.53,,1027,0.000,1872,460,0
2017/3/26,15:15:45,1.40e5,3520419,11.55,,1027,0.000,1866,457,0
2017/3/26,15:16:00,1.44e5,3593867,11.46,,1027,0.000,1849,468,0
2017/3/26,15:16:15,1.48e5,3670187,11.37,,1027,0.000,1870,444,0
2017/3/26,15:16:30,1.48e5,3666298,11.38,,1027,0.000,1859,476,0
2017/3/26,15:16:45,1.51e5,3708363,11.32,,1027,0.000,1851,450,0
2017/3/26,15:17:00,1.48e5,3663367,11.38,,1027,0.000,1860,461,0
2017/3/26,15:17:15,1.53e5,3756389,11.27,,1027,0.000,1832,449,0
2017/3/26,15:17:30,1.52e5,3736651,11.3,,1027,0.000,1828,462,0
2017/3/26,15:17:45,1.52e5,3729974,11.3,,1027,0.000,1824,443,0
2017/3/26,15:18:00,1.56e5,3805869,11.21,,1027,0.000,1820,447,0
2017/3/26,15:18:15,1.59e5,3859610,11.14,,1027,0.000,1795,455,0
2017/3/26,15:18:30,1.63e5,3928851,11.07,,1027,0.000,1813,473,0
2017/3/26,15:18:45,1.67e5,3984008,11.0,,1027,0.000,1820,469,0
2017/3/26,15:19:00,1.63e5,3919973,11.07,,1027,0.000,1815,455,0
2017/3/26,15:19:15,1.69e5,4015694,10.96,,1027,0.000,1788,451,0
2017/3/26,15:19:30,1.75e5,4112274,10.84,,1027,0.000,1784,456,0
2017/3/26,15:19:45,1.79e5,4185815,10.75,,1027,0.000,1788,493,0
2017/3/26,15:20:00,1.78e5,4168229,10.77,,1027,0.000,1793,456,0
2017/3/26,15:20:15,1.75e5,4114531,10.84,,1027,0.000,1765,454,0
2017/3/26,15:20:30,1.77e5,4152031,10.79,,1027,0.000,1787,484,0
2017/3/26,15:20:45,1.84e5,4265510,10.65,,1027,0.000,1737,449,0
2017/3/26,15:21:00,1.85e5,4278568,10.63,,1027,0.000,1741,468,0
2017/3/26,15:21:15,1.89e5,4330567,10.57,,1027,0.000,1768,476,0
2017/3/26,15:21:30,1.85e5,4279449,10.63,,1027,0.000,1796,479,0
2017/3/26,15:21:45,1.87e5,4302595,10.61,,1027,0.000,1766,485,0
2017/3/26,15:22:00,1.89e5,4330719,10.57,,1027,0.000,1740,480,0
2017/3/26,15:22:15,1.96e5,4437357,10.43,,1027,0.000,1723,482,0
2017/3/26,15:22:30,1.95e5,4433680,10.44,,1027,0.000,1739,474,0
2017/3/26,15:22:45,2.00e5,4490802,10.36,,1027,0.000,1723,474,0
2017/3/26,15:23:00,2.03e5,4536314,10.31,,1027,0.000,1707,466,0
2017/3/26,15:23:15,2.08e5,4611569,10.2,,1027,0.000,1705,472,0
