TSI CPC DATA VERSION 3
1490883868,2017/3/30,14:24:28
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/30,14:24:21,6.17e3,128143,9.565,,1015,0.000,2543,472,0
2017/3/30,14:24:30,6.09e3,195754,14.79,,1014,0.000,2565,447,0
2017/3/30,14:24:45,6.04e3,194199,14.79,,1015,0.000,2567,450,0
2017/3/30,14:25:00,6.17e3,198379,14.79,,1015,0.000,2580,429,0
2017/3/30,14:25:15,6.23e3,200100,14.79,,1014,0.000,2563,428,0
2017/3/30,14:25:30,5.93e3,190793,14.79,,1015,0.000,2572,439,0
2017/3/30,14:25:45,6.01e3,193089,14.79,,1015,0.000,2586,415,0
2017/3/30,14:26:00,5.92e3,190280,14.8,,1015,0.000,2543,455,0
2017/3/30,14:26:15,6.05e3,194564,14.79,,1015,0.000,2568,426,0
2017/3/30,14:26:30,5.93e3,190501,14.8,,1015,0.000,2574,440,0
2017/3/30,14:26:45,5.87e3,188633,14.8,,1015,0.000,2572,449,0
2017/3/30,14:27:00,5.75e3,184866,14.8,,1015,0.000,2553,447,0
2017/3/30,14:27:15,5.60e3,180099,14.81,,1015,0.000,2597,406,0
2017/3/30,14:27:30,5.64e3,181511,14.8,,1015,0.000,2575,422,0
2017/3/30,14:27:45,5.63e3,181097,14.81,,1015,0.000,2572,430,0
2017/3/30,14:28:00,5.27e3,169746,14.82,,1015,0.000,2604,404,0
2017/3/30,14:28:15,5.56e3,178938,14.81,,1015,0.000,2547,468,0
2017/3/30,14:28:30,5.51e3,177487,14.81,,1015,0.000,2572,443,0
2017/3/30,14:28:45,5.49e3,176761,14.81,,1015,0.000,2587,445,0
2017/3/30,14:29:00,5.44e3,175291,14.81,,1015,0.000,2572,439,0
2017/3/30,14:29:15,5.36e3,172495,14.81,,1015,0.000,2552,461,0
2017/3/30,14:29:30,5.31e3,170969,14.82,,1014,0.000,2559,460,0
2017/3/30,14:29:45,5.24e3,168941,14.82,,1015,0.000,2568,440,0
2017/3/30,14:30:00,5.32e3,171387,14.82,,1015,0.000,2536,468,0
2017/3/30,14:30:15,5.30e3,170836,14.82,,1014,0.000,2557,439,0
2017/3/30,14:30:30,5.28e3,169937,14.82,,1015,0.000,2540,469,0
2017/3/30,14:30:45,1.08e4,340508,14.65,,1014,0.000,2524,455,0
2017/3/30,14:31:00,2.69e4,827643,14.17,,1014,0.000,2344,451,0
2017/3/30,14:31:15,3.51e4,1061518,13.94,,1015,0.000,2301,427,0
2017/3/30,14:31:30,5.43e4,1577461,13.44,,1014,0.000,2144,417,0
2017/3/30,14:31:45,5.97e4,1718943,13.3,,1015,0.000,2113,435,0
2017/3/30,14:32:00,6.93e4,1924045,13.08,,1015,0.000,2098,478,0
2017/3/30,14:32:15,9.64e4,2578686,12.41,,1014,0.000,1931,441,0
2017/3/30,14:32:30,1.19e5,3060575,11.86,,1015,0.000,1878,450,0
2017/3/30,14:32:45,1.19e5,3061461,11.87,,1014,0.000,1884,445,0
2017/3/30,14:33:00,1.26e5,3126367,11.75,,1014,0.000,1879,490,0
2017/3/30,14:33:15,1.72e5,3990651,10.74,,1015,0.000,1765,466,0
2017/3/30,14:33:30,1.86e5,4208116,10.45,,1015,0.000,1729,494,0
2017/3/30,14:33:45,1.53e5,3691924,11.12,,1014,0.000,1804,450,0
2017/3/30,14:34:00,1.37e5,3414412,11.46,,1014,0.000,1816,471,0
2017/3/30,14:34:15,1.32e5,3321768,11.58,,1015,0.000,1849,438,0
2017/3/30,14:34:30,1.51e5,3655945,11.17,,1015,0.000,1794,478,0
2017/3/30,14:34:45,1.71e5,3990775,10.75,,1014,0.000,1737,469,0
2017/3/30,14:35:00,1.62e5,3839193,10.94,,1014,0.000,1828,472,0
2017/3/30,14:35:15,1.66e5,3914406,10.85,,1015,0.000,1746,468,0
2017/3/30,14:35:30,1.74e5,4028321,10.69,,1014,0.000,1756,489,0
2017/3/30,14:35:45,1.71e5,3982651,10.75,,1015,0.000,1750,501,0
2017/3/30,14:36:00,2.03e5,4445935,10.12,,1014,0.000,1694,506,0
2017/3/30,14:36:15,2.13e5,4570794,9.935,,1014,0.000,1694,485,0
2017/3/30,14:36:30,2.39e5,4886178,9.447,,1015,0.000,1628,510,0
2017/3/30,14:36:45,2.22e5,4687413,9.767,,1015,0.000,1655,527,0
2017/3/30,14:37:00,2.32e5,4808518,9.571,,1015,0.000,1636,515,0
2017/3/30,14:37:15,2.43e5,4934680,9.372,,1014,0.000,1668,521,0
2017/3/30,14:37:30,2.76e5,5262204,8.81,,1014,0.000,1607,516,0
2017/3/30,14:37:45,2.77e5,5267443,8.782,,1014,0.000,1602,515,0
2017/3/30,14:38:00,2.76e5,5258850,8.798,,1014,0.000,1564,507,0
2017/3/30,14:38:15,2.89e5,5379412,8.574,,1014,0.000,1590,535,0
2017/3/30,14:38:30,2.96e5,5425158,8.458,,1014,0.000,1566,539,0
2017/3/30,14:38:45,3.16e5,5584552,8.15,,1014,0.000,1561,572,0
2017/3/30,14:39:00,3.16e5,5590155,8.164,,1014,0.000,1556,545,0
2017/3/30,14:39:15,3.41e5,5750377,7.779,,1014,0.000,1534,568,0
2017/3/30,14:39:30,3.33e5,5697450,7.897,,1015,0.000,1569,562,0
2017/3/30,14:39:45,3.53e5,5811343,7.6,,1015,0.000,1510,545,0
2017/3/30,14:40:00,3.55e5,5824138,7.564,,1015,0.000,1534,568,0
2017/3/30,14:40:15,3.63e5,5875366,7.456,,1014,0.000,1550,578,0
2017/3/30,14:40:30,3.84e5,5971768,7.173,,1014,0.000,1520,573,0
2017/3/30,14:40:45,4.08e5,6067253,6.859,,1014,0.000,1431,577,0
2017/3/30,14:41:00,4.20e5,6104441,6.701,,1015,0.000,1484,565,0
2017/3/30,14:41:15,4.32e5,6138960,6.547,,1014,0.000,1483,577,0
2017/3/30,14:41:30,4.44e5,6173713,6.415,,1015,0.000,1470,600,0
2017/3/30,14:41:45,4.63e5,6198154,6.177,,1014,0.000,1461,570,0
2017/3/30,14:42:00,4.68e5,6215897,6.124,,1015,0.000,1427,589,0
2017/3/30,14:42:15,4.70e5,6221864,6.109,,1014,0.000,1464,587,0
