TSI CPC DATA VERSION 3
1490891562,2017/3/30,16:32:42
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/30,16:32:30,467,14901,14.68,,1014,0.000,2602,439,0
2017/3/30,16:32:45,460,14952,14.98,,1014,0.000,2635,412,0
2017/3/30,16:33:00,462,15028,14.98,,1014,0.000,2613,438,0
2017/3/30,16:33:15,521,16950,14.98,,1014,0.000,2596,461,0
2017/3/30,16:33:30,529,17194,14.98,,1014,0.000,2595,463,0
2017/3/30,16:33:45,493,16032,14.98,,1014,0.000,2598,440,0
2017/3/30,16:34:00,506,16474,14.98,,1014,0.000,2611,455,0
2017/3/30,16:34:15,520,16905,14.98,,1014,0.000,2622,416,0
2017/3/30,16:34:30,518,16857,14.98,,1014,0.000,2614,454,0
2017/3/30,16:34:45,511,16616,14.98,,1014,0.000,2618,441,0
2017/3/30,16:35:00,512,16649,14.98,,1014,0.000,2578,483,0
2017/3/30,16:35:15,513,16677,14.98,,1014,0.000,2607,456,0
2017/3/30,16:35:30,522,16995,14.98,,1014,0.000,2612,433,0
2017/3/30,16:35:45,521,16937,14.98,,1014,0.000,2622,395,0
2017/3/30,16:36:00,526,17114,14.98,,1014,0.000,2606,440,0
2017/3/30,16:36:15,547,17779,14.98,,1014,0.000,2615,434,0
2017/3/30,16:36:30,546,17774,14.98,,1014,0.000,2600,455,0
2017/3/30,16:36:45,551,17927,14.98,,1014,0.000,2608,440,0
2017/3/30,16:37:00,559,18186,14.98,,1014,0.000,2622,435,0
2017/3/30,16:37:15,531,17279,14.98,,1014,0.000,2602,462,0
2017/3/30,16:37:30,542,17641,14.98,,1014,0.000,2584,476,0
2017/3/30,16:37:45,546,17745,14.98,,1014,0.000,2609,468,0
2017/3/30,16:38:00,549,17869,14.98,,1014,0.000,2625,426,0
2017/3/30,16:38:15,677,22008,14.98,,1014,0.000,2585,480,0
2017/3/30,16:38:30,1.75e3,56894,14.94,,1014,0.000,2592,450,0
2017/3/30,16:38:45,1.14e4,354743,14.64,,1014,0.000,2487,495,0
2017/3/30,16:39:00,6.67e4,1871679,13.15,,1014,0.000,2042,550,0
2017/3/30,16:39:15,1.62e5,3810656,10.98,,1014,0.000,1756,543,0
2017/3/30,16:39:30,1.87e5,4232561,10.44,,1014,0.000,1699,549,0
2017/3/30,16:39:45,1.54e5,3698065,11.12,,1014,0.000,1756,557,0
2017/3/30,16:40:00,2.01e5,4380378,10.2,,1014,0.000,1647,535,0
2017/3/30,16:40:15,2.95e5,5406989,8.569,,1014,0.000,1531,572,0
2017/3/30,16:40:30,2.63e5,5111941,9.093,,1014,0.000,1577,551,0
2017/3/30,16:40:45,2.68e5,5151809,9.019,,1014,0.000,1575,598,0
2017/3/30,16:41:00,3.90e5,5982441,7.205,,1014,0.000,1514,606,0
2017/3/30,16:41:15,4.06e5,6083893,6.971,,1014,0.000,1427,554,0
2017/3/30,16:41:30,3.55e5,5858476,7.656,,1014,0.000,1497,561,0
2017/3/30,16:41:45,3.40e5,5790068,7.851,,1014,0.000,1494,527,0
2017/3/30,16:42:00,3.73e5,5970108,7.401,,1014,0.000,1502,559,0
2017/3/30,16:42:15,3.93e5,6077571,7.135,,1014,0.000,1496,584,0
2017/3/30,16:42:30,3.99e5,6101950,7.046,,1014,0.000,1469,566,0
2017/3/30,16:42:45,4.11e5,6140303,6.911,,1014,0.000,1459,582,0
2017/3/30,16:43:00,4.27e5,6180032,6.717,,1014,0.000,1436,585,0
2017/3/30,16:43:15,4.70e5,6308257,6.214,,1014,0.000,1429,568,0
2017/3/30,16:43:30,4.75e5,6322401,6.148,,1014,0.000,1428,589,0
2017/3/30,16:43:45,5.35e5,6379891,5.54,,1014,0.000,1444,606,0
2017/3/30,16:44:00,5.39e5,6397512,5.481,,1014,0.000,1423,596,0
2017/3/30,16:44:15,5.31e5,6401011,5.561,,1014,0.000,1376,609,0
2017/3/30,16:44:30,6.41e5,6339959,4.634,,1014,0.000,1361,604,0
2017/3/30,16:44:45,6.18e5,6375366,4.78,,1014,0.000,1373,583,0
2017/3/30,16:45:00,5.67e5,6404731,5.213,,1014,0.000,1387,585,0
2017/3/30,16:45:15,5.59e5,6404665,5.288,,1014,0.000,1405,587,0
2017/3/30,16:45:30,5.66e5,6362009,5.277,,1014,0.000,1397,599,0
2017/3/30,16:45:45,5.60e5,6405883,5.272,,1014,0.000,1425,592,0
2017/3/30,16:46:00,6.02e5,6394172,4.905,,1014,0.000,1362,594,0
2017/3/30,16:46:15,5.65e5,6405466,5.237,,1014,0.000,1390,572,0
2017/3/30,16:46:30,5.87e5,6393337,5.033,,1014,0.000,1395,589,0
2017/3/30,16:46:45,5.70e5,6405978,5.188,,1014,0.000,1363,577,0
2017/3/30,16:47:00,5.70e5,6400209,5.181,,1014,0.000,1373,587,0
2017/3/30,16:47:15,5.63e5,6408019,5.265,,1014,0.000,1387,577,0
2017/3/30,16:47:30,5.74e5,6400878,5.145,,1014,0.000,1387,579,0
2017/3/30,16:47:45,5.69e5,6395787,5.187,,1014,0.000,1333,562,0
2017/3/30,16:48:00,5.61e5,6399511,5.271,,1014,0.000,1365,573,0
2017/3/30,16:48:15,5.50e5,6403161,5.376,,1014,0.000,1392,576,0
2017/3/30,16:48:30,5.32e5,6396422,5.542,,1014,0.000,1400,577,0
2017/3/30,16:48:45,5.27e5,6394532,5.591,,1014,0.000,1406,585,0
2017/3/30,16:49:00,5.14e5,6379606,5.729,,1014,0.000,1447,595,0
2017/3/30,16:49:15,5.09e5,6370830,5.772,,1014,0.000,1455,601,0
2017/3/30,16:49:30,5.00e5,6351707,5.866,,1014,0.000,1405,570,0
2017/3/30,16:49:45,4.98e5,6357363,5.883,,1014,0.000,1430,568,0
2017/3/30,16:50:00,4.95e5,6344778,5.908,,1014,0.000,1402,582,0
2017/3/30,16:50:15,4.96e5,6360721,5.92,,1014,0.000,1409,603,0
2017/3/30,16:50:30,4.86e5,6340615,6.012,,1014,0.000,1445,576,0
2017/3/30,16:50:45,4.83e5,6329568,6.051,,1014,0.000,1435,583,0
2017/3/30,16:51:00,4.90e5,6339006,5.97,,1014,0.000,1407,568,0
2017/3/30,16:51:15,4.75e5,6316531,6.141,,1014,0.000,1455,609,0
2017/3/30,16:51:30,4.80e5,6321744,6.074,,1014,0.000,1463,584,0
2017/3/30,16:51:45,4.79e5,6314890,6.081,,1014,0.000,1435,571,0
2017/3/30,16:52:00,4.66e5,6296939,6.227,,1014,0.000,1423,554,0
2017/3/30,16:52:15,4.67e5,6303398,6.232,,1014,0.000,1436,600,0
2017/3/30,16:52:30,4.57e5,6287404,6.34,,1014,0.000,1456,614,0
2017/3/30,16:52:45,4.49e5,6263830,6.439,,1014,0.000,1451,587,0
2017/3/30,16:53:00,4.28e5,6204403,6.689,,1014,0.000,1439,560,0
2017/3/30,16:53:15,4.38e5,6238458,6.573,,1014,0.000,1446,554,0
2017/3/30,16:53:30,4.27e5,6201876,6.7,,1014,0.000,1491,594,0
2017/3/30,16:53:45,4.17e5,6166515,6.819,,1014,0.000,1469,561,0
2017/3/30,16:54:00,4.07e5,6134077,6.953,,1014,0.000,1502,596,0
2017/3/30,16:54:15,4.05e5,6130455,6.989,,1014,0.000,1481,560,0
2017/3/30,16:54:30,3.98e5,6100851,7.074,,1014,0.000,1464,578,0
2017/3/30,16:54:45,3.89e5,6060730,7.19,,1014,0.000,1488,567,0
2017/3/30,16:55:00,3.92e5,6080262,7.148,,1014,0.000,1505,570,0
2017/3/30,16:55:15,3.83e5,6035434,7.267,,1014,0.000,1486,565,0
2017/3/30,16:55:30,3.70e5,5975149,7.437,,1014,0.000,1483,570,0
2017/3/30,16:55:45,3.71e5,5974681,7.433,,1014,0.000,1481,574,0
2017/3/30,16:56:00,3.68e5,5956127,7.457,,1014,0.000,1505,571,0
2017/3/30,16:56:15,3.67e5,5951610,7.484,,1014,0.000,1502,572,0
2017/3/30,16:56:30,3.61e5,5921700,7.553,,1014,0.000,1510,574,0
2017/3/30,16:56:45,3.50e5,5858572,7.717,,1014,0.000,1480,571,0
2017/3/30,16:57:00,3.50e5,5857607,7.722,,1014,0.000,1540,572,0
2017/3/30,16:57:15,3.48e5,5845256,7.744,,1014,0.000,1500,568,0
2017/3/30,16:57:30,3.37e5,5781545,7.909,,1014,0.000,1541,570,0
2017/3/30,16:57:45,3.35e5,5763373,7.939,,1014,0.000,1550,555,0
2017/3/30,16:58:00,3.36e5,5775147,7.915,,1014,0.000,1510,567,0
2017/3/30,16:58:15,3.30e5,5733973,8.005,,1014,0.000,1528,561,0
2017/3/30,16:58:30,3.19e5,5655739,8.173,,1014,0.000,1540,594,0
2017/3/30,16:58:45,3.12e5,5610036,8.279,,1014,0.000,1564,594,0
2017/3/30,16:59:00,3.09e5,5589005,8.323,,1014,0.000,1555,565,0
2017/3/30,16:59:15,3.14e5,5624327,8.252,,1014,0.000,1589,587,0
2017/3/30,16:59:30,3.07e5,5565098,8.368,,1014,0.000,1549,595,0
2017/3/30,16:59:45,3.08e5,5571693,8.342,,1014,0.000,1566,563,0
2017/3/30,17:00:00,2.97e5,5488960,8.512,,1014,0.000,1610,571,0
2017/3/30,17:00:15,2.92e5,5451061,8.592,,1014,0.000,1551,552,0
2017/3/30,17:00:30,2.93e5,5458960,8.576,,1014,0.000,1564,574,0
2017/3/30,17:00:45,2.92e5,5445712,8.603,,1014,0.000,1591,559,0
2017/3/30,17:01:00,2.85e5,5383967,8.72,,1014,0.000,1591,544,0
2017/3/30,17:01:15,2.79e5,5330968,8.808,,1014,0.000,1600,552,0
2017/3/30,17:01:30,2.82e5,5348725,8.78,,1014,0.000,1555,559,0
2017/3/30,17:01:45,2.81e5,5357257,8.781,,1014,0.000,1584,563,0
2017/3/30,17:02:00,2.79e5,5332878,8.806,,1014,0.000,1580,560,0
2017/3/30,17:02:15,2.79e5,5335820,8.8,,1014,0.000,1571,576,0
2017/3/30,17:02:30,2.76e5,5302450,8.857,,1014,0.000,1555,571,0
2017/3/30,17:02:45,2.69e5,5240538,8.972,,1014,0.000,1622,557,0
2017/3/30,17:03:00,2.61e5,5158257,9.106,,1014,0.000,1551,567,0
2017/3/30,17:03:15,2.67e5,5213234,9.014,,1014,0.000,1591,550,0
2017/3/30,17:03:30,2.67e5,5218197,8.998,,1014,0.000,1555,554,0
2017/3/30,17:03:45,2.69e5,5238121,8.972,,1014,0.000,1595,568,0
2017/3/30,17:04:00,2.66e5,5203630,9.017,,1014,0.000,1589,579,0
2017/3/30,17:04:15,2.64e5,5184876,9.061,,1014,0.000,1619,568,0
2017/3/30,17:04:30,2.60e5,5147947,9.123,,1014,0.000,1636,551,0
2017/3/30,17:04:45,2.64e5,5187658,9.063,,1014,0.000,1569,535,0
2017/3/30,17:05:00,2.55e5,5097298,9.212,,1014,0.000,1599,541,0
2017/3/30,17:05:15,2.49e5,5039715,9.312,,1014,0.000,1612,540,0
2017/3/30,17:05:30,2.51e5,5058879,9.279,,1014,0.000,1625,551,0
2017/3/30,17:05:45,2.51e5,5065288,9.288,,1014,0.000,1617,552,0
2017/3/30,17:06:00,2.50e5,5042967,9.302,,1014,0.000,1613,557,0
2017/3/30,17:06:15,2.45e5,4997638,9.379,,1014,0.000,1636,538,0
2017/3/30,17:06:30,2.47e5,5017477,9.351,,1014,0.000,1583,559,0
2017/3/30,17:06:45,2.42e5,4955370,9.451,,1014,0.000,1600,541,0
2017/3/30,17:07:00,2.45e5,4990904,9.39,,1014,0.000,1638,556,0
2017/3/30,17:07:15,2.44e5,4985505,9.407,,1014,0.000,1619,548,0
2017/3/30,17:07:30,2.45e5,4988120,9.397,,1014,0.000,1629,550,0
2017/3/30,17:07:45,2.47e5,5021307,9.356,,1014,0.000,1612,527,0
2017/3/30,17:08:00,2.43e5,4975789,9.42,,1014,0.000,1597,513,0
2017/3/30,17:08:15,2.40e5,4933890,9.486,,1014,0.000,1630,543,0
2017/3/30,17:08:30,2.36e5,4894945,9.547,,1014,0.000,1616,554,0
2017/3/30,17:08:45,2.38e5,4911487,9.522,,1014,0.000,1627,566,0
2017/3/30,17:09:00,2.37e5,4896024,9.532,,1014,0.000,1657,559,0
2017/3/30,17:09:15,2.34e5,4871463,9.586,,1014,0.000,1647,546,0
2017/3/30,17:09:30,2.29e5,4809126,9.666,,1014,0.000,1654,550,0
2017/3/30,17:09:45,2.33e5,4856103,9.61,,1014,0.000,1614,540,0
2017/3/30,17:10:00,2.33e5,4855788,9.606,,1014,0.000,1646,544,0
