TSI CPC DATA VERSION 3
1490180401,2017/3/22,11:00:01
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/22,11:00:00,635,20504,14.88,,1006,0.000,2606,427,0
2017/3/22,11:00:15,646,20996,14.98,,1006,0.000,2589,445,0
2017/3/22,11:00:30,614,19985,14.98,,1006,0.000,2593,460,0
2017/3/22,11:00:45,601,19539,14.98,,1006,0.000,2604,416,0
2017/3/22,11:01:00,613,19945,14.98,,1006,0.000,2600,428,0
2017/3/22,11:01:15,598,19460,14.98,,1006,0.000,2608,438,0
2017/3/22,11:01:30,590,19177,14.98,,1006,0.000,2596,444,0
2017/3/22,11:01:45,628,20414,14.98,,1006,0.000,2598,456,0
2017/3/22,11:02:00,634,20608,14.98,,1006,0.000,2572,458,0
2017/3/22,11:02:15,625,20341,14.98,,1006,0.000,2586,451,0
2017/3/22,11:02:30,647,21031,14.98,,1006,0.000,2617,419,0
2017/3/22,11:02:45,630,20507,14.98,,1006,0.000,2630,407,0
2017/3/22,11:03:00,633,20603,14.98,,1006,0.000,2619,415,0
2017/3/22,11:03:15,623,20259,14.98,,1006,0.000,2550,495,0
2017/3/22,11:03:30,616,20022,14.98,,1006,0.000,2589,440,0
2017/3/22,11:03:45,595,19361,14.98,,1006,0.000,2559,460,0
2017/3/22,11:04:00,603,19628,14.98,,1006,0.000,2569,447,0
2017/3/22,11:04:15,627,20409,14.98,,1006,0.000,2550,471,0
2017/3/22,11:04:30,1.84e3,58985,14.94,,1006,0.000,2559,468,0
2017/3/22,11:04:45,8.75e3,278827,14.72,,1006,0.000,2492,413,0
2017/3/22,11:05:00,6.77e3,217042,14.78,,1006,0.000,2542,394,0
2017/3/22,11:05:15,7.26e3,232871,14.77,,1006,0.000,2523,406,0
2017/3/22,11:05:30,9.40e3,300018,14.7,,1006,0.000,2475,424,0
2017/3/22,11:05:45,1.16e4,368737,14.64,,1006,0.000,2456,449,0
2017/3/22,11:06:00,7.73e3,247523,14.75,,1006,0.000,2482,428,0
2017/3/22,11:06:15,1.06e4,337499,14.67,,1006,0.000,2467,443,0
2017/3/22,11:06:30,1.90e4,589618,14.43,,1006,0.000,2426,411,0
2017/3/22,11:06:45,1.53e4,483209,14.53,,1006,0.000,2457,416,0
2017/3/22,11:07:00,2.86e4,877016,14.17,,1006,0.000,2324,388,0
2017/3/22,11:07:15,4.37e4,1296863,13.77,,1006,0.000,2171,417,0
2017/3/22,11:07:30,8.54e4,2330908,12.75,,1006,0.000,1976,417,0
2017/3/22,11:07:45,6.61e4,1871878,13.21,,1006,0.000,2045,428,0
2017/3/22,11:08:00,5.89e4,1706248,13.38,,1006,0.000,2064,397,0
2017/3/22,11:08:15,1.02e5,2673014,12.36,,1006,0.000,1893,456,0
2017/3/22,11:08:30,8.74e4,2389401,12.68,,1006,0.000,1932,415,0
2017/3/22,11:08:45,9.86e4,2648722,12.42,,1006,0.000,1885,451,0
2017/3/22,11:09:00,1.22e5,3140503,11.87,,1006,0.000,1811,437,0
2017/3/22,11:09:15,1.36e5,3411222,11.57,,1006,0.000,1799,457,0
2017/3/22,11:09:30,1.35e5,3389666,11.59,,1006,0.000,1798,466,0
2017/3/22,11:09:45,1.44e5,3559240,11.4,,1006,0.000,1741,452,0
