TSI CPC DATA VERSION 3
1490210723,2017/3/22,19:25:23
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/22,19:25:15,2.42e3,78911,14.92,,1016,0.000,2581,474,0
2017/3/22,19:25:30,2.42e3,78652,14.92,,1016,0.000,2589,472,0
2017/3/22,19:25:45,2.40e3,78249,14.92,,1016,0.000,2591,437,0
2017/3/22,19:26:00,2.37e3,77279,14.92,,1016,0.000,2606,422,0
2017/3/22,19:26:15,2.38e3,77389,14.92,,1016,0.000,2596,441,0
2017/3/22,19:26:30,2.35e3,76451,14.92,,1016,0.000,2601,426,0
2017/3/22,19:26:45,2.33e3,75988,14.92,,1016,0.000,2587,437,0
2017/3/22,19:27:00,2.33e3,75906,14.92,,1016,0.000,2576,441,0
2017/3/22,19:27:15,2.31e3,75129,14.92,,1016,0.000,2601,447,0
2017/3/22,19:27:30,2.26e3,73574,14.92,,1016,0.000,2595,422,0
2017/3/22,19:27:45,2.25e3,73447,14.92,,1016,0.000,2586,438,0
2017/3/22,19:28:00,2.28e3,74188,14.92,,1016,0.000,2614,399,0
2017/3/22,19:28:15,2.24e3,73093,14.92,,1016,0.000,2596,443,0
2017/3/22,19:28:30,2.26e3,73758,14.92,,1016,0.000,2585,454,0
2017/3/22,19:28:45,2.23e3,72711,14.92,,1016,0.000,2615,395,0
2017/3/22,19:29:00,2.21e3,72045,14.92,,1016,0.000,2600,413,0
2017/3/22,19:29:15,2.16e3,70448,14.93,,1016,0.000,2609,407,0
2017/3/22,19:29:30,2.16e3,70453,14.93,,1016,0.000,2606,428,0
2017/3/22,19:29:45,2.17e3,70788,14.93,,1016,0.000,2601,449,0
2017/3/22,19:30:00,2.14e3,69851,14.93,,1016,0.000,2609,404,0
2017/3/22,19:30:15,2.11e3,68741,14.93,,1016,0.000,2590,433,0
2017/3/22,19:30:30,2.13e3,69271,14.93,,1016,0.000,2597,434,0
2017/3/22,19:30:45,1.15e4,351845,14.66,,1016,0.000,2486,504,0
2017/3/22,19:31:00,7.04e4,1905605,13.15,,1016,0.000,2033,637,0
2017/3/22,19:31:15,2.36e4,721628,14.3,,1016,0.000,2368,533,0
2017/3/22,19:31:30,3.28e4,998227,14.04,,1016,0.000,2305,546,0
2017/3/22,19:31:45,3.82e4,1146430,13.9,,1016,0.000,2220,563,0
2017/3/22,19:32:00,4.48e4,1330698,13.73,,1016,0.000,2160,566,0
2017/3/22,19:32:15,6.56e4,1873601,13.22,,1016,0.000,2059,504,0
2017/3/22,19:32:30,6.82e4,1945947,13.15,,1016,0.000,2011,505,0
2017/3/22,19:32:45,8.55e4,2360385,12.75,,1016,0.000,1959,494,0
2017/3/22,19:33:00,1.08e5,2869856,12.22,,1016,0.000,1881,483,0
2017/3/22,19:33:15,1.12e5,2960366,12.13,,1016,0.000,1866,485,0
2017/3/22,19:33:30,1.02e5,2729300,12.38,,1016,0.000,1916,466,0
2017/3/22,19:33:45,1.26e5,3232159,11.84,,1016,0.000,1806,502,0
2017/3/22,19:34:00,1.58e5,3800873,11.18,,1016,0.000,1743,487,0
2017/3/22,19:34:15,1.81e5,4189965,10.7,,1016,0.000,1701,456,0
2017/3/22,19:34:30,2.09e5,4608587,10.16,,1016,0.000,1687,465,0
2017/3/22,19:34:45,2.07e5,4578924,10.2,,1016,0.000,1652,516,0
