TSI CPC DATA VERSION 3
1491661544,2017/4/8,14:25:44
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/4/8,14:25:45,345,11244,14.99,,999,0.000,2633,404,0
2017/4/8,14:26:00,332,10811,14.99,,999,0.000,2648,372,0
2017/4/8,14:26:15,318,10343,14.99,,999,0.000,2624,423,0
2017/4/8,14:26:30,304,9898,14.99,,999,0.000,2645,371,0
2017/4/8,14:26:45,292,9507,14.99,,999,0.000,2607,445,0
2017/4/8,14:27:00,292,9504,14.99,,999,0.000,2640,393,0
2017/4/8,14:27:15,305,9920,14.99,,1000,0.000,2633,402,0
2017/4/8,14:27:30,322,10467,14.99,,999,0.000,2633,406,0
2017/4/8,14:27:45,345,11230,14.99,,999,0.000,2644,386,0
2017/4/8,14:28:00,326,10625,14.99,,999,0.000,2629,424,0
2017/4/8,14:28:15,309,10071,14.99,,999,0.000,2657,372,0
2017/4/8,14:28:30,315,10255,14.99,,999,0.000,2608,437,0
2017/4/8,14:28:45,308,10025,14.99,,999,0.000,2614,423,0
2017/4/8,14:29:00,315,10255,14.99,,999,0.000,2636,395,0
2017/4/8,14:29:15,320,10418,14.99,,1000,0.000,2650,386,0
2017/4/8,14:29:30,319,10393,14.99,,999,0.000,2625,410,0
2017/4/8,14:29:45,321,10464,14.99,,999,0.000,2647,401,0
2017/4/8,14:30:00,316,10278,14.99,,999,0.000,2607,428,0
2017/4/8,14:30:15,317,10303,14.99,,999,0.000,2607,463,0
2017/4/8,14:30:30,330,10750,14.99,,999,0.000,2629,410,0
2017/4/8,14:30:45,324,10539,14.99,,999,0.000,2651,382,0
2017/4/8,14:31:00,302,9823,14.99,,999,0.000,2620,440,0
2017/4/8,14:31:15,307,10006,14.99,,999,0.000,2604,439,0
2017/4/8,14:31:30,309,10062,14.99,,999,0.000,2626,419,0
2017/4/8,14:31:45,315,10268,14.99,,999,0.000,2651,372,0
2017/4/8,14:32:00,313,10196,14.99,,999,0.000,2639,405,0
2017/4/8,14:32:15,315,10250,14.99,,999,0.000,2626,399,0
2017/4/8,14:32:30,311,10125,14.99,,999,0.000,2650,383,0
2017/4/8,14:32:45,318,10339,14.99,,999,0.000,2619,423,0
2017/4/8,14:33:00,310,10102,14.99,,999,0.000,2636,416,0
2017/4/8,14:33:15,306,9973,14.99,,999,0.000,2611,413,0
2017/4/8,14:33:30,305,9924,14.99,,999,0.000,2613,433,0
2017/4/8,14:33:45,319,10370,14.99,,999,0.000,2608,416,0
2017/4/8,14:34:00,317,10317,14.99,,999,0.000,2619,396,0
2017/4/8,14:34:15,315,10249,14.99,,999,0.000,2644,386,0
2017/4/8,14:34:30,312,10167,14.99,,999,0.000,2633,408,0
2017/4/8,14:34:45,320,10408,14.99,,999,0.000,2630,417,0
2017/4/8,14:35:00,319,10398,14.99,,1000,0.000,2642,401,0
2017/4/8,14:35:15,308,10032,14.99,,999,0.000,2668,377,0
2017/4/8,14:35:30,297,9660,14.99,,999,0.000,2620,406,0
2017/4/8,14:35:45,309,10074,14.99,,999,0.000,2622,421,0
2017/4/8,14:36:00,304,9908,14.99,,999,0.000,2609,426,0
2017/4/8,14:36:15,307,10006,14.99,,999,0.000,2650,385,0
2017/4/8,14:36:30,318,10362,14.99,,999,0.000,2607,432,0
2017/4/8,14:36:45,303,9871,14.99,,999,0.000,2629,415,0
2017/4/8,14:37:00,304,9904,14.99,,999,0.000,2624,435,0
2017/4/8,14:37:15,296,9650,14.99,,999,0.000,2617,432,0
2017/4/8,14:37:30,306,9947,14.99,,999,0.000,2652,391,0
2017/4/8,14:37:45,314,10224,14.99,,999,0.000,2593,449,0
2017/4/8,14:38:00,316,10281,14.99,,999,0.000,2619,423,0
2017/4/8,14:38:15,311,10123,14.99,,999,0.000,2603,426,0
2017/4/8,14:38:30,302,9827,14.99,,999,0.000,2619,412,0
2017/4/8,14:38:45,297,9662,14.99,,999,0.000,2635,412,0
2017/4/8,14:39:00,305,9922,14.99,,999,0.000,2663,363,0
2017/4/8,14:39:15,303,9867,14.99,,999,0.000,2612,418,0
2017/4/8,14:39:30,292,9502,14.99,,1000,0.000,2618,418,0
2017/4/8,14:39:45,289,9417,14.99,,1000,0.000,2644,393,0
2017/4/8,14:40:00,296,9648,14.99,,999,0.000,2612,433,0
2017/4/8,14:40:15,300,9763,14.99,,999,0.000,2636,394,0
2017/4/8,14:40:30,296,9646,14.99,,999,0.000,2626,416,0
2017/4/8,14:40:45,290,9453,14.99,,999,0.000,2617,418,0
2017/4/8,14:41:00,302,9815,14.99,,999,0.000,2639,390,0
2017/4/8,14:41:15,295,9609,14.99,,999,0.000,2622,421,0
2017/4/8,14:41:30,296,9647,14.99,,999,0.000,2620,405,0
2017/4/8,14:41:45,288,9371,14.99,,999,0.000,2620,421,0
2017/4/8,14:42:00,293,9548,14.99,,999,0.000,2606,430,0
2017/4/8,14:42:15,292,9497,14.99,,999,0.000,2622,423,0
2017/4/8,14:42:30,296,9648,14.99,,1000,0.000,2642,407,0
2017/4/8,14:42:45,300,9774,14.99,,999,0.000,2633,410,0
2017/4/8,14:43:00,298,9696,14.99,,999,0.000,2619,411,0
2017/4/8,14:43:15,286,9315,14.99,,999,0.000,2625,418,0
2017/4/8,14:43:30,296,9634,14.99,,999,0.000,2626,407,0
2017/4/8,14:43:45,290,9451,14.99,,999,0.000,2608,435,0
2017/4/8,14:44:00,292,9517,14.99,,999,0.000,2647,399,0
2017/4/8,14:44:15,287,9343,14.99,,999,0.000,2663,356,0
2017/4/8,14:44:30,1.12e3,36036,14.96,,999,0.000,2602,423,0
2017/4/8,14:44:45,1.54e4,482113,14.54,,999,0.000,2487,386,0
2017/4/8,14:45:00,2.86e3,92267,14.91,,999,0.000,2630,347,0
2017/4/8,14:45:15,965,31350,14.97,,999,0.000,2641,371,0
2017/4/8,14:45:30,1.33e4,418187,14.6,,999,0.000,2547,368,0
2017/4/8,14:45:45,7.67e4,2128576,13.0,,999,0.000,2071,454,0
2017/4/8,14:46:00,5.63e4,1622714,13.49,,999,0.000,2191,402,0
2017/4/8,14:46:15,6.40e4,1833266,13.3,,999,0.000,2111,422,0
2017/4/8,14:46:30,4.88e4,1442300,13.67,,1000,0.000,2196,429,0
2017/4/8,14:46:45,5.72e4,1631178,13.48,,999,0.000,2159,439,0
2017/4/8,14:47:00,1.00e5,2669922,12.46,,999,0.000,1965,443,0
2017/4/8,14:47:15,1.57e5,3766772,11.26,,999,0.000,1800,461,0
2017/4/8,14:47:30,1.55e5,3775390,11.27,,999,0.000,1788,440,0
2017/4/8,14:47:45,1.81e5,4139845,10.79,,999,0.000,1773,471,0
