TSI CPC DATA VERSION 3
1490795422,2017/3/29,13:50:22
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/29,13:50:12,1.44e4,454391,14.52,,1011,0.000,2442,520,0
2017/3/29,13:50:28,1.40e4,441838,14.53,,1011,0.000,2409,540,0
2017/3/29,13:50:43,1.40e4,443260,14.53,,1011,0.000,2414,552,0
2017/3/29,13:50:58,1.40e4,443536,14.53,,1011,0.000,2429,513,0
2017/3/29,13:51:13,1.39e4,439972,14.54,,1011,0.000,2429,524,0
2017/3/29,13:51:28,1.38e4,436607,14.54,,1011,0.000,2412,549,0
2017/3/29,13:51:43,1.39e4,439961,14.54,,1011,0.000,2441,499,0
2017/3/29,13:51:58,1.38e4,436745,14.54,,1011,0.000,2429,527,0
2017/3/29,13:52:13,1.36e4,430226,14.55,,1011,0.000,2453,493,0
2017/3/29,13:52:28,1.35e4,426244,14.55,,1011,0.000,2442,510,0
2017/3/29,13:52:43,1.34e4,424408,14.55,,1011,0.000,2416,543,0
2017/3/29,13:52:58,1.33e4,421629,14.56,,1011,0.000,2420,534,0
2017/3/29,13:53:13,1.33e4,420840,14.56,,1011,0.000,2464,493,0
2017/3/29,13:53:28,1.32e4,418806,14.56,,1011,0.000,2421,517,0
2017/3/29,13:53:43,1.32e4,417442,14.56,,1011,0.000,2392,545,0
2017/3/29,13:53:58,1.31e4,415698,14.56,,1011,0.000,2403,549,0
2017/3/29,13:54:13,1.30e4,413038,14.57,,1011,0.000,2438,512,0
2017/3/29,13:54:28,1.29e4,410193,14.57,,1011,0.000,2447,521,0
2017/3/29,13:54:43,1.29e4,407982,14.57,,1011,0.000,2427,520,0
2017/3/29,13:54:58,1.27e4,404488,14.57,,1011,0.000,2414,544,0
2017/3/29,13:55:13,1.27e4,402728,14.58,,1011,0.000,2443,516,0
2017/3/29,13:55:28,1.31e4,414793,14.56,,1011,0.000,2457,505,0
2017/3/29,13:55:43,1.27e4,404142,14.57,,1011,0.000,2440,504,0
2017/3/29,13:55:58,4.02e4,1170145,13.82,,1011,0.000,2230,552,0
2017/3/29,13:56:13,3.85e4,1154952,13.84,,1010,0.000,2221,507,0
2017/3/29,13:56:28,4.33e4,1281952,13.71,,1011,0.000,2171,515,0
2017/3/29,13:56:43,6.53e4,1846257,13.14,,1011,0.000,2004,549,0
2017/3/29,13:56:58,1.23e5,3007751,11.82,,1010,0.000,1846,516,0
2017/3/29,13:57:13,2.48e5,4946924,9.253,,1010,0.000,1578,582,0
2017/3/29,13:57:28,3.18e5,5356423,8.24,,1011,0.000,1524,546,0
2017/3/29,13:57:43,3.95e5,5904204,7.062,,1011,0.000,1472,583,0
2017/3/29,13:57:58,3.45e5,5685714,7.728,,1011,0.000,1467,545,0
2017/3/29,13:58:13,4.45e5,5906824,6.559,,1010,0.000,1428,559,0
2017/3/29,13:58:28,5.61e5,6199139,5.181,,1010,0.000,1372,590,0
2017/3/29,13:58:43,4.95e5,6187645,5.831,,1010,0.000,1384,565,0
2017/3/29,13:58:58,4.50e5,6130351,6.319,,1010,0.000,1352,545,0
2017/3/29,13:59:13,5.49e5,6226987,5.279,,1011,0.000,1374,576,0
2017/3/29,13:59:28,6.47e5,6177217,4.434,,1010,0.000,1328,588,0
2017/3/29,13:59:43,6.34e5,6201787,4.543,,1010,0.000,1384,610,0
2017/3/29,13:59:58,6.02e5,6220662,4.787,,1011,0.000,1335,596,0
2017/3/29,14:00:13,6.23e5,6201878,4.61,,1011,0.000,1357,601,0
2017/3/29,14:00:28,5.78e5,6222252,5.02,,1011,0.000,1422,596,0
2017/3/29,14:00:43,5.85e5,6233430,4.937,,1011,0.000,1396,609,0
2017/3/29,14:00:58,6.70e5,6157950,4.263,,1010,0.000,1356,626,0
2017/3/29,14:01:13,6.28e5,6204268,4.569,,1010,0.000,1331,583,0
2017/3/29,14:01:28,7.23e5,6073017,3.908,,1011,0.000,1347,609,0
2017/3/29,14:01:43,7.20e5,6096045,3.935,,1010,0.000,1324,598,0
2017/3/29,14:01:58,7.57e5,6020926,3.699,,1010,0.000,1307,587,0
2017/3/29,14:02:13,7.29e5,6076238,3.863,,1010,0.000,1324,600,0
2017/3/29,14:02:28,7.48e5,6045025,3.741,,1010,0.000,1345,611,0
2017/3/29,14:02:43,7.16e5,6099959,3.949,,1010,0.000,1311,574,0
2017/3/29,14:02:58,6.94e5,6102387,4.171,,1010,0.000,1359,620,0
2017/3/29,14:03:13,7.30e5,6081881,3.848,,1010,0.000,1313,609,0
2017/3/29,14:03:28,7.50e5,6051296,3.73,,1011,0.000,1353,598,0
2017/3/29,14:03:43,7.16e5,6109199,3.945,,1011,0.000,1328,595,0
2017/3/29,14:03:58,7.55e5,6034817,3.703,,1010,0.000,1311,582,0
2017/3/29,14:04:13,7.95e5,5960976,3.482,,1010,0.000,1348,610,0
2017/3/29,14:04:28,7.58e5,6027244,3.674,,1010,0.000,1336,618,0
2017/3/29,14:04:43,7.49e5,6041885,3.744,,1010,0.000,1320,610,0
2017/3/29,14:04:58,7.13e5,6098630,3.951,,1010,0.000,1334,595,0
