TSI CPC DATA VERSION 3
1490787654,2017/3/29,11:40:54
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/29,11:40:42,877,28527,14.97,,1011,0.000,2545,505,0
2017/3/29,11:40:57,870,28285,14.97,,1011,0.000,2576,468,0
2017/3/29,11:41:12,867,28188,14.97,,1011,0.000,2564,511,0
2017/3/29,11:41:27,858,27907,14.97,,1011,0.000,2548,494,0
2017/3/29,11:41:42,858,27894,14.97,,1011,0.000,2570,476,0
2017/3/29,11:41:57,866,28162,14.97,,1011,0.000,2539,522,0
2017/3/29,11:42:12,864,28109,14.97,,1011,0.000,2570,472,0
2017/3/29,11:42:27,853,27734,14.97,,1011,0.000,2548,517,0
2017/3/29,11:42:42,850,27634,14.97,,1011,0.000,2550,512,0
2017/3/29,11:42:57,852,27714,14.97,,1011,0.000,2575,489,0
2017/3/29,11:43:12,820,26675,14.97,,1011,0.000,2567,494,0
2017/3/29,11:43:27,839,27292,14.97,,1011,0.000,2532,520,0
2017/3/29,11:43:42,830,26994,14.97,,1011,0.000,2558,518,0
2017/3/29,11:43:57,833,27098,14.97,,1011,0.000,2567,479,0
2017/3/29,11:44:12,848,27566,14.97,,1011,0.000,2580,456,0
2017/3/29,11:44:27,848,27565,14.97,,1011,0.000,2585,469,0
2017/3/29,11:44:42,841,27363,14.97,,1011,0.000,2579,490,0
2017/3/29,11:44:57,827,26907,14.97,,1011,0.000,2568,502,0
2017/3/29,11:45:12,832,27042,14.97,,1011,0.000,2561,505,0
2017/3/29,11:45:27,842,27366,14.97,,1011,0.000,2562,495,0
2017/3/29,11:45:42,835,27140,14.97,,1011,0.000,2606,463,0
2017/3/29,11:45:57,825,26816,14.97,,1011,0.000,2608,455,0
2017/3/29,11:46:12,852,27701,14.97,,1011,0.000,2583,476,0
2017/3/29,11:46:27,1.27e3,41524,14.95,,1011,0.000,2575,469,0
2017/3/29,11:46:43,8.29e3,260854,14.71,,1011,0.000,2513,460,0
2017/3/29,11:46:58,4.44e4,1283170,13.62,,1011,0.000,2153,506,0
2017/3/29,11:47:13,2.27e4,659927,14.29,,1011,0.000,2347,531,0
2017/3/29,11:47:28,6.68e4,1786604,13.06,,1011,0.000,2078,566,0
2017/3/29,11:47:43,9.47e4,2494542,12.29,,1011,0.000,1878,507,0
2017/3/29,11:47:58,1.55e5,3538155,10.89,,1011,0.000,1751,495,0
2017/3/29,11:48:13,1.61e5,3605525,10.78,,1011,0.000,1744,538,0
2017/3/29,11:48:28,2.33e5,4594374,9.29,,1011,0.000,1579,557,0
2017/3/29,11:48:43,1.55e5,3615333,10.85,,1011,0.000,1687,550,0
2017/3/29,11:48:58,2.02e5,4248749,9.873,,1011,0.000,1658,549,0
2017/3/29,11:49:13,1.58e5,3632689,10.79,,1011,0.000,1755,528,0
2017/3/29,11:49:28,1.38e5,3346696,11.21,,1011,0.000,1735,533,0
2017/3/29,11:49:43,1.85e5,4049940,10.19,,1011,0.000,1691,532,0
2017/3/29,11:49:58,1.87e5,4079750,10.14,,1011,0.000,1663,535,0
2017/3/29,11:50:13,2.46e5,4729479,9.025,,1011,0.000,1589,565,0
2017/3/29,11:50:28,2.56e5,4867259,8.81,,1011,0.000,1573,570,0
2017/3/29,11:50:43,3.00e5,5203639,8.069,,1011,0.000,1571,578,0
2017/3/29,11:50:58,2.74e5,5035623,8.491,,1011,0.000,1568,562,0
2017/3/29,11:51:13,2.88e5,5142544,8.246,,1011,0.000,1524,560,0
2017/3/29,11:51:28,3.02e5,5194678,8.066,,1011,0.000,1484,562,0
2017/3/29,11:51:43,3.82e5,5595280,6.885,,1011,0.000,1431,606,0
2017/3/29,11:51:58,3.78e5,5633424,6.889,,1011,0.000,1491,587,0
2017/3/29,11:52:13,3.88e5,5667529,6.742,,1011,0.000,1448,588,0
2017/3/29,11:52:28,4.25e5,5757079,6.271,,1011,0.000,1447,620,0
