,Time,,,,,,,,,,,,,,,,,CFM,,,,,,,,,,,,,
Bins,AANP hi,AANP lo,AAP hi,AAP lo,BF hi,BF lo,H hi,H lo,HX hi,HX lo,IQ hi,IQ lo,NF,SHAM hi,SHAM lo,AVG hi,AVG lo,AANP hi,AANP lo,AAP hi,AAP lo,BF hi,BF lo,H hi,H lo,HX hi,HX lo,IQ hi,IQ lo,SHAM hi,SHAM lo
6.575,0.11996,NaN,NaN,0.020544,0.13508,0.1528,0.064444,0.12504,NaN,NaN,NaN,0.26276,NaN,0.14367,0.076724,NaN,NaN,0.39988,NaN,NaN,0.24563,2.6415,4.8023,0.60075,2.0684,NaN,NaN,NaN,0.74613,0.4789,0.8115
7.895,0.068879,NaN,NaN,0.029777,0.16678,0.12594,NaN,0.11262,NaN,NaN,NaN,0.27169,NaN,0.1218,0.068626,NaN,NaN,0.2296,NaN,NaN,0.35602,3.2615,3.9583,NaN,1.8629,NaN,NaN,NaN,0.77151,0.40599,0.72585
9.48,0.084077,NaN,NaN,0.02468,0.22546,0.12079,NaN,0.052367,NaN,NaN,NaN,0.21007,NaN,0.098376,0.039739,NaN,NaN,0.28026,NaN,NaN,0.29509,4.409,3.7961,NaN,0.86622,NaN,NaN,NaN,0.59653,0.32792,0.42032
11.39,0.1364,NaN,0.19771,0.029404,0.26875,0.13148,0.11149,0.026732,NaN,NaN,NaN,0.16557,NaN,0.065306,0.057848,NaN,NaN,0.45466,NaN,0.72193,0.35157,5.2556,4.1321,1.0393,0.44218,NaN,NaN,NaN,0.47015,0.21769,0.61185
13.695,0.14315,0.15615,0.24863,0.12942,0.27538,0.1251,0.12259,0.052367,0.25233,NaN,0.28514,0.14695,0.17844,0.024676,0.080168,0.23231,NaN,0.47715,1.6516,0.90785,1.5475,5.3851,3.9318,1.1428,0.86622,2.3876,NaN,0.80969,0.41728,0.082253,0.84794
16.475,0.10819,0.070801,0.24801,0.15137,0.17484,0.084955,0.15273,0.091766,0.18475,-0.0076385,0.26775,0.10172,0.16409,0.02764,0.075418,0.20218,0.079062,0.36065,0.74886,0.90561,1.8098,3.419,2.67,1.4238,1.5179,1.7481,-0.089149,0.76031,0.28884,0.092133,0.79769
19.835,0.023235,0.043625,0.13798,0.1094,0.10318,0.094098,0.10575,0.11037,0.16681,0.026135,0.26583,0.10045,0.057224,0.01161,0.08435,0.14846,0.069902,0.077449,0.46142,0.50383,1.308,2.0177,2.9574,0.98576,1.8257,1.5784,0.30502,0.75485,0.28524,0.038699,0.89216
23.905,-0.017569,0.044889,0.10692,0.080798,0.084935,0.056884,0.064461,0.052906,0.15599,0.049195,0.23779,0.088523,0.062407,0.013195,0.072244,0.12078,0.065851,-0.058562,0.47479,0.39043,0.96606,1.661,1.7878,0.60091,0.87514,1.476,0.57415,0.67524,0.25137,0.043984,0.76412
28.845,0.029265,0.063861,0.10944,0.072007,0.074164,0.046962,0.067535,0.062854,0.10629,0.081734,0.18439,0.099487,0.059894,0.021762,0.078382,0.10735,0.079272,0.097549,0.67545,0.39963,0.86095,1.4503,1.476,0.62956,1.0397,1.0057,0.95392,0.5236,0.2825,0.072541,0.82904
