TSI CPC DATA VERSION 3
1490202907,2017/3/22,17:15:07
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/22,17:15:00,2.84e3,92358,14.9,,1013,0.000,2602,428,0
2017/3/22,17:15:15,2.75e3,89538,14.91,,1013,0.000,2583,427,0
2017/3/22,17:15:30,2.71e3,88069,14.91,,1013,0.000,2575,446,0
2017/3/22,17:15:45,2.65e3,86393,14.91,,1013,0.000,2601,413,0
2017/3/22,17:16:00,2.67e3,86813,14.91,,1013,0.000,2596,415,0
2017/3/22,17:16:15,2.69e3,87427,14.91,,1013,0.000,2558,441,0
2017/3/22,17:16:30,2.65e3,86290,14.91,,1012,0.000,2580,446,0
2017/3/22,17:16:45,2.67e3,87090,14.91,,1013,0.000,2568,446,0
2017/3/22,17:17:00,2.65e3,86258,14.91,,1013,0.000,2586,430,0
2017/3/22,17:17:15,2.58e3,84082,14.91,,1013,0.000,2604,405,0
2017/3/22,17:17:30,2.55e3,83123,14.91,,1013,0.000,2596,433,0
2017/3/22,17:17:45,2.58e3,83923,14.91,,1013,0.000,2589,447,0
2017/3/22,17:18:00,2.51e3,81709,14.91,,1013,0.000,2590,426,0
2017/3/22,17:18:15,2.45e3,79818,14.92,,1013,0.000,2587,435,0
2017/3/22,17:18:30,2.44e3,79354,14.92,,1013,0.000,2569,463,0
2017/3/22,17:18:45,2.42e3,78957,14.92,,1013,0.000,2598,410,0
2017/3/22,17:19:00,2.41e3,78388,14.92,,1013,0.000,2600,402,0
2017/3/22,17:19:15,2.37e3,77118,14.92,,1013,0.000,2598,419,0
2017/3/22,17:19:30,2.38e3,77425,14.92,,1013,0.000,2608,393,0
2017/3/22,17:19:45,2.36e3,76873,14.92,,1013,0.000,2583,455,0
2017/3/22,17:20:00,2.35e3,76509,14.92,,1013,0.000,2587,426,0
2017/3/22,17:20:15,2.32e3,75484,14.92,,1013,0.000,2586,443,0
2017/3/22,17:20:30,2.32e3,75408,14.92,,1013,0.000,2575,444,0
2017/3/22,17:20:45,2.51e3,81714,14.91,,1013,0.000,2584,432,0
2017/3/22,17:21:00,4.60e3,148346,14.85,,1013,0.000,2600,396,0
2017/3/22,17:21:15,1.00e4,319090,14.69,,1013,0.000,2515,429,0
2017/3/22,17:21:30,1.04e4,332808,14.67,,1013,0.000,2575,364,0
2017/3/22,17:21:45,1.34e4,424519,14.59,,1013,0.000,2525,380,0
2017/3/22,17:22:00,1.69e4,530834,14.49,,1013,0.000,2503,371,0
