Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\High1 hopefully USABLE.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17
Start Time	17:15:08	17:20:12	17:25:12	17:30:13	17:35:12	17:40:12	17:45:12	17:50:12	17:55:12	18:00:12	18:05:12	18:10:12	18:15:12	18:20:12	18:25:12	18:30:12	18:35:12	18:40:12	18:45:12	18:50:12	18:55:12	19:00:12
Diameter Midpoint
7.10	7476.43	7476.43	1.54614e+006	2.79915e+006	2.32614e+006	1.92854e+006	1.47706e+006	1.01604e+006	285761	88547.9	15217.9	8971.72	1760.37	0	1495.29	0	0	1495.29	0	0	0	0
7.37	10149.4	5340.83	1.35299e+006	2.68386e+006	2.23626e+006	1.87084e+006	1.51939e+006	962071	279355	91160.8	15797.6	3806.02	1043.77	0	0	0	1268.67	0	0	0	0	0
7.64	4334.23	8441.15	1.38851e+006	2.48689e+006	2.12863e+006	1.63636e+006	1.2492e+006	875158	278630	50305.8	20989.2	4334.23	1083.56	1083.56	1083.56	1083.56	0	1083.56	0	0	0	0
7.91	7458.6	7458.6	1.38122e+006	2.40427e+006	1.93532e+006	1.54537e+006	1.21119e+006	877239	265324	70495.5	17946.2	5593.95	2796.97	0	0	932.325	0	0	0	0	0	0
8.20	11514.5	6462.14	1.20682e+006	2.09903e+006	1.83035e+006	1.38242e+006	1.11211e+006	850755	270057	79577.4	15558.1	1615.53	2423.3	0	0	0	0	0	0	0	0	0
8.51	13923.1	10931	984970	1.90219e+006	1.64948e+006	1.36319e+006	1.07944e+006	757224	236889	66274.8	19561.5	3525.68	1587.27	1410.27	1410.27	0	0	0	0	0	0	0
8.82	10037.4	8343.98	936767	1.77241e+006	1.54562e+006	1.25755e+006	1.02556e+006	747473	237299	65206.8	20862.5	3708.99	2317.5	0	1236.33	0	146.701	618.166	618.166	0	0	0
