TSI CPC DATA VERSION 3
1489588459,2017/3/15,14:34:19
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/15,14:34:20,1.87e3,39009,9.54,,990,0.000,2558,457,0
2017/3/15,14:34:30,1.88e3,61171,14.93,,990,0.000,2580,443,0
2017/3/15,14:34:45,1.82e3,59423,14.93,,990,0.000,2573,446,0
2017/3/15,14:35:00,1.80e3,58515,14.94,,990,0.000,2573,430,0
2017/3/15,14:35:15,1.75e3,57194,14.94,,990,0.000,2570,451,0
2017/3/15,14:35:30,1.76e3,57367,14.94,,990,0.000,2598,435,0
2017/3/15,14:35:45,1.74e3,56765,14.94,,990,0.000,2590,443,0
2017/3/15,14:36:00,1.74e3,56841,14.94,,990,0.000,2603,405,0
2017/3/15,14:36:15,1.73e3,56485,14.94,,990,0.000,2591,444,0
2017/3/15,14:36:30,1.70e3,55324,14.94,,990,0.000,2568,462,0
2017/3/15,14:36:45,1.68e3,54887,14.94,,990,0.000,2575,437,0
2017/3/15,14:37:00,1.69e3,55007,14.94,,990,0.000,2591,426,0
2017/3/15,14:37:15,1.67e3,54306,14.94,,990,0.000,2548,474,0
2017/3/15,14:37:30,1.67e3,54598,14.94,,990,0.000,2589,427,0
2017/3/15,14:37:45,1.64e3,53482,14.94,,990,0.000,2580,437,0
2017/3/15,14:38:00,1.64e3,53588,14.94,,990,0.000,2579,435,0
2017/3/15,14:38:15,1.64e3,53526,14.94,,990,0.000,2553,451,0
2017/3/15,14:38:30,1.63e3,53182,14.94,,990,0.000,2596,434,0
2017/3/15,14:38:45,1.59e3,51987,14.94,,990,0.000,2597,402,0
2017/3/15,14:39:00,1.62e3,52651,14.94,,990,0.000,2570,456,0
2017/3/15,14:39:15,1.60e3,52082,14.94,,990,0.000,2587,445,0
2017/3/15,14:39:30,1.61e3,52602,14.94,,990,0.000,2548,461,0
2017/3/15,14:39:45,1.60e3,52237,14.94,,990,0.000,2552,460,0
2017/3/15,14:40:00,1.57e3,51219,14.94,,990,0.000,2545,462,0
2017/3/15,14:40:15,1.54e3,50120,14.94,,990,0.000,2589,430,0
2017/3/15,14:40:30,1.97e3,64140,14.93,,990,0.000,2596,406,0
2017/3/15,14:40:45,6.84e3,219132,14.77,,990,0.000,2518,452,0
2017/3/15,14:41:00,1.55e4,487962,14.51,,990,0.000,2440,439,0
2017/3/15,14:41:15,9.27e3,295021,14.7,,990,0.000,2519,404,0
2017/3/15,14:41:30,8.83e3,281864,14.71,,990,0.000,2530,385,0
2017/3/15,14:41:45,1.07e4,341634,14.65,,990,0.000,2509,378,0
2017/3/15,14:42:00,1.06e4,337175,14.66,,990,0.000,2524,373,0
2017/3/15,14:42:15,1.45e4,457605,14.54,,990,0.000,2440,407,0
2017/3/15,14:42:30,1.73e4,542233,14.46,,990,0.000,2452,372,0
2017/3/15,14:42:45,1.95e4,610372,14.39,,990,0.000,2421,375,0
2017/3/15,14:43:00,7.11e4,1949361,13.08,,990,0.000,2060,434,0
2017/3/15,14:43:15,8.30e4,2288410,12.76,,990,0.000,1939,416,0
2017/3/15,14:43:30,6.19e4,1780441,13.28,,990,0.000,2004,399,0
2017/3/15,14:43:45,6.60e4,1885408,13.18,,990,0.000,1999,378,0
2017/3/15,14:44:00,6.25e4,1792505,13.26,,990,0.000,2010,399,0
2017/3/15,14:44:15,6.75e4,1906303,13.14,,990,0.000,1992,408,0
2017/3/15,14:44:30,8.34e4,2291322,12.76,,990,0.000,1928,405,0
2017/3/15,14:44:45,8.11e4,2242500,12.8,,990,0.000,1918,396,0
2017/3/15,14:45:00,8.45e4,2293021,12.73,,990,0.000,1915,404,0
2017/3/15,14:45:15,8.36e4,2298714,12.74,,990,0.000,1927,401,0
2017/3/15,14:45:30,8.82e4,2404909,12.63,,990,0.000,1925,413,0
2017/3/15,14:45:45,9.17e4,2492505,12.54,,990,0.000,1862,411,0
2017/3/15,14:46:00,8.49e4,2333601,12.7,,990,0.000,1900,428,0
2017/3/15,14:46:15,8.11e4,2243798,12.79,,990,0.000,1942,401,0
2017/3/15,14:46:30,8.43e4,2322629,12.71,,990,0.000,1893,424,0
2017/3/15,14:46:45,8.47e4,2331576,12.7,,990,0.000,1884,418,0
2017/3/15,14:47:00,9.13e4,2480090,12.54,,990,0.000,1890,412,0
2017/3/15,14:47:15,8.74e4,2394238,12.63,,990,0.000,1870,422,0
2017/3/15,14:47:30,8.82e4,2410759,12.61,,990,0.000,1884,421,0
2017/3/15,14:47:45,8.27e4,2284009,12.74,,990,0.000,1916,412,0
2017/3/15,14:48:00,8.65e4,2370543,12.64,,990,0.000,1870,396,0
2017/3/15,14:48:15,8.55e4,2347970,12.67,,990,0.000,1904,415,0
2017/3/15,14:48:30,8.81e4,2405801,12.6,,990,0.000,1871,411,0
2017/3/15,14:48:45,9.35e4,2525558,12.47,,990,0.000,1865,426,0
2017/3/15,14:49:00,8.95e4,2437136,12.56,,990,0.000,1860,417,0
2017/3/15,14:49:15,9.37e4,2526855,12.47,,990,0.000,1850,430,0
2017/3/15,14:49:30,9.62e4,2586203,12.39,,990,0.000,1839,418,0
2017/3/15,14:49:45,9.38e4,2532339,12.45,,990,0.000,1826,429,0
2017/3/15,14:50:00,9.56e4,2572024,12.4,,990,0.000,1856,424,0
2017/3/15,14:50:15,9.23e4,2498812,12.48,,990,0.000,1861,421,0
2017/3/15,14:50:30,9.03e4,2453554,12.53,,990,0.000,1846,415,0
2017/3/15,14:50:45,8.86e4,2413281,12.56,,990,0.000,1862,427,0
2017/3/15,14:51:00,8.69e4,2375408,12.6,,990,0.000,1861,433,0
2017/3/15,14:51:15,8.48e4,2327886,12.65,,990,0.000,1842,424,0
2017/3/15,14:51:30,8.76e4,2389858,12.58,,990,0.000,1883,439,0
2017/3/15,14:51:45,8.53e4,2337057,12.64,,990,0.000,1845,441,0
2017/3/15,14:52:00,8.08e4,2234130,12.74,,990,0.000,1888,417,0
2017/3/15,14:52:15,7.83e4,2174490,12.81,,990,0.000,1875,443,0
2017/3/15,14:52:30,8.11e4,2239119,12.74,,990,0.000,1835,439,0
2017/3/15,14:52:45,7.94e4,2199322,12.78,,990,0.000,1861,447,0
2017/3/15,14:53:00,7.74e4,2153960,12.83,,990,0.000,1850,449,0
2017/3/15,14:53:15,7.84e4,2176974,12.8,,990,0.000,1871,423,0
2017/3/15,14:53:30,7.82e4,2172757,12.81,,990,0.000,1871,438,0
2017/3/15,14:53:45,8.07e4,2230226,12.75,,990,0.000,1849,421,0
2017/3/15,14:54:00,8.09e4,2235815,12.74,,990,0.000,1868,439,0
2017/3/15,14:54:15,8.12e4,2243100,12.74,,990,0.000,1834,428,0
2017/3/15,14:54:30,8.15e4,2251451,12.73,,990,0.000,1872,426,0
2017/3/15,14:54:45,8.49e4,2329893,12.65,,990,0.000,1848,439,0
2017/3/15,14:55:00,8.49e4,2329015,12.65,,990,0.000,1884,445,0
2017/3/15,14:55:15,8.74e4,2387836,12.59,,990,0.000,1853,439,0
2017/3/15,14:55:30,9.03e4,2452764,12.53,,990,0.000,1838,443,0
2017/3/15,14:55:45,9.16e4,2481673,12.49,,990,0.000,1834,446,0
2017/3/15,14:56:00,9.34e4,2522117,12.45,,990,0.000,1824,444,0
2017/3/15,14:56:15,9.60e4,2578674,12.39,,990,0.000,1846,421,0
2017/3/15,14:56:30,9.88e4,2640459,12.33,,990,0.000,1809,422,0
2017/3/15,14:56:45,1.00e5,2679362,12.28,,990,0.000,1806,449,0
2017/3/15,14:57:00,1.04e5,2770682,12.18,,990,0.000,1821,438,0
2017/3/15,14:57:15,1.04e5,2768163,12.19,,990,0.000,1837,447,0
2017/3/15,14:57:30,1.05e5,2790963,12.17,,990,0.000,1802,435,0
2017/3/15,14:57:45,1.10e5,2887185,12.05,,990,0.000,1798,449,0
2017/3/15,14:58:00,1.13e5,2945661,11.99,,990,0.000,1779,447,0
2017/3/15,14:58:15,1.12e5,2936235,12.0,,990,0.000,1796,478,0
2017/3/15,14:58:30,1.16e5,3016312,11.91,,990,0.000,1810,462,0
2017/3/15,14:58:45,1.18e5,3050374,11.88,,990,0.000,1799,456,0
2017/3/15,14:59:00,1.21e5,3104833,11.82,,990,0.000,1788,461,0
2017/3/15,14:59:15,1.24e5,3167120,11.74,,990,0.000,1767,457,0
2017/3/15,14:59:30,1.22e5,3135733,11.78,,990,0.000,1800,477,0
2017/3/15,14:59:45,1.26e5,3210303,11.69,,990,0.000,1798,454,0
2017/3/15,15:00:00,1.29e5,3272649,11.62,,990,0.000,1750,456,0
2017/3/15,15:00:15,1.34e5,3363922,11.51,,990,0.000,1770,466,0
2017/3/15,15:00:30,1.35e5,3372947,11.51,,990,0.000,1772,472,0
