Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\High.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17
Start Time	15:35:00	15:40:04	15:45:04	15:50:04	15:55:04	16:00:04	16:05:04	16:10:04	16:15:04	16:20:04	16:25:04	16:30:04	16:35:04	16:40:04	16:45:04	16:50:04	16:55:04	17:00:04	17:05:04	17:10:04	17:15:04	17:20:04
Diameter Midpoint
7.10	265.079	1495.29	33983.2	42254.8	158009	823647	1.16473e+006	1.29221e+006	374513	44715.3	11962.3	4485.86	0	2990.57	1495.29	1495.29	0	0	0	2990.57	0	2990.57
7.37	3581.11	3806.02	21567.4	28504.8	101106	583758	962665	1.25148e+006	381996	50522	10415.5	2537.35	1268.67	1268.67	1268.67	1268.67	0	0	0	1268.67	0	1268.67
7.64	2167.12	2167.12	10835.6	9752.02	71715.1	400293	811946	1.10804e+006	309562	46269.3	17616.2	4334.23	1083.56	0	3250.67	1083.56	1083.56	0	0	0	1083.56	0
7.91	1864.65	2796.97	15849.5	9323.25	36142.7	250491	699256	812936	294645	35706.9	11684.4	1164.34	2796.97	0	0	932.325	0	932.325	0	932.325	932.325	0
8.20	3231.07	1615.53	9693.2	4846.6	21413.5	147037	530997	658676	238128	34337.7	8077.67	2222.29	0	807.767	0	807.767	0	0	807.767	2423.3	1615.53	0
8.51	1410.27	705.135	7051.35	4935.95	12333.2	122855	405052	582352	213281	21677	6346.22	2292.4	0	705.135	705.135	0	0	0	0	0	1410.27	0
8.82	2472.66	1236.33	3708.99	15600.8	4327.16	61652.9	303384	488357	166823	20391	7417.99	2317.5	0	1236.33	1236.33	618.166	0	0	0	3090.83	618.166	618.166
