Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\High2-redo.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17
Start Time	09:18:00	09:23:04	09:28:04	09:33:04	09:38:04	09:43:04	09:48:04	09:53:04	09:58:04	10:03:04	10:08:04	10:13:04	10:18:04	10:23:04	10:28:04	10:33:04	10:38:04	10:43:04	10:48:04	10:53:04	10:58:04	11:03:04
Diameter Midpoint
7.10	46353.9	1495.29	3.71915e+006	3.96714e+006	3.77845e+006	2.77219e+006	3.77768e+006	3.62111e+006	689973	130246	28940.6	10467	2990.57	0	0	0	0	0	0	0	0	0
7.37	22836.1	5074.69	4.38686e+006	5.03516e+006	4.54684e+006	3.2295e+006	3.56789e+006	3.7647e+006	757692	161410	58441.4	11418.1	3806.02	0	0	0	0	1268.67	0	1268.67	0	0
7.64	4334.23	2167.12	4.42356e+006	4.75082e+006	4.69976e+006	3.11022e+006	3.12004e+006	3.13609e+006	723111	194969	58057.5	17843.5	1083.56	1083.56	1083.56	1083.56	0	0	0	0	0	0
7.91	11187.9	3729.3	4.06018e+006	4.19212e+006	3.92916e+006	3.25896e+006	2.69926e+006	3.08757e+006	691975	182124	40554	16346	4661.62	2796.97	0	0	0	0	0	0	0	0
8.20	5860.13	4038.84	4.50637e+006	4.07135e+006	3.46802e+006	3.20902e+006	2.49975e+006	2.98911e+006	697241	171878	40397.8	17168.9	2423.3	0	2423.3	807.767	1615.53	807.767	0	0	0	0
8.51	5461.46	11282.2	3.90792e+006	4.04036e+006	3.54649e+006	2.67098e+006	2.50119e+006	2.37949e+006	652882	155996	50059.4	7048.73	5466.94	0	0	705.135	705.135	0	0	0	0	0
8.82	3708.99	6181.66	2.96754e+006	4.02633e+006	3.38305e+006	2.73099e+006	2.39163e+006	2.05129e+006	614471	152418	45727.3	19154.7	6481.02	618.166	618.166	0	0	618.166	0	146.701	0	0
9.14	15040.8	7618.4	1.76423e+006	3.54066e+006	3.45192e+006	2.69447e+006	2.23831e+006	2.06662e+006	547130	158331	41795	15651.8	4884.44	1088.34	1088.34	544.171	0	544.171	0	415.03	0	0
9.47	25731.3	5476.42	1.73197e+006	3.42844e+006	3.46563e+006	2.6518e+006	2.08617e+006	1.89569e+006	575302	142153	37029.9	13984.3	4323.14	964.435	0	0	482.218	0	482.218	964.435	0	0
9.82	5626.8	6872.7	1.21891e+006	3.17418e+006	3.26186e+006	2.61216e+006	1.89454e+006	1.71725e+006	507869	131390	50812.9	12425.7	5065.22	1713.88	0	856.942	0	428.471	0	428.471	0	0
 10.2	6084.12	4860.97	927356	3.06447e+006	3.05486e+006	2.50556e+006	1.8363e+006	1.671e+006	493104	130049	49294.2	15010.8	4601.13	1533.71	383.427	383.427	766.855	0	0	0	383.427	0
 10.6	6193.93	6509.14	1.15399e+006	2.71576e+006	2.65322e+006	2.42201e+006	1.74195e+006	1.64289e+006	460554	116644	42234.9	14398.7	4815.08	1375.74	687.869	687.869	343.934	343.934	343.934	687.869	0	0
 10.9	6181.79	4329.21	553006	2.3753e+006	2.52554e+006	2.28816e+006	1.73644e+006	1.46388e+006	422640	119060	36743	12935.2	3710.75	2473.84	309.23	0	309.23	0	309.23	309.23	309.23	0
 11.3	12056.8	4752.21	298484	2.18782e+006	2.34109e+006	2.22234e+006	1.64723e+006	1.38571e+006	403173	114704	36189.7	14154.5	4193.12	2236.33	559.083	1677.25	0	0	0	279.542	279.542	0
 11.8	17964.6	6337.23	221554	1.85983e+006	2.12858e+006	2.14149e+006	1.58992e+006	1.30076e+006	363042	110646	30126	9692.97	3802.34	24736.3	506.978	506.978	0	506.978	253.489	253.489	253.489	0
 12.2	8241.15	10083.8	195758	1.58845e+006	2.03003e+006	2.02104e+006	1.54069e+006	1.24169e+006	354075	98680.1	31462.4	8954.61	2670.27	7372.96	230.336	230.336	0	0	230.336	0	0	230.336
 12.6	7293.33	6566.77	215641	1.34337e+006	1.83517e+006	1.90719e+006	1.51758e+006	1.18893e+006	333071	103399	34184.6	9225.39	2705.15	2819.92	420.661	210.33	210.33	0	420.661	0	420.661	0
 13.1	6524.38	3913.22	253852	1.15923e+006	1.65453e+006	1.77278e+006	1.47429e+006	1.13919e+006	333380	96209.8	36265.4	8317.17	2996.69	1734.9	578.301	443.418	192.767	0	385.534	192.767	385.534	0
 13.6	8096.35	5162.08	234797	936967	1.4513e+006	1.65502e+006	1.38712e+006	1.08144e+006	318676	98944.2	26013.1	8972.58	4616.18	1082.96	353.322	653.596	353.322	353.322	353.322	176.661	0	176.661
 14.1	5476.95	13359.8	186837	666309	1.20982e+006	1.50715e+006	1.35737e+006	1.04682e+006	317955	99266	30939.1	12057.5	3533.23	2246.6	1133.84	314.759	485.932	161.977	0	161.977	0	0
 14.6	6521.81	12754.5	163432	564644	1.01826e+006	1.36471e+006	1.32992e+006	997640	313614	90156.3	29703.7	10559.4	3394.6	1638.06	297.829	118.483	297.829	0	0	0	0	148.915
 15.1	6646.33	28900.4	172051	479091	879488	1.22356e+006	1.26588e+006	971446	292884	91383.6	26690.2	8093.61	2788.39	1034.42	963.359	382.244	137.623	208.684	0	0	137.623	0
 15.7	5611.82	34800.3	164048	405572	754013	1.09512e+006	1.17663e+006	938773	286577	86998.5	29941.4	8296.46	3481.27	1082.82	765.818	352.091	127.636	444.64	127.636	0	127.636	35.0873
 16.3	11036.9	39819.9	162855	311290	616033	983488	1.09305e+006	873809	272577	87329	27919.7	10372.4	3407.1	1542.83	355.662	85.9634	355.662	237.108	237.108	237.108	118.554	204.517
 16.8	10848.3	56852.7	162638	257084	508424	838286	982415	837276	267917	84326.8	26274	10383.7	4269.98	1432.17	220.567	80.7341	191.017	330.85	441.133	110.283	0	110.283
 17.5	6977.67	78589.5	170420	229441	408176	691677	897187	781926	255134	86956	25401	8504.31	3672.53	1646.09	514.404	130.447	233.327	205.762	0	102.881	0	0
 18.1	5758.78	68266.9	164538	201351	323676	607420	793137	719839	250655	77556.6	24937.2	10028.7	2563.63	864.966	768.858	480.536	96.1073	192.215	576.644	192.215	106.07	96.1073
 18.8	7430.55	69425.2	147418	175010	281595	503813	686805	649143	225243	74441.4	25817.2	8960.8	2939.12	1530.26	1080.18	428.032	270.045	315.974	270.045	90.0151	170.699	90.0151
 19.5	6637.36	77921.6	141997	166613	233343	421303	580711	577797	228575	73101.7	23794.2	8643.48	1877.81	675.324	337.662	442.749	168.831	294.59	422.077	84.4155	0	253.246
 20.2	6148.53	65971.8	132880	164186	197778	350718	498629	532153	208798	65877.2	22780.5	8543.84	3725.37	1266.98	553.614	315.824	237.789	317.052	157.298	0	158.526	158.526
 20.9	6107.16	58727	119248	148947	168283	283907	425629	458438	183517	61529.3	21118.6	9054.74	3539.08	1186.27	340.021	445.006	370.413	293.175	442.309	114.106	71.9928	73.1188
 21.7	7049.53	77284.1	127777	131456	145308	229096	351207	395326	173035	57313.2	20227.2	6677.09	3460.9	1121.63	375.918	415.164	276.083	134.845	135.366	236.605	0	66.9833
 22.5	6659.71	68715.2	109123	118070	132862	189718	296968	331403	144335	51705	17999	6830.54	2393.21	1761.35	652.998	456.288	0	59.2999	258.662	234.163	194.946	194.945
 23.3	5812.84	66600.2	104226	114277	122017	160121	242011	276744	120578	44524.9	15429.2	5741.27	2111.16	858.09	427.902	366.488	118.612	179.435	308.081	143.077	0	0
 24.1	7068.58	66230	90475.1	106041	110109	140382	198037	225639	109844	38116.7	13971	5459.54	2208.25	635.238	400.302	168.66	110.237	686.557	283.862	170.945	172.627	146.936
 25.0	7405.24	81471	77243.2	98505.9	101727	124733	164638	193194	96043.3	34988.5	12345.1	3798.17	1753.82	1157.93	657.146	549.293	160.303	270.488	158.708	161.695	0	181.891
 25.9	6850.13	76736.8	76304.1	88151	97059	107659	145254	158229	81005.1	28300.3	9834.32	4208.2	1346.37	834.442	255.117	328.182	312.301	90.706	202.32	153.974	0	153.933
 26.9	6815.73	59289.4	74649.3	85982.8	85767.1	97436.8	121019	128181	67883.7	25012.4	8592.25	3453.88	1533.82	489.424	491.41	376.192	346.25	372.803	331.241	243.312	43.6743	133.129
 27.9	11681.4	46819.3	70658.3	77338.7	78544	88202.2	108923	103504	53648.4	19497.6	8638.37	3311.52	1116.05	554.804	274.933	275.671	327.773	376.751	47.5087	42.7336	136.889	148.867
 28.9	7815.25	37444.9	62396.2	73184.7	70305.3	80057.2	93921.3	87047.1	43714.4	15944.8	6494.56	2241.8	1218.24	751.426	486.173	129.816	222.382	474.514	145.416	84.6491	147.317	171.771
 30.0	7504.44	36077	57372.5	70582.6	65978.2	72447.2	77123.1	72568.9	38961.9	14657.9	5146.12	2663.27	1057.61	541.778	72.5797	245.956	164.338	370.128	449.909	163.997	190.905	105.753
 31.1	7611.57	39632	57274.1	64873.1	60397.8	62228.9	74477.2	63289.6	28984.8	11526.9	3837.34	1874.69	1627.64	611.171	397.484	398.639	311.58	358.029	320.95	320.244	156.278	210.659
 32.2	6234.72	37338.3	47169	56040.5	55479.6	58277.5	65294.2	54917.5	26486	10578.9	3945.14	1244.58	774.931	520.116	306.07	258.96	153.983	373.426	266.836	270.828	146.58	145.526
 33.4	6495.84	37525.6	46060.7	54310.1	50428.7	55077.3	59822	50840.8	21863.6	8334.15	3469.82	1514.88	850.04	617.868	367.103	329.304	291.158	357.66	136.894	218.332	333.661	287.359
 34.6	6736.52	33745.4	42701.4	49458.4	49612.8	49011.9	50777.4	43010.8	20086	8063.38	2291.82	1315.73	796.539	381.852	422.253	313.666	309.036	716.84	396.333	208.488	132.017	175.722
 35.9	5773.23	29249.1	41236.2	41465.7	48452.5	45797.3	47269.8	36594.5	16955.1	6239.33	2759.07	1045.77	568.653	336.234	370.509	234.238	257.622	277.717	318.072	199.053	129.702	333.614
 37.2	6906.79	22690.7	37094.7	38543.2	40897.3	43476.7	44374.4	32995.7	16591.6	6538.02	2300.53	803.23	932.868	344.06	315.101	357.296	155.97	539.051	322.363	151.139	128.273	158.045
 38.5	6092.56	19755.4	37180.9	35236.2	35051.1	36330.5	39652.3	31548.1	14477.3	5424.05	2040.07	933.158	769.265	424.85	366.501	177.025	181.444	557.429	264.908	268.852	219.127	181.946
 40.0	6865.07	21172.8	34861.8	31869.4	31536.6	32747.9	32889.4	26953.1	12925.2	4580.46	1410.05	1105.22	857.408	439.77	293.811	290.462	141.999	549.377	358.818	140.345	170.391	138.611
 41.4	7402.1	16381.3	28545.8	28006.1	29324.6	30754.5	30410.4	25101.5	11649.2	3886.99	1439.6	702.419	495.553	550.285	348.599	151.748	110.956	578.513	195.522	160.162	133.748	277.194
 42.9	5967.17	12917.7	25232.3	26302.9	26752.1	27188.4	27938	21754.8	10790.4	4528.99	1700.06	779.588	752.13	409.101	331.61	305.767	186.998	450.097	191.349	196.788	218.14	145.996
 44.5	6214.97	12615.3	24149.8	24359.1	24206.7	24827.4	25953.5	19734.1	9248.78	3416.62	1295.49	703.984	471.439	621.276	355.332	292.609	234.441	276.686	202.14	234.606	179.666	262.922
 46.1	5867.11	10165.8	22538.8	22054.5	21242.6	22202	21887.8	16424.7	7462.14	3211.46	1311.25	565.051	653.044	305.653	222.202	390.767	253.93	387.34	191.624	119.784	276.788	256.615
 47.8	5615.09	8520.62	20572.9	19447.2	18423.3	19845.4	20409.5	16577.7	6385.52	2598.31	984.773	685.567	444.918	473.19	172.105	270.914	176.83	520.273	274.846	144.572	71.6462	283.824
 49.6	5019.23	10910.9	17583	17586.5	16263.2	17217.6	18085.8	14084.8	6544.47	2507.63	866.206	505.526	572.927	300.863	251.229	186.557	284.555	276.575	226.179	169.891	245.995	221.227
 51.4	4786.48	11207.3	17396	14650.3	14976.2	16032.1	16803.7	12662.4	5911.73	2111.9	911.349	458.766	435.804	285	133.771	92.0462	364.217	332.129	304.341	119.804	166.174	116.778
 53.3	4200.1	10489.7	14728.9	14556.4	13625.5	14938.6	14228.1	10095.7	4899.53	2084.75	668.376	525.739	425.722	217.505	293.608	265.779	183.27	513.591	228.13	217.237	81.5172	135.74
 55.2	4126.08	9928.68	13043.6	11546.5	12336.1	12487.4	12767.7	9646.01	4755.95	1692.83	997.165	303.307	513.92	378.062	260.142	125.411	120.172	221.366	306.476	292.842	77.2415	132.288
 57.3	3356.77	9137.95	10837	11193.1	10940.9	10534.2	11828.4	8015.27	3744.35	1870.97	516.731	444.008	448.316	305.015	217.865	188.154	215.371	459.716	147.073	215.674	149.94	261.141
 59.4	3433.17	7190.04	10138.9	9152.68	9237.04	9885.2	10048.4	6637.76	3089.18	1502.36	590.961	386.7	398.742	163.597	78.6315	270.882	58.6016	228.471	187.264	122.99	212.428	18.6345
 61.5	2966.07	6040.63	9171.78	9163.44	7751.03	7736.97	8229.28	6241.9	3016.75	1221.75	438.794	285.179	420.096	264.531	202.71	216.095	162.853	342.979	86.2476	125.129	120.118	107.439
 63.8	2858.19	5522.75	7588.78	6833.7	6858.24	6932.41	6650.18	5943.65	2356.72	1105.44	519.622	313.288	273.005	199.322	74.2478	157.456	160.442	154.046	155.576	158.508	159.298	213.614
 66.1	2521.7	4896.63	6516.6	5697.52	5764.77	6028.2	5706.09	4487.55	2230.47	965.188	258.836	337.23	306.249	149.342	132.018	113.972	151.962	157.422	276.192	150.485	137.772	56.9851
 68.5	2403.62	4748.05	5810.22	5330.45	4913.8	5058.08	5531.75	4744.66	2207.35	608.146	459.463	154.936	239.688	184.316	171.599	127.754	136.684	149.745	172.608	135.01	114.693	66.7941
 71.0	2238.72	3386.57	5430.34	4450.1	4531.22	4624.55	4660.68	3116.9	1446.86	938.561	458.706	105.299	156.535	172.072	164.176	135.852	110.215	302.444	180.866	65.0117	102.305	59.6931
 73.7	2153.85	3262.9	4318.45	4161.81	4104.2	4196.08	3729.29	3047.28	1357.02	601.235	225.486	217.816	664.178	209.972	136.492	123.578	48.6078	146.546	118.387	45.8339	0	33.9662
 76.4	1843.64	3228.41	3619.78	3447.45	3351.09	3215.5	3037.73	2673.05	1367.79	555.67	222.727	235.498	2096.4	107.029	82.8252	70.9963	2.38626	121.54	108.867	86.3143	77.1613	55.677
 79.1	1470.4	2663.04	2778.12	3274.15	2400.75	2499.63	2713.73	2503.29	1160.33	347.951	221.56	78.9334	289.413	122.466	151.637	139.677	93.9279	154.157	98.3334	141.013	126.905	54.3284
 82.0	1692.49	2030.34	2507.51	2961.46	2761.04	2397.03	2143.53	2238.03	867.643	299.215	233.972	45.0294	165.249	112.996	72.008	75.1635	166.176	145.934	113.764	12.2909	104.828	46.5817
 85.1	1423.71	1641.76	1862.11	1908.2	1669.8	1789.22	2033.95	1635.35	784.916	475.768	223.592	55.6434	185.62	57.1437	86.3361	126.514	21.9713	74.9578	57.5994	100.378	30.1668	78.8364
 88.2	1365.55	1526.98	1561.85	1691.11	1677.33	1471.9	1380.5	1668.12	670.938	230.85	139.615	64.4097	143.545	113.856	50.7236	81.7378	60.5783	137.949	75.179	41.1829	58.9386	18.131
 91.4	1236.95	1413.41	1691.34	1536.02	1632.65	1212.91	1608.37	1281.18	588.516	461.539	70.1138	106.391	170.657	62.996	102.429	159.687	53.0422	98.5733	151.402	35.7175	71.7723	13.3678
 94.7	983.637	963.93	1286.92	1157.1	1277.7	1253.03	1776.32	1220.38	493.385	185.755	153.019	135.944	109.01	59.1213	29.7442	13.4739	39.0103	78.6583	47.5927	45.4995	24.9565	89.6662
 98.2	938.965	1185.68	1317.13	1320.3	1379.52	1170.5	3015.6	911.628	410.301	156.542	133.848	20.5595	116.669	85.0835	66.5429	57.1451	71.5343	140.93	59.2597	76.7047	31.6006	10.1859
101.8	1088.93	1129.72	1038.73	1112.48	1177.09	1027.89	997.159	1084.71	359.205	174.615	13.1524	51.3415	114.412	89.1187	46.3309	70.6376	12.8963	64.3409	41.2298	22.4636	31.1027	29.4409
105.5	1016.78	1252.02	1105.96	1558.56	893.832	1158.84	1040.88	1043.27	463.183	174.035	63.352	63.352	97.9243	13.3023	65.8866	12.5788	33.8488	77.7418	79.1888	64.0755	78.4653	32.0377
