Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\High2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17	03/15/17
Start Time	19:27:31	19:32:35	19:37:35	19:42:36	19:47:35	19:52:35	19:57:35	20:02:35	20:07:35	20:12:35	20:17:35	20:22:35	20:27:35	20:32:35	20:37:35	20:42:35	20:47:35	20:52:35	20:57:35	21:02:35	21:07:35	21:12:35
Diameter Midpoint
7.10	1495.29	1495.29	78550.1	221281	1.46337e+006	2.08478e+006	1.59834e+006	1.26855e+006	469511	116693	42663.3	13457.6	5981.15	2990.57	0	0	0	0	0	0	0	0
7.37	2537.35	3806.02	49069.7	149561	1.23175e+006	2.00904e+006	1.63059e+006	1.17703e+006	467591	135789	41191.5	10415.5	3806.02	3806.02	0	0	0	1268.67	0	0	0	0
7.64	2167.12	0	34699.8	91577.4	1.01666e+006	1.83694e+006	1.3601e+006	1.13746e+006	397724	118387	23514.6	8441.15	1083.56	2167.12	0	0	0	1083.56	1083.56	0	1083.56	0
7.91	1864.65	1864.65	21689.6	64154.7	859873	1.61757e+006	1.22263e+006	1.10058e+006	379134	85565.8	30344.9	9323.25	1864.65	1864.65	0	0	0	0	1864.65	0	0	0
8.20	1615.53	2423.3	29485.4	58569.7	687343	1.36846e+006	1.14284e+006	975755	354092	98159.8	26455.3	6462.14	6462.14	0	0	0	0	0	1615.53	807.767	0	0
8.51	2820.54	2292.4	18510.5	33315.7	571261	1.19185e+006	1.01312e+006	800591	297517	88842	24328.6	4407.81	705.135	705.135	0	1410.27	0	176.997	0	0	0	705.135
8.82	3090.83	1081.16	17300.2	23798.1	428051	980901	935185	832784	299367	75032.2	23798.1	9117.32	1854.5	618.166	0	618.166	1236.33	1081.16	618.166	0	618.166	0
9.14	2720.86	544.171	9121.77	17957.7	331437	797306	840175	729152	249565	79839.3	20054.3	5673.8	2176.69	1088.34	0	0	1088.34	0	0	0	544.171	0
9.47	1446.65	2411.09	7715.48	6837.06	244561	668843	701445	645070	225633	68407.6	20496.1	5184.75	3375.52	482.218	0	0	0	482.218	0	0	0	482.218
9.82	3055.97	2142.35	5570.12	9349.93	186004	538164	617715	563007	188957	66819.1	23469.7	7264.25	2142.35	2142.35	428.471	0	0	0	0	56.6729	0	0
 10.2	2661.83	1533.71	6191.95	4984.56	142911	425047	460152	498380	160137	56253	20299.5	8384.69	2683.99	766.855	0	383.427	0	0	383.427	332.712	0	383.427
 10.6	4101.6	1375.74	4421.47	4128.77	99738.7	310926	414509	407053	149306	53183.3	15454.5	5159.02	687.869	687.869	0	1031.8	0	343.934	0	0	0	0
 10.9	3092.3	1855.38	4612.9	4018.58	87070.8	235516	329000	362723	141786	38889.1	15101.2	4638.44	1546.15	0	0	0	0	0	309.23	0	618.459	0
 11.3	1677.25	3026.36	2258.16	3074.96	54413.3	180257	267636	294463	105744	35372.9	11504.9	4655.01	1677.25	838.625	279.542	0	279.542	0	559.083	0	0	0
 11.8	3223.54	4535.05	2027.91	4055.83	39410.4	132803	201843	235660	96764.2	31431.5	9995.92	4904.43	760.467	253.489	0	253.489	0	0	253.489	0	0	0
 12.2	2505.2	1907.95	2073.03	2533.7	32394.1	91678.5	152875	191521	79362.5	26001.7	7637.85	4282.62	691.009	230.336	921.345	230.336	136.573	230.336	230.336	230.336	230.336	0
 12.6	2609.59	1472.31	1892.97	2313.64	21451.9	63455.3	112405	147902	62589.2	21452.5	7753.08	2819.92	841.322	630.991	210.33	210.33	295.95	210.33	0	210.33	0	0
 13.1	1156.6	1927.67	2621.74	1349.37	15467.2	41275.8	78012.2	119400	47435.3	19473.5	6273.73	2698.74	1214.49	385.534	385.534	0	192.767	0	192.767	192.767	578.301	192.767
 13.6	1966.26	3356.56	3273.45	729.633	10739.2	29517.8	54534.9	96509.3	36388.5	14166.3	5123.17	1612.94	1006.92	0	0	176.661	0	0	22.9892	0	0	176.661
 14.1	2570.56	3239.55	302.876	2084.63	8655.95	21433.8	38122.7	80734.7	26257.4	9484.23	4535.36	2084.63	638.713	485.932	323.955	0	323.955	323.955	140.899	0	485.932	0
 14.6	2531.55	1819.23	2343.75	744.573	8027.87	12026.6	24725	57054.7	18663.5	9163.39	2829.38	893.488	714.142	0	0	297.829	0	0	0	0	0	0
 15.1	2201.96	2793.7	1279.04	1447.29	5953.71	10122.8	19531.4	42661.8	18074.3	7987.43	1997.78	621.552	244.621	137.623	0	137.623	137.623	137.623	137.623	137.623	137.623	137.623
 15.7	1786.91	955.186	1945.46	862.637	3516.35	6668	10748.3	33502.7	12763.7	5109.72	1408.27	955.186	317.004	127.636	127.636	0	0	127.636	127.636	127.636	0	0
 16.3	2608.19	1427.54	1271.5	1271.5	2426.08	5305.59	6667.95	25774.3	5984.33	2900.3	766.326	237.108	0	0	237.108	0	0	118.554	118.554	118.554	118.554	355.662
 16.8	1985.1	2201.12	1514.42	1323.4	2615.73	2754.05	4293.47	17771.2	6304.75	2314.43	740.918	551.416	0	0	220.567	220.567	220.567	0	602.601	0	0	0
 17.5	3292.19	1484.47	1453.29	720.165	1262.14	1646.09	4012.35	16044.1	4521.49	1028.81	27.5657	0	102.881	0	205.762	0	205.762	308.642	363.774	102.881	102.881	102.881
 18.1	3758.15	1208.16	1743.58	288.322	2018.25	1567.6	3171.54	11770.9	3734.25	1259.36	480.536	384.429	288.322	96.1073	96.1073	96.1073	96.1073	192.215	192.215	192.215	96.1073	96.1073
 18.8	1588.9	1576.19	968.123	1080.18	1170.2	1862.32	1508.21	11219.8	2138.32	890.82	0	180.03	90.0151	90.0151	270.045	90.0151	0	180.03	90.0151	90.0151	90.0151	90.0151
