TSI CPC DATA VERSION 3
1489752596,2017/3/17,12:09:56
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/17,12:09:48,625,15823,11.66,,1014,0.000,2584,449,0
2017/3/17,12:10:00,632,20546,14.98,,1014,0.000,2581,441,0
2017/3/17,12:10:15,640,20810,14.98,,1014,0.000,2593,439,0
2017/3/17,12:10:30,638,20749,14.98,,1014,0.000,2593,443,0
2017/3/17,12:10:45,622,20220,14.98,,1014,0.000,2581,449,0
2017/3/17,12:11:00,651,21165,14.98,,1014,0.000,2595,440,0
2017/3/17,12:11:15,644,20934,14.98,,1014,0.000,2601,437,0
2017/3/17,12:11:30,645,20968,14.98,,1014,0.000,2575,451,0
2017/3/17,12:11:45,629,20467,14.98,,1014,0.000,2596,428,0
2017/3/17,12:12:00,623,20278,14.98,,1014,0.000,2583,440,0
2017/3/17,12:12:15,638,20752,14.98,,1014,0.000,2581,484,0
2017/3/17,12:12:30,629,20462,14.98,,1014,0.000,2545,483,0
2017/3/17,12:12:45,639,20785,14.98,,1014,0.000,2575,443,0
2017/3/17,12:13:00,617,20081,14.98,,1014,0.000,2569,462,0
2017/3/17,12:13:15,629,20465,14.98,,1014,0.000,2597,437,0
2017/3/17,12:13:30,626,20354,14.98,,1014,0.000,2574,474,0
2017/3/17,12:13:45,648,21072,14.98,,1014,0.000,2565,488,0
2017/3/17,12:14:00,652,21222,14.98,,1014,0.000,2590,423,0
2017/3/17,12:14:15,640,20815,14.98,,1014,0.000,2576,461,0
2017/3/17,12:14:30,620,20175,14.98,,1014,0.000,2567,456,0
2017/3/17,12:14:45,626,20351,14.98,,1014,0.000,2576,458,0
2017/3/17,12:15:00,637,20710,14.98,,1014,0.000,2565,468,0
2017/3/17,12:15:15,641,20863,14.98,,1014,0.000,2569,449,0
2017/3/17,12:15:30,645,20964,14.98,,1014,0.000,2602,437,0
2017/3/17,12:15:45,660,21452,14.98,,1014,0.000,2589,462,0
2017/3/17,12:16:00,662,21545,14.98,,1014,0.000,2575,460,0
2017/3/17,12:16:15,656,21348,14.98,,1014,0.000,2563,467,0
2017/3/17,12:16:30,628,20420,14.98,,1014,0.000,2575,449,0
2017/3/17,12:16:45,627,20382,14.98,,1014,0.000,2558,494,0
2017/3/17,12:17:00,630,20491,14.98,,1014,0.000,2604,411,0
2017/3/17,12:17:15,633,20592,14.98,,1014,0.000,2550,485,0
2017/3/17,12:17:30,628,20440,14.98,,1014,0.000,2573,460,0
2017/3/17,12:17:45,630,20505,14.98,,1014,0.000,2539,484,0
2017/3/17,12:18:00,633,20578,14.98,,1014,0.000,2559,479,0
2017/3/17,12:18:15,642,20893,14.98,,1014,0.000,2581,447,0
2017/3/17,12:18:30,635,20651,14.98,,1014,0.000,2590,435,0
2017/3/17,12:18:45,621,20200,14.98,,1014,0.000,2564,451,0
2017/3/17,12:19:00,631,20533,14.98,,1014,0.000,2589,444,0
2017/3/17,12:19:15,621,20196,14.98,,1014,0.000,2558,477,0
2017/3/17,12:19:30,631,20512,14.98,,1014,0.000,2562,469,0
2017/3/17,12:19:45,627,20400,14.98,,1014,0.000,2584,432,0
2017/3/17,12:20:00,628,20421,14.98,,1014,0.000,2573,458,0
2017/3/17,12:20:15,628,20430,14.98,,1014,0.000,2585,447,0
2017/3/17,12:20:30,4.46e3,140935,14.86,,1014,0.000,2546,463,0
2017/3/17,12:20:45,3.89e4,1164856,13.86,,1014,0.000,2186,570,0
2017/3/17,12:21:00,3.82e4,1127423,13.9,,1014,0.000,2204,570,0
2017/3/17,12:21:15,5.53e4,1601256,13.45,,1014,0.000,2111,529,0
2017/3/17,12:21:30,4.54e4,1346463,13.7,,1014,0.000,2144,581,0
2017/3/17,12:21:45,4.59e4,1361289,13.69,,1014,0.000,2154,524,0
2017/3/17,12:22:00,5.26e4,1534936,13.53,,1014,0.000,2149,496,0
2017/3/17,12:22:15,1.08e5,2863261,12.19,,1014,0.000,1849,500,0
2017/3/17,12:22:30,1.48e5,3539828,11.37,,1014,0.000,1805,473,0
2017/3/17,12:22:45,1.38e5,3434755,11.54,,1014,0.000,1787,493,0
2017/3/17,12:23:00,1.87e5,4249392,10.54,,1014,0.000,1702,529,0
2017/3/17,12:23:15,1.79e5,4141822,10.68,,1014,0.000,1701,499,0
2017/3/17,12:23:30,2.11e5,4605299,10.06,,1014,0.000,1672,538,0
2017/3/17,12:23:45,2.40e5,4942971,9.552,,1014,0.000,1617,501,0
2017/3/17,12:24:00,3.05e5,5543149,8.495,,1014,0.000,1523,535,0
