Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17	03/17/17
Start Time	12:15:00	12:20:03	12:25:03	12:30:03	12:35:03	12:40:03	12:45:03	12:50:03	12:55:03	13:00:03	13:05:03	13:10:03	13:15:03	13:20:03	13:25:03	13:30:03	13:35:03	13:40:03	13:45:03	13:50:03	13:55:03	14:00:03
Diameter Midpoint
7.10	0	1495.29	5.07281e+006	3.78301e+006	2.21148e+006	1.57081e+006	1.06614e+006	763157	424653	213343	154871	65092.6	34104.9	20934	14952.9	3255.65	4485.86	4485.86	4485.86	4750.94	0	0
7.37	0	0	4.83723e+006	3.63584e+006	2.25488e+006	1.50591e+006	1.02929e+006	708887	409437	222409	116617	60221.6	50563.3	11950.3	15224.1	12461.8	5074.69	4072.16	1268.67	1043.77	2537.35	1268.67
7.64	1083.56	2167.12	4.70132e+006	3.64133e+006	2.08089e+006	1.35769e+006	912524	635038	366816	185191	118763	63859.5	40370.9	23383.7	10835.6	5417.79	5417.79	4106.92	2167.12	2420.4	0	3250.67
7.91	1864.65	932.325	4.24944e+006	3.1345e+006	1.90393e+006	1.26086e+006	840827	606595	340324	166024	93942.6	63458.7	36857.1	24240.4	16081.5	8390.92	6526.27	1864.65	1864.65	3511.37	4661.62	932.325
8.20	0	807.767	3.73203e+006	3.06209e+006	1.72314e+006	1.1127e+006	813766	608563	302372	158552	86038.5	52108.6	32516.4	21413.5	8890.18	6462.14	4038.84	3436.83	3231.07	1013.53	1615.53	807.767
8.51	0	1410.27	3.35778e+006	2.82371e+006	1.687e+006	1.06395e+006	755652	523330	271966	157052	91665.2	53762	38074.7	22382.1	14100.1	7051.35	3702.67	2640.92	2115.41	1935.79	705.135	1410.27
8.82	1854.5	1383.03	3.44453e+006	2.60985e+006	1.46705e+006	1.04131e+006	717075	510221	252575	152320	86639.1	53576.9	38317.8	16063.8	16210.5	4945.32	4171.99	3090.83	618.166	1854.5	2472.66	618.166
9.14	2176.69	3135.89	3.16549e+006	2.32567e+006	1.4667e+006	978530	667139	470703	263954	142285	87868	50065.2	32093	16660.2	12373.7	8162.57	5557.75	1632.51	2720.86	544.171	1632.51	2720.86
9.47	1928.87	1446.65	2.75326e+006	2.15894e+006	1.39408e+006	950757	668376	449180	261629	143791	80810.5	51339.5	27073.4	21942.7	12917	10212.6	5769.79	2979.32	2411.09	1928.87	964.435	2411.09
9.82	1285.41	2999.3	2.4478e+006	2.04687e+006	1.24357e+006	900660	688348	440156	269928	140193	79358.1	56799.4	33696.4	12386.2	12053.9	6350.64	3779.81	2922.87	1285.41	1285.41	1713.88	2142.35
 10.2	1150.28	766.855	2.30528e+006	1.85498e+006	1.24852e+006	929085	646520	423590	265963	145848	80564.6	52028.8	29907.3	26497.8	8470.36	7697.11	4601.13	3067.42	1533.71	2300.56	2300.56	1533.71
 10.6	1719.67	1031.8	2.14623e+006	1.68039e+006	1.16051e+006	918611	653864	446869	270698	154147	89419.2	52919.3	33371	18452.2	14371.5	8574.3	4128.77	2063.61	3440.9	1719.67	687.869	1377.29
 10.9	1831.23	4947.67	1.87197e+006	1.4743e+006	1.10057e+006	865436	641106	416001	265094	156083	77935.5	51777.4	43424	22209.2	14840.2	6492.42	9251.34	5875.36	1853.98	2783.07	1236.92	2163.21
 11.3	860.451	12299.8	1.77307e+006	1.30918e+006	1.02223e+006	780895	621968	422548	259686	163118	87770.9	55028.1	34062.5	20073.5	14439	9735.36	7289.91	4193.12	3913.58	1956.79	1956.79	1677.25
 11.8	1267.45	17237.3	1.55684e+006	1.19108e+006	937219	755715	572382	403547	265760	147311	85782.1	58373.2	33603	21275.6	14321.6	7830.41	7532.85	2716.56	2788.38	2788.38	1013.96	3041.87
 12.2	460.672	35369.9	1.27184e+006	1.08726e+006	873835	707367	569877	408191	252344	149660	82605.4	58585.1	41099.9	24460.7	16592.5	11394.5	5823.67	4671.99	5340.54	2994.37	2073.03	230.336
 12.6	305.891	70782.3	1.06325e+006	939333	777778	696079	521202	408729	261748	159018	90405.6	54375.2	42174.7	28154	19406.9	12580.7	7437.92	5889.25	4989.63	3346.08	3154.96	1892.97
 13.1	1840.09	91355.9	908408	807358	732301	634240	520881	402204	263861	144139	93298.7	58109.9	40805.7	28368.9	15102.8	11662.7	8662.42	5204.71	2909.11	4123.6	1927.67	1349.37
 13.6	552.972	105357	730802	709249	635547	590570	501196	361091	249004	160589	92133.6	59742.9	38300.1	23753.6	17240.1	11087	7082.36	6229.11	4946.51	2773.53	2849.57	1259.62
 14.1	626.831	128193	628494	609044	577630	530195	468852	347092	241720	156109	89328.8	59187.6	40210	28410.7	13038.5	10953.9	6892.59	5275.51	4211.41	3077.57	1913.45	2237.41
 14.6	595.658	94925.2	519746	513968	496757	496688	421514	332989	227910	141062	88265.1	59958.8	37833.2	30487.2	19032.5	13004.7	11326	6538.72	3276.12	3981.81	2242.17	1122
 15.1	825.736	110167	422372	434453	432434	440731	374170	314162	222116	131931	95124.7	57615.8	40737.6	31342.5	16632.3	14291.9	9638.09	6095.84	4546.05	3409.94	2614.83	2824.33
 15.7	127.636	147668	351247	361048	379440	395646	350249	284593	200676	123154	84499	58329.2	40059.9	26790	18867.9	12094.7	7689.09	6320.18	4207.82	2649.55	2587.81	1404
 16.3	592.769	132635	291003	299975	323469	323865	315981	263029	184420	118171	79360.3	55291	35646.4	27157.4	20595.4	14252.1	8745.29	5864.14	3796.98	3054.7	2577.22	2133.97
 16.8	1102.83	102134	243151	263251	279488	284600	268406	230953	169673	111841	75665.2	49350.7	37566.2	27603.5	19030.9	11045.4	10082.4	6144.8	4187.73	2722.98	2946.58	1543.97
 17.5	617.285	96018.7	208001	213096	230614	237648	238992	215844	155876	101538	70083.4	48185.7	33649.9	25812.2	17422.1	12957.7	9608.43	5215.74	3395.07	3466.77	2908.23	2263.38
 18.1	384.429	99934.8	165910	170727	188428	201619	195679	185535	139927	98544.1	63816.1	45683.8	37054.5	24463.4	15917.2	12049.3	7357.65	4591.84	4324.83	3140.27	2787.11	1653.75
 18.8	608.063	96428.1	133545	139599	152386	175749	173147	165961	114693	83362.9	62024.1	41969	26476.7	22546.7	16982.6	11883.1	6713.81	5136.08	3152.37	2601.11	2656.37	2389.7
 19.5	527.165	97569.7	109282	109936	131646	144787	148949	135900	106145	77594	50695.3	39570.7	30087.4	18538.1	13033	9759.82	7778.65	5496.89	3744.83	2532.46	2469.54	2026.79
 20.2	1424.28	92625.5	90465.8	91959.3	98399.3	114226	120415	118945	90795.3	66220	49035	33712.3	26935.8	17041.2	14210	10129.1	6956.12	4404.74	4086.46	3722.91	2079.48	1919.73
 20.9	740.054	81512.2	73338.6	77520.9	83176.3	97488.5	93756.4	97441.4	78552.1	60107.8	38819.2	28250.8	21526.9	16767.6	11735.7	8489.67	6523.9	4361.61	3758.07	2300.58	1864.54	1334.46
 21.7	843.521	69534.2	68877.7	70588.7	70547.5	72954.1	78978.9	83146.4	63912.3	47613.9	33414.7	25823.7	18957.5	16346.5	10043.1	8697.51	5299.69	5213.75	3336.64	2319.67	2099.38	1621.5
 22.5	776.458	70899.6	56010.5	56667	55210.8	60001.9	63352.9	68267.4	52770.7	39988.6	28487.8	20837.1	16020.4	13756.9	8724.59	6539.33	4177.67	3772.39	2955.34	1752.23	1995.72	2499.99
 23.3	1358.58	63028.6	47746.6	48349.5	45892.3	51856.9	54989.6	58262.9	44548.4	34388.4	23253.1	16534	12511	10211.7	7791.56	5968.44	4647.41	3074.63	2410.81	1856.25	1326.33	1223.79
 24.1	633.396	56390.4	44299.2	40058.7	41825.6	42473.1	47605.8	45172.6	35337.7	26813.9	19506.4	15015.9	11705.2	8002.42	5406.59	4901.6	2917.44	2950.52	2032.56	1449.15	1678.14	1311.87
 25.0	914.288	53682.2	42069.2	41888.4	34998	37400	40297.2	39825.2	28365.6	22941.4	17566.5	14055.8	10290.5	6837.74	5032.43	4200.89	3275.25	2524.89	2027.89	824.636	1484.3	1790.08
 25.9	823.07	47125.8	35678.5	34769.5	32404.1	34796.5	33244.8	34244.6	26264.5	18652.8	13400.9	10742.5	7371.66	6685.04	4127.91	3338.59	3133.85	2245.91	1521.05	1076.11	1325.76	942.869
