TSI CPC DATA VERSION 3
1490354681,2017/3/24,11:24:41
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/24,11:24:39,2.14e3,23746,5.096,,1023,0.000,2617,429,0
2017/3/24,11:24:45,2.16e3,70426,14.92,,1023,0.000,2569,468,0
2017/3/24,11:25:00,2.15e3,70069,14.92,,1023,0.000,2596,452,0
2017/3/24,11:25:15,2.12e3,68937,14.93,,1023,0.000,2576,446,0
2017/3/24,11:25:30,2.13e3,69307,14.93,,1023,0.000,2578,468,0
2017/3/24,11:25:45,2.13e3,69234,14.93,,1023,0.000,2597,418,0
2017/3/24,11:26:00,2.10e3,68565,14.93,,1023,0.000,2573,463,0
2017/3/24,11:26:15,2.12e3,69063,14.93,,1023,0.000,2595,443,0
2017/3/24,11:26:30,2.11e3,68796,14.93,,1023,0.000,2602,432,0
2017/3/24,11:26:45,2.10e3,68393,14.93,,1023,0.000,2615,430,0
2017/3/24,11:27:00,2.08e3,67896,14.93,,1023,0.000,2612,427,0
2017/3/24,11:27:15,2.09e3,68087,14.93,,1023,0.000,2608,432,0
2017/3/24,11:27:30,2.08e3,67813,14.93,,1023,0.000,2558,491,0
2017/3/24,11:27:45,2.04e3,66584,14.93,,1023,0.000,2573,478,0
2017/3/24,11:28:00,2.02e3,65899,14.93,,1023,0.000,2607,437,0
2017/3/24,11:28:15,2.02e3,65789,14.93,,1023,0.000,2578,469,0
2017/3/24,11:28:30,2.02e3,65733,14.93,,1023,0.000,2567,494,0
2017/3/24,11:28:45,2.01e3,65492,14.93,,1023,0.000,2596,419,0
2017/3/24,11:29:00,2.00e3,65028,14.93,,1023,0.000,2592,452,0
2017/3/24,11:29:15,2.00e3,65245,14.93,,1023,0.000,2607,426,0
2017/3/24,11:29:30,2.00e3,65094,14.93,,1023,0.000,2580,465,0
2017/3/24,11:29:45,2.00e3,65074,14.93,,1023,0.000,2584,454,0
2017/3/24,11:30:00,1.99e3,64861,14.93,,1023,0.000,2580,471,0
