Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Medium2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Date	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17
Start Time	17:47:44	17:52:48	17:57:48	18:02:48	18:07:47	18:12:48	18:17:48	18:22:48	18:27:48	18:32:48	18:37:48	18:42:48	18:47:48	18:52:48	18:57:48	19:02:48
Diameter Midpoint
7.10	65384.2	82831.8	150507	130864	152089	139244	111921	134963	132529	121157	116285	84122.9	112738	115789	143730	92129.5
7.37	82996	104155	155762	149419	121650	158176	113302	101351	122366	100390	128710	87396	82587.5	69942	98077.7	97095.6
7.64	58057.5	64584.8	109037	106870	136580	89637.6	105209	93237.9	78671.1	102212	85425.7	86483.3	73253.3	85958.2	49187.7	84569.5
7.91	48012.6	64804.2	87202.7	96985.7	80672.1	94689.4	95385.5	78571.2	75300.4	82815.3	69488.5	65276.8	65508.8	73028	59678.6	64590.6
8.20	256483	149661	78574.4	100794	69677.4	89877.4	70093.7	67664.6	69894.8	70896.7	63623.1	60206.3	60386.3	54541.4	70490	53326.9
8.51	40356.4	50405.3	86364.5	74023.2	58172.5	71918.8	61336.3	59052	58684.6	63631.3	57282.2	54097.2	39485	46702.6	54290.2	40007.8
8.82	42791.7	40750.6	64410.5	62866.4	67229.2	55607	52070.1	48792.8	44954	49597.4	38148.2	45255.9	47558.9	49266.7	44019.5	43872.8
9.14	34684.7	41786.6	58254	57085.6	111278	49248.2	51291.1	48677.8	45024	37106.6	39025	44894.8	51398.7	35630.8	33155.2	36977.5
9.47	37199.9	26505.1	47429.3	50565.6	48255.6	41539.9	44694.7	47689.1	37544	41523.1	36132.7	37199.9	39801.6	30828.3	38268.9	28021
9.82	19985.3	34201.3	43236.1	46624.3	41273.1	33809.7	37257.2	31647.6	34587.6	30362.2	34408.2	37035.7	31913.8	31724	32733.8	30475.5
 10.2	18845.1	23034.2	45526.4	37956.4	37566.5	27974.4	33719.5	30167.2	38067	32936.8	28617.7	33494.4	28205.7	29869.4	26304.3	27055.4
 10.6	19901.6	31965	58132.7	39723.3	37021.5	30200.3	35404.3	25431.8	24395.3	27762.5	25697.3	21622.9	20221.5	25353.4	20639.2	30878.8
 10.9	19095.6	24400.8	42212.6	37029.5	32464.9	30222.3	30561.2	26752.5	26544.1	23090	25517	22447.4	20046	23163.9	24402.2	18837.5
