Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Medium 4.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17
Start Time	12:58:28	13:03:31	13:08:31	13:13:31	13:18:31	13:23:31	13:28:31	13:33:31	13:38:32	13:43:31	13:48:31	13:53:31	13:58:31	14:03:31	14:08:32	14:13:32	14:18:32	14:23:32	14:28:32	14:33:32	14:38:32	14:43:32	14:48:32
Diameter Midpoint
7.10	159913	191701	175870	141270	172901	173262	152702	155427	152376	96641.9	93855.5	46006.3	41868	27180.2	22225.1	16243.9	8971.72	14748.7	21199.1	10793	14952.9	13457.6	20994.9
7.37	154124	131882	145592	154452	136854	132210	129528	129815	141662	106344	67280.9	36832.8	31716.8	14999.2	19296.2	16492.8	15224.1	10149.4	13730.5	9965.71	10149.4	20298.8	16267.8
7.64	108966	133382	140031	124687	119898	127361	118439	115966	132875	96112.9	50882.8	33363	20010.6	21671.2	16279.3	18927	9752.02	6754.63	12172.4	12775.4	16253.4	15423.1	13002.7
7.91	95881.9	110066	114250	90709.8	101197	93771.2	106573	93970.8	117965	54817.4	38068	32863.4	30794.9	11187.9	15631.6	11684.4	10255.6	9105.32	13066.6	14917.2	9323.25	7240.67	3729.3
8.20	96544.3	97968.3	99775.3	100990	91697.7	100795	80183.2	89881.1	96951	47873.5	23631	26455.3	17368.8	12322.3	9693.2	7269.9	9898.97	9693.2	6466.88	4244.6	8885.44	4038.84	8077.67
8.51	88839.2	81074.6	84962.4	73323.6	82316	80897.8	71036.4	72621.1	80374.9	54815.7	35959.3	28205.4	15338.8	8987.14	7756.49	8461.62	10574.4	8461.62	9164.14	5461.46	7405.35	7051.35	5818.08
8.82	63174.2	68576.6	72754.5	71673.3	76164.1	71371.5	60215.6	68119.5	67964.4	44166.2	25336.3	24108.5	11426.3	9272.48	4473.86	9272.48	10971.8	8182.85	4790.16	6181.66	6489.49	5563.49	7880.99
9.14	52928.3	67723.8	67540.9	67112.8	55930.3	64172.9	54405.5	53704.5	65364.2	38583.8	31120.7	18733.9	12618.9	9483	5312.57	5013.58	7074.23	6516.96	7074.23	6530.06	3809.2	4897.54	4897.54
9.47	49651.6	56937.2	54010.3	52857	50257.1	48429.3	53871.9	56455	60985.5	31673.1	22234.4	13778.6	11539.6	7509.82	6751.05	7130.43	4425.97	7612.65	5304.39	8197.7	2411.09	4822.18	2979.32
9.82	39399.6	51394.2	52955.2	52918.3	41797.8	48557.1	47520.8	48281.5	52812.7	27249.5	19108.6	12110.5	9330.18	7284.01	5998.59	5141.65	3836.48	4284.71	7712.48	4769.85	4341.38	3484.44	7636.05
 10.2	38022.8	38586.8	44224	42522.5	43254.4	42465.4	44873.8	40250.5	47057.2	30680.6	21421.2	11401.4	6467.55	6901.69	6546.82	8463.96	6467.55	4601.13	2300.56	3016.7	4166.99	3045.26	4984.56
 10.6	40832	41862.2	35777	40137.9	32995.2	37784.7	36013.8	37368.6	46952.2	22995.5	14792.3	13072.6	8942.29	5502.95	7540.94	3757.66	4127.21	4816.64	3784.84	1377.29	4815.08	2037.99	4127.21
 10.9	37933.1	33223.6	38192.6	28685.9	37414	31229.4	31157	31462	38831	21619.1	16362.2	9583.32	7397.36	4638.44	4923.53	3401.52	3662.47	3709.35	2448.29	3066.75	3068.15	4638.44	1546.15
 11.3	30168.6	30379.8	34551.1	30061.6	31065.7	28136.5	32954.2	26245.2	35367.9	17997.6	11993.5	8289.05	6402.68	6429.46	3096.78	2236.33	2510.93	1956.79	2537.7	3376.33	3279.13	3026.36	1677.25
 11.8	26825.3	27635.2	26367.8	27122.2	25138.3	27393.1	23193.7	25910.2	32958.5	20637.1	10944.1	11423.3	5874.32	4309.32	3041.87	2027.91	2832.45	2534.89	3295.36	1013.96	1862.56	2578.96	2027.91
 12.2	22004.3	26309.4	24919.2	28254.1	27196.2	26869.9	21156.4	24301.6	28288.7	17477.1	11235.5	10336.6	6679.75	4649.53	3130.94	2533.7	2533.7	2303.36	3685.38	3455.04	1518.59	1748.93	1612.35
 12.6	20466.6	24071.4	24939.4	26661.8	25123.1	20610.6	21434.5	23574.4	22550.7	14483.7	7828.76	5974.87	4837.6	3746.86	2284.48	1892.97	3154.96	1892.97	1892.97	1453.1	3030.25	2399.26	2619.53
 13.1	19841.4	18521.7	24364.1	23107.9	21143.5	20961.3	16499.5	20056.8	21863.7	11343.6	9175.81	4742.17	3084.27	4048.11	3382.22	2120.44	1734.9	3084.27	1734.9	1559.74	2120.44	1734.9	2225.62
 13.6	21232.8	18374.5	23842.2	18643	22815.6	18623.4	19351.4	19989.1	20240.2	13595.8	6783.68	5040.06	2872.55	3709.88	3026.23	1413.29	1436.28	1589.95	2119.93	2473.25	1943.27	906.294	1766.61
 14.1	18059.8	17003.7	19025.2	17292.1	18026.9	15734.3	20032.6	16694.3	22468.7	8857.4	8080.47	4667.07	3521.34	3230.35	2876.12	1772.55	950.785	1124.65	2429.66	1781.75	1124.65	2732.54	1772.55
 14.6	16610.9	17025.4	15153.8	15277.3	16751.4	16949.2	14700.4	16157.3	18618	10393.6	5824.58	3841.35	3049.44	2093.26	2956.32	2947.86	2045.92	1795.43	1340.23	2194.83	863.056	2343.75	1497.6
 15.1	14049	17399.7	14597.8	15086.2	15363.1	15077.2	12610.7	14842.4	17224.1	10015.8	7369.56	4923.79	3170.63	2201.96	1412.16	1136.92	1207.98	2890.08	1034.42	1962.65	1687.41	2237.9	2064.34
 15.7	14427.2	14388.1	14841	13842.4	13696.5	11808.5	12953.1	14532.5	14264.5	8010.27	6254.28	4018.46	1465.73	1984.72	2169.82	1786.91	1408.27	1914.54	1721	1404	1404	1659.27	1439.09
 16.3	13219.4	14065.1	10224.6	12155.6	11700.6	12512.9	13451.6	12348.4	15319.1	8152.52	5745.59	3084.03	2728.37	2543	1779.94	474.216	1476.02	711.323	1541.2	1422.65	1542.83	829.877	1271.5
 16.8	11315.6	12180.8	13638	11724.2	13600.5	12935.8	12143.4	12283.5	12831.6	7656.18	3990.32	3247.88	1983.58	1595.15	1402.62	1845.27	882.266	1874.82	992.549	963	1211.6	771.983	441.133
 17.5	10734.9	9255.66	11109.5	10380.1	11115.2	12467.3	9672.91	11357.4	12790.5	6154.62	5020.97	3861.72	2043.01	2201.02	1673.66	541.97	1028.81	1234.57	1337.45	1203.39	1028.81	823.046	1646.09
 18.1	8112.57	9002.82	10148.4	9420.82	10964.5	11941.8	9818.9	11258.2	11974.5	5384.31	4662.96	2498.79	2224.12	2137.97	768.858	768.858	576.644	1441.61	1057.18	727.629	480.536	864.966	971.035
 18.8	10878.4	10884.3	10619.5	10665.4	13053.3	10773.1	9941.64	9317.48	9177.43	6206.93	4950.1	3016.43	2048.3	1700.96	1350.23	1440.24	878.108	990.166	630.106	810.136	1058.14	1350.23	756.719
 19.5	8632.68	10341.7	10403.7	9335.2	8473.73	8527.6	7988.01	8137.8	8399.29	4652.73	3787.9	2943.75	2163.34	1350.65	1266.23	960.851	1656.85	590.908	792.02	506.493	728.276	928.57	885.498
 20.2	9069.6	7722.12	7798.93	8765.44	8325.92	8036.72	8604.46	7852.79	8654.64	4324.25	2424.39	2662.18	1474.46	1188.95	1268.21	1317.16	1000.11	871.894	1078.15	634.105	1158.64	713.368	869.438
 20.9	9102.25	7937.66	7669.53	7469.62	9125.13	7712.26	7592.38	7556.37	7328.87	5113.18	2966.02	2119.88	1821.91	1043.43	557.167	1037.12	812.784	665.34	592.554	964.07	962.84	630.32	813.593
 21.7	7170.53	8223.07	7697.03	7523.16	7232.89	7032.53	7062.65	6984.23	7466.57	4328.76	3482.7	2069.25	1424.65	1383.29	880.635	411.949	836.721	835.489	627.957	1129.65	486.308	659.096	484.547
 22.5	7817.92	7777.97	7409.79	7695.34	7936.06	5862.6	6357.72	6667.43	6593.31	4085.36	3019.28	2194.69	1233.92	860.574	939.499	1282.16	714.849	627.174	847.936	644.618	519.298	755.562	459.563
 23.3	7057.48	6946.08	6724.99	6944.07	7091.6	5462.86	6494.39	6262.83	6395.24	3609.23	3133.44	2159.23	1547.66	1589.27	882.425	261.52	1232.3	512.287	930.336	614.45	427.215	577.386	240.766
 24.1	7723.71	6178.33	6229.51	6210.63	5298.19	6039.92	5128.61	5058.75	5995.91	4178.17	2300.88	1676.42	794.3	962.335	963.18	810.751	612.88	547.512	861.556	667.312	761.425	287.261	433.957
 25.0	6285.83	6548	6044.47	5307.46	6747.27	5064.65	5824.31	5468.25	6284.55	3107.77	2620.07	1689.92	1646.72	788.21	794.589	762.228	623.587	516.391	766.185	567.104	819.83	383.901	403.22
 25.9	5878.88	5771.37	6269.59	4910.94	6111.62	6274.4	6445.06	4433.16	5516.06	3858.68	2098.09	1684.01	975.44	535.502	779.472	566.611	678.207	769.782	517.704	203.402	464.312	430.916	833.396
 26.9	5029.81	5509.68	5989.77	6087.32	5446.04	5465.31	4883.04	5193.79	4062.25	3304.99	2268.8	1719.07	981.699	956.594	583.44	982.436	380.563	490.979	440.085	245.736	681.088	728.045	578.336
 27.9	4379.87	4893.95	5279.78	4936.36	5404.31	4250.16	4824.59	4378.88	3552.36	2485.08	1007.3	1305.62	890.631	561.553	515.286	332.947	903.346	285.787	366.387	515.808	379.139	372.276	861.34
 28.9	4965.46	4606.58	4164.5	5420.91	4159.49	4540.79	4358.64	4242.17	4240.82	3007.28	1563.68	1288.31	1237.57	703.58	316.642	483.176	538.739	308.135	398.586	445.511	402.586	326.25	490.504
 30.0	5734.63	3640.65	4709.17	5136.63	4684.82	3955.72	4821.34	4124.28	4597.86	2749.52	1964.39	806.484	711.836	666.456	469.701	462.901	522.237	401.921	358.315	351.972	444.959	572.834	635.631
 31.1	4869.3	4478.7	4124.41	4786.71	4862.03	4765.75	4280.89	3815.52	4407.92	2359.49	1241.06	1355.94	677.334	811.34	523.672	604.391	373.13	458.618	253.381	87.0032	330.87	228.612	441.293
 32.2	4458.06	3930.42	4230.81	3930.11	3823.8	3303.45	4148.08	3469.07	3504.93	2757.52	1506.51	1273.28	977.617	700.464	532.09	581.459	538.79	385.922	459.283	382.983	425.14	582.314	67.3548
 33.4	3271.56	4198.77	4427.08	4382.63	3850.48	3463.97	3503.56	3075.44	3401.28	2432.29	1426.29	1207.22	695.802	550.011	552.685	516.747	553.55	409.433	481.547	362.898	401.223	257.014	402.906
 34.6	3934.8	3729.59	4067.45	3268.75	3046.82	4512.87	3858.77	3574.73	3627.64	2439.44	1470.73	1031	812.831	346.785	313.278	376.715	273.373	595.205	414.049	461.723	388.122	241.464	431.9
 35.9	3408.4	3673.98	3782.15	3780.55	3564.2	3742.68	3551.27	3139.77	3403.65	2017.9	1885.76	907.577	754.306	505.631	252.928	613.729	432.148	264.5	452.977	472.748	161.837	194.892	369.651
 37.2	3368.23	3429.4	3410.84	3736.89	3811.63	3622.32	2686.76	2920.43	2775.44	1638.69	1196.64	952.84	1004.45	481.67	414.312	515.205	283.466	413.182	362.389	285.926	390.49	453.798	384.225
 38.5	3172.43	3612.82	3242.86	3047.42	3445.89	2735.41	3332.41	3877.67	3196.45	1628.81	1210.79	681.596	763.32	519.545	664.719	337.73	300.969	306.107	394.393	177.89	327.69	176.157	429.496
 40.0	3975.68	3129.52	3394.64	3561.37	3162.68	3465.5	2876.76	2731.46	2469.27	1411.01	832.158	753.774	701.298	590.979	320.129	314.493	318.666	325.324	420.6	197.73	391.167	231.757	138.987
 41.4	3067.27	3573.97	2818.98	2294.86	3427.5	2706.75	2743.78	2662.88	2769.57	2572.67	959.039	1100.05	595.162	603.165	382.598	451.562	246.252	249.461	254.647	183.743	137.434	196.192	228.091
 42.9	2901.48	2989.54	3180.99	2795.73	2584.85	2610.53	2809.52	3694.61	3059.59	1587.57	1294.12	968.242	510.564	585.429	300.587	246.992	420.272	291.314	315.379	489.74	274.698	328.594	238.911
 44.5	3322.46	2345.45	2873.81	3331.33	2830.48	2633.87	3118	3317.73	3255.36	1510.59	1247.8	876.554	358.941	312.921	676.927	339.929	314.891	265.394	217.775	269.469	368.826	456.155	282.328
 46.1	2854.16	2661.92	2422.31	2651.6	2742.3	2633.11	2052.05	3784.22	1853.57	1189.92	1039.35	774.564	348.17	223.023	454.431	194.745	328.668	159.311	283.514	217.792	189.243	251.155	242.065
 47.8	2476.46	2667.73	2882.68	2269.95	2303.33	2499.31	2557.71	3772.55	2221.65	1335.36	962.928	851.617	417.239	294.767	284.804	219.118	212.21	249.331	219.136	319.868	273.703	109.886	243.688
 49.6	2479.62	2721.52	2208.45	2771.73	2207.38	1923.87	2240.87	3122.29	1821.15	1506.94	1065.94	520.619	377.859	293.531	177.124	365.884	285.255	236.226	130.996	161.762	188.285	213.573	147.994
 51.4	2542.2	2143.98	2505.7	2032.32	2682.92	2234.62	2247.8	3637.39	2425.55	1133.27	772.052	438.51	338.675	218.026	402.992	460.416	315.948	332.26	143.327	190.717	184.343	224.423	182.349
 53.3	2627.57	2420.72	2912.29	2539.93	2632.26	2144.28	2096.49	3593.93	2147.96	1070.22	547.493	604.253	314.838	268.962	371.071	78.1367	246.698	233.123	242.005	235.747	190.306	174.375	250.313
 55.2	2070.92	2273.6	2582.06	2183.63	2103.58	2455	2048.15	2400.78	2070.07	1266.15	975.466	719.77	492.248	350.794	112.49	198.931	286.815	212.548	180.007	182.308	334.773	298.612	194.45
 57.3	2249.51	2532.9	2323.09	1821.11	2221.35	2269.87	2404.48	3026.25	1427.48	1362.82	856.337	650.907	553.97	334.191	192.449	306.389	322.146	159.5	155.452	235.862	139.721	143.786	198.812
 59.4	2257.04	2313.22	2128.06	2408.73	1861.58	1978.33	1805.97	2600.18	1825.32	1170.22	725.41	657.649	326.888	319.998	319.712	221.219	112.465	175.033	173.612	258.082	146.672	157.359	123.367
 61.5	1884.02	2239.5	1837.11	1993.15	1786.66	1736.75	1945.15	2784.84	1702.39	882.8	905.018	544.886	391.231	204.594	289.464	216.533	248.131	367.39	121.477	89.4455	113.785	190.004	177.394
 63.8	1821.27	2030.66	1866.79	2103.42	1903.52	1815.62	2024.1	2450.06	2019.54	969.294	698.587	450.165	428.969	220.289	225.718	226.95	156.892	148.339	241.061	61.409	198.037	182.762	301.68
 66.1	1689.5	2235.02	2016.48	2079.91	1685.54	1665.5	1943.68	2662.04	1533.12	854.136	738.959	580.687	245.769	301.12	193.088	193.314	224.338	202.024	124.306	220.765	203.533	117.061	260.132
