TSI CPC DATA VERSION 3
1489760711,2017/3/17,14:25:11
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/17,14:25:00,4.70e3,151842,14.84,,1013,0.000,2520,493,0
2017/3/17,14:25:15,4.59e3,148231,14.85,,1013,0.000,2554,438,0
2017/3/17,14:25:30,4.57e3,147466,14.85,,1013,0.000,2535,480,0
2017/3/17,14:25:45,4.60e3,148386,14.85,,1013,0.000,2551,447,0
2017/3/17,14:26:00,4.50e3,145229,14.85,,1013,0.000,2537,465,0
2017/3/17,14:26:15,4.46e3,144017,14.85,,1013,0.000,2546,446,0
2017/3/17,14:26:30,4.49e3,145126,14.85,,1013,0.000,2546,469,0
2017/3/17,14:26:45,4.43e3,143057,14.85,,1013,0.000,2574,438,0
2017/3/17,14:27:00,4.42e3,142779,14.85,,1013,0.000,2518,498,0
2017/3/17,14:27:15,4.42e3,142951,14.85,,1013,0.000,2525,472,0
2017/3/17,14:27:30,4.41e3,142508,14.85,,1013,0.000,2561,441,0
2017/3/17,14:27:45,4.45e3,143920,14.85,,1013,0.000,2573,433,0
2017/3/17,14:28:00,4.41e3,142567,14.85,,1013,0.000,2562,457,0
2017/3/17,14:28:15,4.39e3,141977,14.85,,1013,0.000,2536,472,0
2017/3/17,14:28:30,4.35e3,140557,14.86,,1013,0.000,2536,465,0
2017/3/17,14:28:45,4.25e3,137299,14.86,,1013,0.000,2550,465,0
2017/3/17,14:29:00,4.24e3,137087,14.86,,1013,0.000,2563,434,0
2017/3/17,14:29:15,4.19e3,135507,14.86,,1013,0.000,2578,426,0
2017/3/17,14:29:30,4.19e3,135507,14.86,,1013,0.000,2534,482,0
2017/3/17,14:29:45,4.16e3,134531,14.86,,1013,0.000,2546,443,0
2017/3/17,14:30:00,4.16e3,134535,14.86,,1013,0.000,2563,437,0
2017/3/17,14:30:15,4.16e3,134650,14.86,,1013,0.000,2559,455,0
2017/3/17,14:30:30,4.04e3,130824,14.87,,1013,0.000,2545,457,0
2017/3/17,14:30:45,4.01e3,129784,14.87,,1013,0.000,2534,467,0
2017/3/17,14:31:00,4.04e3,130779,14.87,,1013,0.000,2521,479,0
2017/3/17,14:31:15,4.03e3,130431,14.87,,1013,0.000,2569,434,0
2017/3/17,14:31:30,6.33e3,202941,14.8,,1013,0.000,2480,527,0
2017/3/17,14:31:45,1.15e4,366715,14.64,,1012,0.000,2421,526,0
2017/3/17,14:32:00,1.48e4,463562,14.55,,1013,0.000,2432,531,0
2017/3/17,14:32:15,3.75e4,1127758,13.92,,1013,0.000,2216,540,0
2017/3/17,14:32:30,5.43e4,1574878,13.5,,1013,0.000,2126,518,0
2017/3/17,14:32:45,5.40e4,1580176,13.49,,1013,0.000,2084,520,0
2017/3/17,14:33:00,7.24e4,2041150,13.05,,1013,0.000,2005,509,0
2017/3/17,14:33:15,9.35e4,2541254,12.56,,1013,0.000,1876,477,0
2017/3/17,14:33:30,9.80e4,2638919,12.46,,1013,0.000,1889,480,0
2017/3/17,14:33:45,9.08e4,2482538,12.62,,1013,0.000,1928,476,0
2017/3/17,14:34:00,9.22e4,2514748,12.59,,1013,0.000,1931,445,0
2017/3/17,14:34:15,9.61e4,2599862,12.5,,1013,0.000,1899,455,0
2017/3/17,14:34:30,1.13e5,2960910,12.12,,1013,0.000,1867,468,0
