Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\High2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17	03/20/17
Start Time	18:22:31	18:27:35	18:32:35	18:37:35	18:42:35	18:47:35	18:52:35	18:57:35	19:02:35	19:07:35	19:12:35	19:17:35	19:22:35	19:27:35	19:32:35	19:37:35	19:42:35	19:47:35	19:52:35	19:57:35	20:02:35	20:07:35
Diameter Midpoint
7.10	19438.7	0	3.97115e+006	5.91516e+006	4.4811e+006	3.74463e+006	2.54734e+006	1.91262e+006	479896	163842	41868	9236.8	2990.57	2990.57	3255.65	0	0	0	1495.29	0	0	0
7.37	5074.69	0	3.56492e+006	5.7173e+006	4.48318e+006	3.80687e+006	2.62646e+006	1.82034e+006	515413	115880	47739.3	13730.5	1268.67	1268.67	2312.44	0	0	0	0	1268.67	0	0
7.64	1083.56	0	2.67783e+006	5.22291e+006	4.34601e+006	3.51762e+006	2.32645e+006	1.67376e+006	418948	134167	42913.7	5417.79	3250.67	1083.56	1083.56	0	0	0	0	0	0	0
7.91	232.011	4661.62	1.72706e+006	4.94906e+006	3.98836e+006	3.28594e+006	2.16536e+006	1.51417e+006	425630	139033	42896.7	20743.2	5125.65	932.325	1164.34	0	932.325	0	0	0	0	0
8.20	14750.3	8283.43	786921	4.2687e+006	3.7698e+006	2.9489e+006	2.09965e+006	1.42194e+006	409830	113312	39794.8	13942.5	3842.57	807.767	606.753	0	0	0	0	0	0	807.767
8.51	9512.66	12512.8	791789	3.98671e+006	3.79427e+006	2.70497e+006	2.05999e+006	1.39162e+006	373841	117039	40013.3	14448.6	8282	2820.54	0	0	0	1410.27	705.135	0	0	0
8.82	2472.66	16072.3	985457	3.89832e+006	3.82539e+006	2.82068e+006	1.95342e+006	1.3195e+006	360951	110316	48059.2	18073.5	2472.66	1236.33	0	618.166	0	0	618.166	0	0	618.166
