Sample File,D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low2.S80,,,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017
Start Time,15:09:47,15:14:50,15:19:50,15:24:51,15:29:50,15:34:50,15:39:50,15:44:50,15:49:50,15:54:50,15:59:50,16:04:50,16:09:51,16:14:50,16:19:50,16:24:51,16:29:51,16:34:51,16:39:51,16:44:50,16:49:51,16:54:51,16:59:51,17:04:51
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
7.1,16713.2,0,2.35E+06,2.66E+06,2.52E+06,2.23E+06,1.55E+06,1.14E+06,788132,335665,188501,105730,60436.8,27975.5,17943.4,13457.6,7476.43,7476.43,265.079,2990.57,0,0,0,0
