Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17
Start Time	17:12:21	17:17:25	17:22:25	17:27:25	17:32:25	17:37:25	17:42:25	17:47:25	17:52:25	17:57:25	18:02:25	18:07:25	18:12:25	18:17:25	18:22:25	18:27:25	18:32:25	18:37:25	18:42:25	18:47:25	18:52:25	18:57:25	19:02:25
Diameter Midpoint
7.10	0	1495.29	2.8556e+006	3.91196e+006	2.4962e+006	1.4158e+006	942880	670561	312970	187441	103236	32896.3	23224.5	4750.94	4485.86	0	1495.29	1495.29	1495.29	1495.29	0	0	0
7.37	0	1534.81	2.74995e+006	4.70344e+006	3.0431e+006	1.93497e+006	1.21125e+006	871504	381404	168346	80233.8	36587.4	24698.7	9924.48	1268.67	0	1268.67	0	1268.67	0	0	0	0
7.64	0	1939.81	2.10984e+006	4.48236e+006	3.07879e+006	1.98269e+006	1.21912e+006	804195	428622	203332	96418.2	35101.5	21924.4	7584.9	2167.12	0	0	0	0	1083.56	0	0	0
7.91	932.325	0	1.60938e+006	3.87828e+006	2.87922e+006	1.81028e+006	1.20725e+006	803767	379667	197463	94717.6	46162	28215.8	9555.26	9323.25	932.325	932.325	932.325	932.325	0	0	1864.65	0
8.20	0	807.767	1.3159e+006	3.43996e+006	2.82737e+006	1.81688e+006	1.2489e+006	831794	438689	179159	102003	42223.9	32320.2	12929	8077.67	2423.3	0	1615.53	0	807.767	807.767	0	0
8.51	705.135	705.135	1.01032e+006	2.99311e+006	2.65944e+006	1.78959e+006	1.24139e+006	796336	424635	199181	104875	45646.3	22559.1	13923.1	6700.21	2820.54	2115.41	2820.54	0	0	0	0	0
8.82	618.166	618.166	878518	2.62739e+006	2.43538e+006	1.81369e+006	1.2555e+006	832501	432659	206372	110586	47835.4	30126.5	11891.8	8490.69	3708.99	2472.66	0	618.166	0	0	0	0
9.14	2176.69	1088.34	665712	2.37874e+006	2.3071e+006	1.7514e+006	1.22751e+006	849120	407061	219773	111022	61801.6	24902.7	15339.7	9665.95	1632.51	4353.37	1088.34	0	544.171	544.171	0	0
9.47	482.218	964.435	521982	1.93464e+006	2.10974e+006	1.66823e+006	1.2543e+006	885579	429253	239275	103525	52961.6	39799.9	17894.4	9816.38	4339.96	1446.65	964.435	482.218	482.218	964.435	0	0
9.82	856.942	856.942	436492	1.70971e+006	1.88091e+006	1.59716e+006	1.18474e+006	900595	466672	218482	111281	69724.8	28591.6	17451.4	9330.18	4769.85	1713.88	1713.88	2142.35	428.471	428.471	428.471	0
 10.2	766.855	0	340709	1.44081e+006	1.7842e+006	1.58533e+006	1.23027e+006	913028	460165	225716	118286	69796.6	30189.3	20248.8	11892.6	2633.28	1945.69	411.984	1533.71	383.427	0	0	0
 10.6	343.934	1375.74	286860	1.17671e+006	1.57744e+006	1.49291e+006	1.18411e+006	887931	491734	251373	108075	64908.9	30614.8	19925.7	11298.6	5502.95	2381.93	1694.06	343.934	343.934	0	0	687.869
 10.9	618.459	927.689	220384	901228	1.38928e+006	1.40683e+006	1.13817e+006	876093	457138	245785	134350	65095.6	33557	21619.1	11678.3	3068.15	4329.21	2164.61	0	927.689	309.23	0	0
 11.3	0	1118.17	166764	669633	1.20356e+006	1.28618e+006	1.07913e+006	847000	473875	241740	144671	76798.5	42329.7	18653.9	10919	4494.49	2467.28	1677.25	559.083	1397.71	510.485	0	279.542
 11.8	1013.96	2027.91	134693	523056	1.02528e+006	1.10426e+006	1.02806e+006	843541	470681	243217	143079	64615.7	38507.5	19573	14784.5	7097.7	2071.98	760.467	1774.42	1013.96	44.0691	253.489	253.489
 12.2	1382.02	2073.03	109904	395777	879881	1.00367e+006	955254	843666	447322	244049	132299	69148.1	38258.4	22185.8	12079.5	6952.9	5067.4	1748.93	1151.68	691.009	230.336	460.672	0
 12.6	1682.64	2829.86	91993.4	283192	711709	910994	913289	799266	449176	251796	134239	73632.6	45056.1	23192.8	14942.2	7112.15	3575.62	2819.92	2523.97	1051.65	420.661	0	210.33
 13.1	1214.49	4596.71	75417.2	215739	573516	784848	799490	776866	440154	236508	127558	75227.9	43473.2	24856.9	12446.3	8925.16	3720.46	2891.5	1349.37	385.534	385.534	1156.6	0
 13.6	676.586	6352.73	59544.9	161941	452618	652066	728210	682440	434515	237225	137881	78089	40891.5	20359.9	12023.4	7013.39	4540.14	2142.92	1259.62	552.972	353.322	706.644	0
 14.1	1112.76	11259.5	51793.4	110672	334541	564894	663524	624798	389433	212853	126847	70915.8	46566.6	24802.3	11106.7	5660.01	3878.26	2084.63	788.808	626.831	647.909	0	161.977
 14.6	1042.4	27977.6	43596.9	86980.3	243223	442485	580022	587364	382305	213543	122158	70846.7	35628.1	25413.8	11077.3	7603.1	4508.15	2531.55	2155.95	446.744	595.658	0	148.915
 15.1	1100.98	31852.5	37022.6	62833.2	181734	347708	489709	519431	343549	200396	107255	64260.1	38844.4	24242	11326.3	6277.58	3823.62	1926.72	1035.23	275.245	275.245	412.868	137.623
 15.7	1566.72	27569.6	29021.4	48907.7	133952	280896	402725	467140	312886	187472	100144	60103.3	34514.2	19687	12002.1	7614.84	2970.72	2077.27	1311.45	638.182	1021.09	162.724	127.636
 16.3	1508.61	24415.2	22599	35172.2	96895.3	208528	322968	392217	270065	159911	94576.7	62495.8	33028.1	17933.8	9425.65	6369.32	4118.43	1154.58	1390.06	948.431	711.323	560.179	237.108
 16.8	992.549	20322.9	19221.9	28038.5	67451.9	150966	261562	320749	234315	147020	84161.9	48293.3	30065.4	19574.4	8918.97	6947.84	3909.58	2204.15	1543.97	992.549	661.7	220.567	330.85
 17.5	1131.69	17986.1	17199.8	20536.1	49769.5	118522	201631	259231	193149	118076	72399.9	43501	28667.4	13020.2	9707.7	5291.06	2671.29	1793.11	1234.57	661.42	617.285	823.046	102.881
 18.1	1163.25	13673.1	13641.9	16822	30204.2	76236.3	139736	205822	163390	104136	65149.3	34575.2	21354.1	12251.5	6912.07	4005.24	2103.02	1592.59	192.215	631.521	576.644	96.1073	480.536
 18.8	1880.99	13894.8	12805.3	13770.9	24363.1	53751	103336	159462	124546	82191.3	49411.6	29351.7	19863.1	10747.7	7386.46	3299.18	2830.45	990.166	720.121	360.06	450.075	67.972	67.972
 19.5	1857.14	10836.5	11765.1	10120.7	18360.2	36287.6	69109.9	116795	94396.4	66183.7	40203	24499.2	13527.1	10691.8	6691.13	2818.81	1877.81	1499.62	590.908	422.077	422.077	358.334	105.087
 20.2	1980.35	9732.78	8545.06	9273.39	12734.3	24247	47563.7	84522.5	76907.6	51975.4	34197.7	21306	13504.6	6837.33	3757.74	3949.03	1109.68	968.571	1347.47	475.579	317.052	237.789	158.526
 20.9	2322.57	9824.5	10599.6	9607.61	12431.7	15763.2	35115.1	77038.6	50294.5	41606.8	26244.4	14399	8103.42	4858.71	2720.54	1413.69	1563.24	1532.19	1039.89	521.064	189.164	371.519	190.255
 21.7	1966.44	9172.03	7342.72	7804.96	8873.92	14243.9	21311.9	67759	39044.1	27899.7	16834	11783.1	7442.07	4272.27	2698.37	1627.15	777.03	528.853	630.672	139.199	100.441	279.031	169.609
 22.5	2138.32	6851.09	7389.49	7185.61	7518.14	9805.3	13955	52265.6	26779.5	19587.5	11492.4	8393.87	4598.05	3025.34	2221.94	1493.34	951.983	515.5	262.725	260.649	129.715	0	263.298
 23.3	2275.76	8340.29	6121.53	6858.18	6412.58	7274.29	11062.9	30337.3	18531.5	13577.7	9141.52	5577.41	3373.42	2280.57	1359.61	868.784	452.375	184.307	433.038	184.292	185.86	184.356	184.281
 24.1	1926.55	7687.53	6636.81	6484.99	6506.98	6715.24	7177.93	19101.2	11321	10517.2	5082.53	5438.13	2130.74	2177.25	1485.79	349.672	380.362	349.64	289.356	115.404	116.402	117.024	56.3514
 25.0	2598.3	5547.57	5683.17	5358.85	5102.22	5145.02	6030.58	15166.9	9857.94	7198.91	3757.55	3073.7	1468.38	1175.78	569.043	548.975	465.869	276.858	216.384	164.33	54.6241	222.015	110.32
