Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Date	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17
Start Time	18:12:24	18:17:27	18:22:27	18:27:28	18:32:27	18:37:27	18:42:27	18:47:27	18:52:27	18:57:27	19:02:27	19:07:27	19:12:27	19:17:27	19:22:27	19:27:27
Diameter Midpoint
7.10	3912.47	1304.16	31121.7	21992.6	6520.79	6342.68	1304.16	0	0	0	0	0	0	0	0	0
7.37	10022.3	3340.76	22271.7	15590.2	6681.52	3340.76	2227.17	2227.17	0	0	0	0	0	0	0	0
7.64	3094.34	2870.67	27749.8	22232.1	9568.89	2870.67	956.889	0	956.889	0	0	0	0	0	0	0
7.91	5603.16	5796.73	31052	8087.48	4968.63	3312.42	2484.31	828.105	0	0	828.105	0	0	828.105	0	0
8.20	2885.71	4512.33	24169.5	13707.1	1442.85	3607.13	2164.28	0	721.427	0	1442.85	721.427	0	721.427	0	0
8.51	3957.33	5221.12	19625.2	14560.6	4431.5	4431.5	1899.21	1266.14	0	1899.21	0	633.071	0	0	0	0
8.82	3764.34	4182.1	24116.2	11977.8	6135.4	2788.82	2788.82	1673.29	1115.53	0	0	557.764	0	0	0	0
9.14	4650.43	3946.7	18346.8	8751.11	7893.39	5038.57	1973.35	0	0	493.337	0	493.337	493.337	493.337	0	0
9.47	4721.72	4469.86	16374.7	8767.74	3952.37	3858.73	878.305	878.305	1317.46	439.153	0	0	0	878.305	439.153	439.153
9.82	7376.03	3508.95	14427.7	8603.54	7445.93	3135.13	1175.67	391.891	0	0	391.891	391.891	0	0	0	391.891
 10.2	6716.81	5587.6	20290	5939.74	2464.95	3873.5	1056.41	704.272	352.136	0	0	352.136	0	0	352.136	352.136
 10.6	7588.32	3489.58	13908.2	7294.83	3171.04	3489.58	2219.73	317.104	0	634.208	0	0	634.208	317.104	635.644	317.104
 10.9	5435.97	3718.94	14019.8	8583.85	4270.23	2860.42	1122.34	858.515	550	836.172	572.343	0	572.343	0	571.048	286.172
 11.3	6964.56	8522.27	14279	6185.71	3395.31	1817.33	539.507	1038.47	539.507	494.372	0	0	0	0	0	259.618
 11.8	5643.45	8950.55	10157.5	6824.56	5129.94	3070.88	1181.11	236.221	472.443	749.731	708.664	472.443	472.443	0	0	236.221
 12.2	7590.29	8028.58	10073.3	5699.87	3634.13	1938.06	1507.38	215.34	215.34	1076.7	646.019	215.34	646.019	0	215.34	0
 12.6	8291.16	7495.22	13545.7	7135.67	4025.14	3747.61	986.213	788.97	591.728	394.485	394.485	394.485	394.485	986.213	0	197.243
 13.1	9355.34	10026.1	12427.5	7422.05	5602.42	1504.87	2719.55	906.515	543.909	725.212	362.606	181.303	725.212	362.606	181.303	181.303
 13.6	11795	7679.55	13583	7136.32	4058.78	2449.27	999.722	833.102	333.241	666.481	666.481	1166.34	833.102	354.923	333.241	166.62
 14.1	10500.9	9581.79	14888.3	6404.89	4708.69	2748.53	1063.56	919.075	1225.43	1063.56	1369.92	306.358	612.717	439.604	450.841	450.841
 14.6	12069.9	10590.6	10168.5	6784.87	3069.19	2549.34	1806.55	1092.61	282.369	996.307	1137.49	564.738	705.923	564.738	149.2	996.307
 15.1	10546.3	9887.3	12603.4	6413.26	4679.53	1700.34	2126.88	949.723	1307.96	653.978	459.923	523.182	915.569	784.773	261.591	784.773
 15.7	12703.8	10003.5	12544.8	6783.49	5353.82	1945.37	1823.78	1580.61	486.342	972.683	788.317	1161.12	674.775	243.171	364.756	188.433
 16.3	10699.5	9643.49	10727.5	4322.34	2768.9	2152.03	1474.49	1359.75	1131.83	452.731	565.914	390.503	1182.78	1020.2	565.914	1069.6
 16.8	8614.73	9590.81	8406.61	4823.67	2607.99	2108.72	1579.73	603.331	738.56	1160.59	422.034	527.543	738.56	948.127	633.051	316.526
