Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\High1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Date	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17
Start Time	15:26:32	15:31:36	15:36:36	15:41:36	15:46:36	15:51:36	15:56:36	16:01:36	16:06:36	16:11:36	16:16:36	16:21:36	16:26:36	16:31:36	16:36:36	16:41:36	16:46:36	16:51:36	16:56:36	17:01:36	17:06:36	17:11:36	17:16:36	17:21:36	17:26:36	17:31:36
Diameter Midpoint
7.10	73309.6	44984.2	47541.4	60032.8	55865.5	53787.1	49307.6	60083	44571.8	42120.5	49669.9	96899.2	72741.2	42120.5	19422.2	8903.21	3019.75	0	0	1509.88	3019.75	4529.63	3019.75	3019.75	0	0
7.37	59325.6	37415.3	34720.8	48812.4	35869.5	42787.8	47663.7	42089.4	40358.1	48812.4	36001.9	89753.1	87191	37213.5	10248.4	11661.9	0	0	0	1281.05	2562.1	1281.05	1281.05	0	1281.05	1281.05
7.64	26259.1	40246.7	36964.3	39817.7	36964.3	35545	39388.7	32543.3	42345.9	46382.5	35441.2	85683.5	48526.2	35071.5	15317.8	10941.3	1523.14	0	0	0	1094.13	0	0	2188.26	1523.14	4376.52
7.91	35893.4	42567.2	25038.3	34582.9	36335.4	34571.9	33188.5	40231.4	22594.1	27992.9	31056	59121.7	45546.4	25657.2	12238.5	8711.57	1513.72	941.422	941.422	0	941.422	0	941.422	0	1513.72	941.422
8.20	36480.4	27491.3	23798	34033.4	28117	31276.2	31242.3	25997.3	30633.5	27628.6	21712.2	54482.3	32408.9	18553.1	8972.14	5502.67	1631.3	2446.95	815.649	815.649	815.649	0	1631.3	0	815.649	815.649
8.51	23699.1	23706.7	28795.9	32955.3	20041.5	24411.1	22387.8	23998.8	21368.5	26344.6	26846.9	49332.1	32056.8	21765.2	7832.17	5696.13	1116.78	712.016	712.016	0	712.016	712.016	0	0	0	712.016
8.82	27097.9	24515.2	30132.9	20060.3	20770	32091.5	17539.1	19705.4	20586.6	22642.6	21125.3	54917.9	28799	15874.3	3916.64	1248.39	1517.75	1248.39	0	1248.39	0	624.197	624.197	624.197	624.197	624.197
9.14	17281.5	17400.2	22377.8	16850.7	21828.3	20546.1	23573.5	16317.4	15600.8	24543.4	14534.1	48418.7	22927.3	11539.1	6976.17	2197.93	2197.93	2197.93	1648.44	549.481	1648.44	0	549.481	0	1632.29	1098.96
9.47	20937.7	20479.4	21257	22746.4	20283.2	13008	15413.9	19156.1	17070.9	13646.6	9251.53	34584.3	18487.2	13953.2	5370.47	3895.38	486.923	0	0	1947.69	486.923	0	973.846	0	988.164	0
9.82	16726.3	17448.8	14279.3	14859.1	16157	15291.7	17593.3	14575.3	16440.8	11695.7	12399.7	36785.1	15732.3	10099.9	1297.96	865.304	1873.35	865.304	432.652	865.304	865.304	432.652	432.652	432.652	432.652	575.395
 10.2	17164.2	14971.8	17938.5	12386.5	12002.2	15478	13424.2	9292.05	13938.1	11612.1	14066.9	26715.7	13420.3	8130.55	6194.7	1935.84	1033.77	387.169	1161.51	0	0	0	774.338	387.169	0	1033.77
 10.6	10173.3	11907.2	11115.9	11438.5	19770.8	11815.7	12381.1	14908.8	12949	13894.2	10743.9	23692.9	13993.5	10071.4	4266.77	2307.03	1736.45	1041.87	1389.16	347.29	347.29	0	0	694.581	0	0
 10.9	14274.1	11463.9	13826.6	8452.89	17059	10704.1	9791.14	9077.38	8292.28	11016.4	9877.3	22502.4	15386.2	5708.15	2496.42	2072.68	312.247	0	312.247	624.494	0	312.247	936.741	312.247	0	0
 11.3	12340.1	8441.49	8362.2	11237.6	9438.58	11158.3	8159.22	8441.49	12182	8388.79	10205.6	24345.2	9103.14	6104.05	3307.94	767.519	846.808	846.808	0	282.269	0	282.269	282.269	0	0	0
 11.8	9039.8	12186.7	9238.76	10851.3	7943.62	8883.32	8982.8	9759.47	7299.32	9355.81	7371.65	17790.7	12343.2	4887.4	2436.04	1535.78	1023.85	1023.85	511.925	255.963	0	511.925	255.963	511.925	255.963	255.963
 12.2	9295.37	8073.35	6512.35	25589.5	10950.1	6624.65	7961.05	11209.2	6883.83	8969.11	8305.93	18831.3	9115.99	3515.36	3833.64	697.751	930.335	465.168	232.584	232.584	0	1162.92	465.168	26.5996	232.584	0
 12.6	6519.49	9231.89	8366.56	8317.98	8471.02	6030.34	7893.21	7532.82	7492.73	7621.49	6470.91	15542.4	10589.8	4435.75	1061.91	1911.45	212.383	212.383	0	424.766	0	212.383	212.383	400.476	424.766	0
 13.1	6871.68	6728.43	7330.93	7033.48	6331.53	7422.78	5373.5	6287.74	9226.01	6864.08	5949.84	15977.3	6949.24	5839.44	1946.48	778.592	194.648	389.296	389.296	194.648	389.296	194.648	194.648	0	389.296	0
 13.6	4994.77	6374.75	6946.97	5402.77	7219.57	6684.41	4750.5	4248.29	6393.03	5740.76	5806.65	14660	6749.8	4459.62	1248.69	891.924	356.77	178.385	178.385	178.385	356.77	178.385	0	178.385	0	356.77
 14.1	3925.39	5397.41	4039.88	4446.27	5945.33	6108.88	5457.82	5378.54	4860.83	4563.92	4560.75	12856.3	7919.36	4743.18	2567.85	981.347	327.116	163.558	163.558	490.674	0	163.558	327.116	0	490.674	0
 14.6	7177.76	4340.72	6471.04	5784.57	5902.25	4608.77	4190.35	5739.14	4568.88	4739.2	4556.14	11982	7039.82	2706.62	1849.53	751.838	451.103	150.368	0	150.368	0	150.368	150.368	150.368	150.368	0
 15.1	5609.42	6044.92	5646.45	5076.48	4414.19	4914.76	4011.4	5021.19	3094.1	3872.44	4724.83	12594.7	6183.88	3071.18	1250.69	555.862	416.897	555.862	0	138.966	0	277.931	0	0	277.931	277.931
 15.7	5122.68	4850.24	4295.38	4471.53	5177.88	3432.54	3900.8	3569.36	4838.51	5150.28	4877.84	9450.65	5346.1	2693.59	1417.7	515.527	773.29	386.645	0	128.882	257.763	128.882	386.645	128.882	128.882	128.882
 16.3	4926.41	3388.83	4226.41	3342.59	4079.12	3269.12	4503.17	4300.28	3719.99	2191.33	3241.55	9650.33	4364.79	2827.22	718.264	359.132	359.132	478.843	119.711	119.711	0	119.711	119.711	0	0	0
 16.8	3340.78	4169.38	4509.91	3327.6	3244.15	3501.23	5025.9	3717.5	4218.47	3062.23	3293.24	9542.25	5143.7	2381.19	1447.67	556.797	111.359	111.359	0	0	222.719	222.719	222.719	0	0	222.719
 17.5	4311.93	3662	4311.35	2753.08	3800.99	3385.45	4095.09	3792.51	2182.43	4034.8	3203.73	8761.69	4311.35	2822.44	1350.5	848.63	103.885	0	311.654	121.437	0	103.885	0	103.885	103.885	103.885
 18.1	3900.5	3021.31	3451.56	2536.08	3764.88	3612.85	4696.74	3153.3	3069.16	2600.34	3583.7	7410.52	5544.48	2312.68	1164.54	468.828	291.135	194.09	291.135	274.738	97.0451	0	0	0	0	194.09
 18.8	3919.67	3340.26	3038.88	3522.05	2987.39	3669.78	3300.86	2454.12	2078.45	2987.39	3242.62	8095.41	4152.95	1534.48	908.934	727.147	181.787	272.68	90.8934	90.8934	181.787	0	176.435	90.8934	0	90.8934
 19.5	3364.25	3078.65	3800.26	3213.63	3324.33	2988.39	2496.21	2642.41	2983.37	1960.5	2075.63	6963.56	3328.76	1629.58	621.544	792.023	255.717	0	85.2392	170.478	85.2392	24.8701	175.497	170.478	85.2392	0
 20.2	2857.96	3090.81	2902.84	2773.38	2801.28	2721.24	3397.58	2579.97	2499.94	3090.81	2377.74	5073.8	2879.48	1600.73	1386.69	376.831	480.219	240.11	0	0	80.0365	136.721	0	80.0365	80.0365	0
 20.9	2082.06	3167.62	3282.2	2517.62	2138	2013.33	2713.49	2806.62	1845.32	2331.49	2215.63	6586.99	2622.99	1722.13	848.087	674.445	149.368	299.291	148.215	73.5356	74.0952	149.947	0	0	0	0
 21.7	1863.88	2397.01	2010.24	2148.1	2794.64	1946.23	1328.38	2921.59	2189.97	2120.7	1780.23	5854.62	2559.6	1900.88	348.062	294.592	139.268	69.0155	70.8189	212.038	141.764	0	0	70.2909	70.903	0
 22.5	2623.13	3304.21	2603.4	3092.56	3007.38	2544.02	2031.73	2259.22	2122.22	2269.56	2024.23	5450.29	2165.82	1512.28	459.886	317.707	132.269	65.1064	0	132.949	198.781	0	66.4819	0	66.4819	0
