Sample File,D:\OlinCollege\All_data\OlinCollege\Box Fan\High2.S80,,,,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017
Start Time,14:25:00,14:30:03,14:35:03,14:40:03,14:45:03,14:50:03,14:55:03,15:00:03,15:05:03,15:10:03,15:15:03,15:20:03,15:25:03,15:30:03,15:35:03,15:40:04,15:45:04,15:50:03,15:55:03,16:00:03,16:05:04,16:10:04,16:15:04,16:20:04,16:25:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,48114.3,46271.4,63128,59668.1,68435.6,66675.3,74560.1,58377,80867.2,91069.1,62862.9,54360.5,28410.4,16448.2,4281.65,5981.15,4281.65,0,1495.29,2990.57,1495.29,1495.29,2990.57,0,0
