TSI CPC DATA VERSION 3
1490982047,2017/3/31,17:40:47
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/31,17:40:37,126,4123,14.99,,1013,0.000,2615,457,0
2017/3/31,17:40:52,122,3975,14.99,,1013,0.000,2601,461,0
2017/3/31,17:41:07,117,3808,14.99,,1013,0.000,2603,468,0
2017/3/31,17:41:22,147,4786,14.99,,1013,0.000,2615,447,0
2017/3/31,17:41:37,163,5314,14.99,,1013,0.000,2642,416,0
2017/3/31,17:41:52,167,5458,14.99,,1013,0.000,2604,473,0
2017/3/31,17:42:07,164,5339,14.99,,1013,0.000,2624,429,0
2017/3/31,17:42:22,160,5213,14.99,,1013,0.000,2631,423,0
2017/3/31,17:42:37,163,5325,14.99,,1013,0.000,2618,437,0
2017/3/31,17:42:52,162,5268,14.99,,1013,0.000,2606,447,0
2017/3/31,17:43:07,162,5294,14.99,,1013,0.000,2597,468,0
2017/3/31,17:43:22,167,5435,14.99,,1013,0.000,2625,416,0
2017/3/31,17:43:37,159,5173,14.99,,1013,0.000,2631,428,0
2017/3/31,17:43:52,163,5329,14.99,,1013,0.000,2634,424,0
2017/3/31,17:44:07,155,5052,14.99,,1013,0.000,2623,415,0
2017/3/31,17:44:22,172,5613,14.99,,1013,0.000,2600,456,0
2017/3/31,17:44:37,165,5378,14.99,,1013,0.000,2611,457,0
2017/3/31,17:44:52,155,5069,14.99,,1012,0.000,2595,460,0
2017/3/31,17:45:07,155,5043,14.99,,1013,0.000,2603,463,0
2017/3/31,17:45:22,158,5155,14.99,,1013,0.000,2620,446,0
2017/3/31,17:45:37,157,5104,14.99,,1013,0.000,2603,449,0
2017/3/31,17:45:52,151,4914,14.99,,1013,0.000,2611,438,0
2017/3/31,17:46:08,160,5201,14.99,,1013,0.000,2598,438,0
2017/3/31,17:46:22,181,5889,14.99,,1013,0.000,2631,426,0
2017/3/31,17:46:37,232,7551,14.99,,1013,0.000,2614,429,0
2017/3/31,17:46:52,236,7696,14.99,,1013,0.000,2631,429,0
2017/3/31,17:47:07,299,9729,14.99,,1012,0.000,2598,456,0
2017/3/31,17:47:22,330,10746,14.99,,1013,0.000,2633,419,0
2017/3/31,17:47:37,311,10135,14.99,,1012,0.000,2607,457,0
2017/3/31,17:47:52,292,9520,14.99,,1013,0.000,2606,458,0
2017/3/31,17:48:07,276,8975,14.99,,1013,0.000,2634,410,0
2017/3/31,17:48:22,277,9022,14.99,,1012,0.000,2656,410,0
2017/3/31,17:48:37,271,8839,14.99,,1013,0.000,2612,450,0
2017/3/31,17:48:52,278,9065,14.99,,1013,0.000,2618,430,0
2017/3/31,17:49:07,277,9022,14.99,,1013,0.000,2636,405,0
2017/3/31,17:49:22,282,9188,14.99,,1013,0.000,2628,417,0
2017/3/31,17:49:37,281,9156,14.99,,1012,0.000,2625,444,0
2017/3/31,17:49:52,289,9399,14.99,,1013,0.000,2635,428,0
2017/3/31,17:50:07,281,9158,14.99,,1012,0.000,2629,426,0
2017/3/31,17:50:22,289,9394,14.99,,1013,0.000,2600,454,0
2017/3/31,17:50:37,284,9244,14.99,,1013,0.000,2645,407,0
2017/3/31,17:50:52,277,9033,14.99,,1012,0.000,2613,450,0
2017/3/31,17:51:07,286,9317,14.99,,1012,0.000,2639,432,0
2017/3/31,17:51:22,300,9762,14.99,,1012,0.000,2598,447,0
2017/3/31,17:51:37,292,9506,14.99,,1013,0.000,2589,471,0
2017/3/31,17:51:52,312,10167,14.99,,1013,0.000,2628,428,0
2017/3/31,17:52:07,308,10018,14.99,,1012,0.000,2618,429,0
2017/3/31,17:52:22,302,9816,14.99,,1013,0.000,2595,478,0
2017/3/31,17:52:37,305,9940,14.99,,1013,0.000,2620,432,0
2017/3/31,17:52:52,308,10017,14.99,,1013,0.000,2640,394,0
2017/3/31,17:53:07,295,9592,14.99,,1012,0.000,2618,426,0
2017/3/31,17:53:22,311,10127,14.99,,1013,0.000,2630,422,0
2017/3/31,17:53:37,317,10306,14.99,,1013,0.000,2614,446,0
2017/3/31,17:53:52,317,10334,14.99,,1012,0.000,2603,460,0
2017/3/31,17:54:07,318,10343,14.99,,1013,0.000,2657,395,0
2017/3/31,17:54:22,320,10416,14.99,,1013,0.000,2652,406,0
2017/3/31,17:54:37,332,10799,14.99,,1013,0.000,2622,434,0
2017/3/31,17:54:52,405,13164,14.98,,1013,0.000,2626,422,0
2017/3/31,17:55:07,466,15160,14.98,,1012,0.000,2640,407,0
2017/3/31,17:55:22,464,15095,14.98,,1012,0.000,2619,427,0
2017/3/31,17:55:37,472,15372,14.98,,1012,0.000,2615,435,0
2017/3/31,17:55:52,512,16661,14.98,,1012,0.000,2635,428,0
2017/3/31,17:56:07,3.93e4,1118806,13.92,,1013,0.000,2280,535,0
2017/3/31,17:56:23,2.26e3,73658,14.92,,1012,0.000,2652,366,0
2017/3/31,17:56:38,5.31e3,170563,14.83,,1012,0.000,2614,383,0
2017/3/31,17:56:53,1.08e4,343580,14.66,,1013,0.000,2563,405,0
2017/3/31,17:57:08,3.99e4,1174702,13.86,,1013,0.000,2286,491,0
2017/3/31,17:57:23,4.97e4,1458168,13.6,,1012,0.000,2199,501,0
2017/3/31,17:57:38,9.65e4,2562204,12.48,,1013,0.000,1949,509,0
2017/3/31,17:57:53,2.12e5,4572454,10.06,,1012,0.000,1696,539,0
2017/3/31,17:58:08,2.38e5,4901244,9.578,,1012,0.000,1658,537,0
2017/3/31,17:58:23,3.34e5,5756398,8.031,,1012,0.000,1550,562,0
2017/3/31,17:58:38,3.70e5,5958841,7.516,,1012,0.000,1525,568,0
2017/3/31,17:58:53,4.52e5,6306972,6.45,,1013,0.000,1469,585,0
2017/3/31,17:59:08,4.28e5,6229498,6.743,,1012,0.000,1434,557,0
2017/3/31,17:59:23,4.34e5,6255346,6.691,,1012,0.000,1455,577,0
2017/3/31,17:59:38,4.61e5,6329917,6.36,,1012,0.000,1468,595,0
2017/3/31,17:59:53,4.73e5,6366462,6.209,,1012,0.000,1444,579,0
2017/3/31,18:00:08,5.05e5,6416643,5.884,,1012,0.000,1380,559,0
2017/3/31,18:00:23,5.42e5,6457790,5.495,,1013,0.000,1405,573,0
2017/3/31,18:00:38,5.06e5,6417268,5.863,,1012,0.000,1423,589,0
2017/3/31,18:00:53,5.37e5,6438787,5.556,,1012,0.000,1422,581,0
2017/3/31,18:01:08,5.65e5,6456560,5.274,,1012,0.000,1391,599,0
2017/3/31,18:01:23,5.97e5,6454978,4.994,,1012,0.000,1387,581,0
2017/3/31,18:01:38,5.85e5,6438944,5.088,,1013,0.000,1378,572,0
2017/3/31,18:01:53,5.93e5,6451488,5.017,,1013,0.000,1402,601,0
2017/3/31,18:02:08,6.19e5,6439910,4.804,,1012,0.000,1385,579,0
2017/3/31,18:02:23,5.98e5,6446951,4.989,,1012,0.000,1411,578,0
2017/3/31,18:02:38,6.67e5,6391179,4.458,,1012,0.000,1376,593,0
2017/3/31,18:02:53,6.82e5,6384022,4.325,,1013,0.000,1395,599,0
2017/3/31,18:03:08,6.15e5,6441927,4.832,,1012,0.000,1412,585,0
2017/3/31,18:03:23,6.37e5,6439546,4.664,,1012,0.000,1339,589,0
2017/3/31,18:03:38,6.11e5,6445344,4.871,,1012,0.000,1400,596,0
2017/3/31,18:03:53,6.32e5,6424802,4.698,,1012,0.000,1458,599,0
2017/3/31,18:04:08,6.53e5,6415983,4.533,,1013,0.000,1359,603,0
2017/3/31,18:04:23,6.52e5,6422833,4.55,,1013,0.000,1367,593,0
