Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\Low1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17
Start Time	16:33:00	16:38:03	16:43:03	16:48:03	16:53:03	16:58:03	17:03:03	17:08:03	17:13:03	17:18:03	17:23:03	17:28:03	17:33:03	17:38:03	17:43:03	17:48:03	17:53:03	17:58:03	18:03:03	18:08:04	18:13:04	18:18:04	18:23:04	18:28:04	18:33:04
Diameter Midpoint
7.10	4485.86	1495.29	26915.2	14748.7	22020.9	31196.8	19234.5	20934	25480.7	16448.2	22225.1	88487	118249	65853.5	38938.3	23985.5	19438.7	4485.86	7476.43	2990.57	7476.43	2990.57	1495.29	1495.29	1495.29
7.37	0	1268.67	20564.9	22836.1	25373.5	21567.4	15224.1	27910.8	17536.5	20564.9	20564.9	72089.5	91693.1	45447.3	40372.6	28954.6	15490.2	11418.1	7878.18	6343.37	2537.35	2537.35	1268.67	1268.67	0
7.64	2167.12	0	21697.1	13002.7	8668.46	14086.3	18673.8	11919.1	19757.3	16532.6	16279.3	67433.9	71086.2	39767.9	31676.5	15423.1	22527.4	6501.35	5190.48	1083.56	1083.56	2167.12	2420.4	1083.56	0
7.91	932.325	4661.62	18428.6	10487.6	16781.8	21675.5	17496.2	13984.9	14699.3	17742.3	17496.2	67141.5	61311.2	41764.8	25887.2	15863.6	8622.93	1864.65	5593.95	3729.3	1864.65	932.325	2579.04	3729.3	0
8.20	807.767	1615.53	12116.5	16967.9	12116.5	12929	12116.5	12322.3	13732	16561.1	14951.3	38792.8	56958.9	35947.5	23631	17569.9	8890.18	4846.6	2629.06	2423.3	807.767	807.767	1615.53	807.767	1615.53
8.51	2292.4	705.135	10577	11102.5	16749.1	14100.1	9871.89	10046.3	12869.4	7756.49	8102.39	42823.1	50941.5	34728.6	22384.7	7756.49	6343.6	4935.95	4051.19	1410.27	705.135	705.135	1410.27	1410.27	1410.27
8.82	1699.33	1236.33	10037.4	10655.5	13134.1	19008	14217.8	17763.2	9117.32	8801.02	4945.32	40000.2	45425.5	28249.1	16219	11891.8	8645.85	764.867	3090.83	3237.53	1236.33	618.166	1236.33	3090.83	618.166
9.14	544.171	1632.51	10754.3	11414.5	13604.3	5441.71	8278.61	8577.6	9911.13	11298.5	8938.82	32611	32753.2	30073.1	19461	9665.95	2707.76	3680.06	2176.69	2047.54	0	1088.34	1088.34	1088.34	116.04
9.47	0	1446.65	11091	8094.87	6268.83	7233.26	7698.66	8283.71	5683.78	8197.7	8560.27	42952.9	38061.6	19271.9	8679.92	11177	4805.36	7233.26	964.435	482.218	1446.65	964.435	482.218	0	379.388
9.82	1285.41	856.942	6055.27	7712.48	6427.06	7712.48	7264.25	2979.54	8997.89	2142.35	6779.11	37941.6	29323.2	18833	9426.36	7377.6	3836.48	3055.97	1285.41	2570.83	1713.88	1713.88	428.471	856.942	428.471
 10.2	0	383.427	6850.98	5751.41	8435.4	9614.24	5729.25	6467.55	6901.69	8435.4	6163.4	27207.6	28452.8	11835.5	6134.84	9078.67	3400.13	3016.7	1533.71	1150.28	766.855	0	766.855	766.855	1150.28
