Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
Date	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17
Start Time	17:40:40	17:45:44	17:50:44	17:55:44	18:00:44	18:05:44	18:10:44	18:15:44	18:20:44	18:25:44	18:30:44	18:35:44	18:40:44	18:45:44	18:50:44	18:55:44	19:00:44	19:05:44	19:10:44	19:15:44	19:20:44	19:25:44	19:30:44	19:35:44	19:40:44	19:45:44	19:50:44
Diameter Midpoint
7.10	4485.86	0	5981.15	6246.23	19234.5	20934	8971.72	11758.1	10058.6	11962.3	20729.8	22225.1	127425	33983.2	22959.5	25685	13457.6	8971.72	9236.8	1495.29	0	0	0	2990.57	1495.29	5981.15	0
7.37	1268.67	1268.67	0	8655.81	10149.4	3806.02	12686.7	12686.7	10149.4	12686.7	6343.37	12686.7	75200.3	42132.4	21649.9	17536.5	10149.4	6343.37	6118.46	1268.67	5074.69	0	2537.35	1268.67	2537.35	0	1268.67
7.64	1083.56	2167.12	2167.12	9752.02	14086.3	7584.9	4587.51	6501.35	5671.07	12172.4	7584.9	10835.6	56999.9	20360.3	15798.8	5417.79	7584.9	7584.9	0	3250.67	4334.23	1083.56	3250.67	3250.67	0	1083.56	1083.56
7.91	932.325	1864.65	3729.3	5593.95	2796.97	8390.92	2579.04	9555.26	10037.6	15631.6	10719.6	3729.3	48959	14448.9	12120.2	13984.9	6526.27	3729.3	2796.97	3729.3	2796.97	932.325	932.325	1864.65	1864.65	932.325	0
8.20	807.767	0	1615.53	5052.36	3231.07	4846.6	7269.9	5659.12	7269.9	9898.97	9291.18	2423.3	29490.1	18176.6	12924.3	4244.6	7269.9	3231.07	807.767	3231.07	807.767	807.767	1615.53	3231.07	4038.84	2423.3	205.762
8.51	1410.27	0	2820.54	4051.19	2115.41	4935.95	4230.81	6871.73	7933.48	2640.92	7756.49	5641.08	21856.6	11987.3	11459.2	11807.7	2820.54	3702.67	1410.27	2292.4	4230.81	705.135	1410.27	0	705.135	0	1230.65
8.82	1236.33	0	2472.66	2472.66	3090.83	3090.83	6799.82	4945.32	7262.82	4473.86	3708.99	3708.99	16682	18691.7	6026.49	8329.55	5563.49	3553.83	4327.16	2935.66	2472.66	0	0	0	1236.33	618.166	0
