Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\High1_fail.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	18:47:00	18:49:19	18:51:34	18:53:49	18:56:04	18:58:19	19:00:34	19:02:49	19:05:04	19:07:19	19:09:34	19:11:49	19:14:04	19:16:19	19:18:34	19:20:49	19:23:04	19:25:19	19:27:34	19:29:49	19:32:04	19:34:19	19:36:34	19:38:49	19:41:04	19:43:19	19:45:34	19:47:49	19:50:04	19:52:19	19:54:34	19:56:49	19:59:04	20:01:19	20:03:34	20:05:49	20:08:04	20:10:19	20:12:34	20:14:49	20:17:04	20:19:19	20:21:34	20:23:49	20:26:04	20:28:19	20:30:34	20:32:49	20:35:05	20:37:20	20:39:34	20:41:49	20:44:05	20:46:19	20:48:34	20:50:49	20:53:04	20:55:20	20:57:35	20:59:49	21:02:05	21:04:19	21:06:34	21:08:49	21:11:05	21:13:19	21:15:35	21:17:50
Diameter Midpoint
7.10	13298.4	10307	12429.5	18453.4	11785.2	15742.3	9984.09	13338.1	9339.74	13829.8	17241	13016.7	11158.4	12106.6	13942.7	11441.6	13034.2	12408.9	10571.2	10307	8752.61	12997.6	13338.1	9680.21	8467.8	6649.19	11802.7	12086	12106.6	11498.8	8467.8	11177.4	12428	11196.5	7882.22	12410.5	17826.6	18151.1	17828.2	16918.1	12999.1	12428	11783.6	16350	19080.3	15459	15099.5	13035.7	15723.2	20800.4	13640.4	7882.22	10894.2	9700.83	16311.9	12428	15420.9	7274.47	10911.7	13925.2	7274.47	16008	10856	17866.3	13261.8	12730.3	10307	8467.8
7.37	13134.5	11396	13991.4	13456.5	11127.8	10308.8	10575.5	17733.6	11129.3	14832.3	8837.01	8837.01	7711.95	9105.19	10862.6	7407.43	11110.4	8819.57	12866.3	14278.5	14011.8	12864.9	13133.1	9717.16	9717.16	8017.93	15654.3	8590.64	11987.6	11989.1	12008	10556.6	10575.5	8838.47	11452.7	13380.9	11702	13723.2	15155.7	10861.1	14008.8	15138.3	12293.6	13705.8	10553.7	13439	15977.7	10555.1	13077.8	12885.2	10556.6	9677.9	13133.1	12025.4	14832.3	15692.1	15176.1	11435.3	5154.39	7443.76	12599.6	9411.18	10250.6	11719.5	9124.09	10289.9	9161.89	7999.04
7.64	10169.2	13513.4	14037.1	12918.3	10556.1	9746.86	10306.2	11389.2	13495.6	7557.04	10556.1	13495.6	9609.8	11889	14328.7	15971	8949.5	7866.51	13013.7	10788.1	11002.3	11079.7	8622.15	5587.34	4581.82	11912.8	13007.7	12454.3	10246.6	8931.63	8836.3	7461.71	9764.73	11097.6	9437.38	14614.3	15661.5	11466.3	14638.2	18970.1	12162.7	12180.6	14560.7	8080.66	15661.5	11621.2	11657	11097.6	10532.3	11912.8	11407.1	15679.4	15042.6	15857.8	13126.5	20088.8	12144.8	11389.2	11603.3	11293.9	9746.86	10014.6	9490.99	12162.7	8390.14	11853.2	9437.38	8913.76
7.91	16898.8	9761.19	12897.8	11636.9	11519.9	9746.53	13791.6	11681	11241.4	8735.24	10948.2	9761.19	8749.9	12326.1	13454.4	7416.11	10552.7	8955.04	9057.4	8617.8	9600.12	13571.8	6229.09	10567.3	11006.9	8148.89	8793.96	10200.8	9189.5	12369.7	13073.5	16049	8148.89	7870.37	11006.9	16825.4	11300.1	11095	8148.89	18921.4	17499.5	16473.5	9248.22	11358.8	20929.2	9980.99	9922.27	14934.6	8969.7	9570.37	11681	12326.1	10347.6	11080.3	12575.2	12017.8	13000.1	13850.3	9863.55	10728.4	11622.3	14084.8	8500.79	7416.11	14817.1	8793.96	9013.76	9980.99
8.20	17049.2	9799.54	10388.4	8663.93	11417.8	10553	8661.29	14559.2	9203.87	9957.3	8552.47	10608.7	10177.6	9957.3	13641.3	5740.19	11197.6	7687.59	7799.05	8443.65	12987.2	8174.44	11039.8	10121.8	10766.4	10931	6006.76	9964.09	12769.6	9637.64	8387.92	11849	6871.64	7907.87	9148.14	11207	12556.1	18131.7	13529.8	13852.1	17427.2	6065.13	9148.14	14125.5	11364.8	17746.9	9848.48	13045.6	12447.3	11529.3	12289.5	11253.3	7687.59	7845.34	10884.7	10344.8	10499.9	7467.31	8615	8552.47	17858.4	8661.29	10710.7	10608.7	10722.8	7789.61	9414.71	9634.99
8.51	6537.59	9889.09	8084.22	11129	11426.9	8953.6	12925	6438.28	12362.4	8084.22	9474.24	7927.61	7629.68	9374.93	5610.91	8026.92	12046.9	8854.29	9416.94	9266.81	5246.88	11733.6	8854.29	11634.3	9994.87	8911.59	6594.88	10758.5	10094.2	12353.6	7876.79	6793.5	9994.87	7870.32	7364.96	8920.39	15605.8	9061.72	11899.1	14372.4	16424.3	12212.3	10509	13331.1	9068.19	6694.19	6486.77	10036.9	12254.3	14471.7	10650.4	11484.2	8390.95	10458.2	11577	9416.94	9838.27	7720.18	12711.2	11327.6	10500.2	7464.27	7678.17	9681.66	7521.56	8240.82	6032.23	8390.95
8.82	15525.5	15676.3	16268.4	10965.4	11765.1	7495.03	11853.4	43961.6	10864.7	11658.2	8571.99	7589.53	12583.9	10971.6	8030.42	10341.7	10581.2	9894.64	5051.1	5491.98	8036.6	8036.6	8332.47	6367.56	9447.57	8225.6	11072.3	8225.6	12099.1	8918.37	9800.14	8477.49	9006.68	8376.8	6902.95	11696	13069.1	13075.3	10385.7	9844.12	11116.6	10965.4	12048.5	14643.7	11513.2	9214.24	14750.6	8918.37	6808.45	13075.3	6373.75	5926.68	9012.87	4698.52	9019.06	6713.95	11412.5	9900.83	8672.67	10196.7	8817.69	11557.5	7784.71	7986.09	9989.14	10776.4	8760.98	5687.17
