Sample File	D:\OlinCollege\All_data\OlinCollege\HEPAir X\Cool1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17
Start Time	19:25:22	19:30:26	19:35:26	19:40:26	19:45:26	19:50:26	19:55:26	20:00:26	20:05:26	20:10:26	20:15:26	20:20:26	20:25:26	20:30:26	20:35:26	20:40:26	20:45:26	20:50:26	20:55:26	21:00:26	21:05:26	21:10:26	21:15:26
Diameter Midpoint
7.10	4750.94	1495.29	1.08746e+006	1.60246e+006	1.63696e+006	1.27777e+006	890677	593720	369001	135233	49609.5	14952.9	5016.02	5981.15	1495.29	0	0	0	0	0	0	0	0
7.37	6118.46	3806.02	993401	1.5243e+006	1.53646e+006	1.19657e+006	874881	570764	410481	143218	46982.1	19030.1	8430.9	2537.35	0	0	0	1268.67	0	0	0	0	0
7.64	3250.67	3250.67	914167	1.43787e+006	1.39815e+006	1.14884e+006	776057	496607	357964	140914	50953.2	7584.9	6501.35	2167.12	0	0	0	0	0	0	0	0	0
7.91	1864.65	4661.62	811289	1.30683e+006	1.16514e+006	1.07267e+006	671478	495712	352398	104681	48495	13052.5	5125.65	1864.65	0	1864.65	0	0	0	0	0	0	0
8.20	4846.6	4038.84	705732	1.1747e+006	1.07533e+006	913951	611401	462160	308870	111692	36560	18578.6	7675.64	807.767	807.767	0	0	0	0	0	0	0	0
8.51	4935.95	2115.41	723028	1.02974e+006	1.01618e+006	841505	555413	410486	307022	98885.4	34546.4	13751.6	4935.95	1410.27	705.135	0	0	0	0	0	0	0	0
8.82	6946.52	3708.99	629554	919691	932898	782753	551015	389749	275233	105193	36601.5	13907.5	6799.82	1854.5	2472.66	0	0	0	0	0	0	0	0
9.14	9237.81	3809.2	621120	836896	842787	675621	482558	379931	258429	91422.2	36652.3	15352.8	5013.58	2176.69	544.171	544.171	544.171	0	0	544.171	0	0	0
9.47	6166	3857.74	586973	737739	743172	616427	460908	344191	239083	88728.3	34945.8	8094.87	3754.91	1446.65	482.218	0	482.218	0	482.218	0	0	482.218	0
9.82	5198.32	3856.24	498898	651179	653753	559747	414263	333972	235020	90362.7	31647.6	10768.4	5570.12	2142.35	856.942	856.942	428.471	0	0	0	428.471	0	0
 10.2	4962.4	4601.13	432970	613491	606992	510099	374194	306879	221733	82484.5	27923.7	14519.5	5013.11	3450.85	766.855	766.855	0	383.427	0	0	0	0	0
 10.6	4445.53	4127.21	384417	534752	505339	449867	332038	255842	190564	89278.6	27447.2	10318	5133.4	1719.67	1031.8	343.934	0	343.934	0	0	0	343.934	343.934
 10.9	7063.99	3401.52	345118	482114	447417	390992	307381	251903	177917	66021.9	31508.9	8967.66	4899.38	2164.61	618.459	927.689	618.459	309.23	0	309.23	0	618.459	0
 11.3	5634.48	5262.69	311831	430297	396493	347552	282734	219960	167092	66042.1	24901	8009.51	5075.4	1118.17	279.542	559.083	279.542	279.542	279.542	279.542	0	279.542	279.542
 11.8	3802.34	5802.5	276768	382457	362106	317067	262954	190414	165678	63106.2	20680.5	8706.77	5069.78	3295.36	0	506.978	0	0	253.489	253.489	0	506.978	253.489
 12.2	4606.72	6420.91	247927	351733	301589	274467	225770	171055	142181	56887.2	21278.8	8292.1	4837.06	691.009	691.009	460.672	460.672	230.336	0	691.009	0	230.336	0
 12.6	5239.05	4712.89	225416	297240	268448	238245	215121	162133	144047	51611.1	19969.6	9770.76	3785.95	1892.97	841.322	210.33	0	210.33	420.661	210.33	0	630.991	210.33
 13.1	5222.31	5898.78	218575	247857	243693	209657	181125	154318	130465	47519.8	16056	6852.03	3855.34	1349.37	771.068	578.301	0	0	0	0	0	0	192.767
 13.6	6405.77	5723.72	200603	223908	215626	192681	159402	128073	106639	48705.1	16286.3	6075.44	2296.59	1766.61	552.972	176.661	529.983	176.661	529.983	0	176.661	0	529.983
 14.1	5779.83	10186.2	200918	197564	185943	174654	154326	128597	92170.5	37276	16926	6073.51	2429.66	1619.77	626.831	323.955	161.977	161.977	314.759	323.955	161.977	161.977	314.759
 14.6	8004.33	9579.7	179621	173563	166494	139053	131753	105955	92322.4	38970.3	15834.1	7533.78	2233.72	1638.06	893.488	297.829	148.915	0	8.45436	446.744	148.915	0	8.45436
 15.1	6723.51	11539.5	152958	150545	141220	140742	117195	99734.9	81266.1	32483.9	12844.7	5306.04	1789.1	550.491	412.868	137.623	208.684	275.245	412.868	275.245	412.868	137.623	412.868
 15.7	6452.09	13626.4	141644	134681	139762	115845	101154	85001.2	73254.3	32204	10804.4	6157.46	1404	1311.45	382.909	510.545	444.64	510.545	290.36	255.273	127.636	0	382.909
 16.3	8056.37	16743.4	123845	118719	121032	111531	95080.7	81616	69277.1	28052.5	11836.7	3762.76	2135.6	1508.61	118.554	357.291	237.108	118.554	85.9634	0	0	118.554	474.216
 16.8	8397.1	29585.2	119816	114752	109119	96362.5	89867.1	70016	61896.4	24927.1	7935.85	3527.55	2615.73	661.7	852.717	880.75	441.133	551.416	441.133	330.85	551.416	551.416	330.85
 17.5	6902.35	32904.1	108537	105505	98986.1	83538.8	75646.3	68751.2	56914.3	23268.1	8465.75	4556.28	2599.59	823.046	277.463	0	249.897	514.404	205.762	102.881	308.642	411.523	102.881
 18.1	8075.32	47420	106483	97416.7	82899.9	77600.6	68247	55965.6	53078.7	21666	7028.1	3346.14	1643.79	576.644	439.307	384.429	439.307	96.1073	288.322	96.1073	288.322	288.322	192.215
 18.8	8051.32	60247.3	100461	84315.8	74740.2	73948.4	64827.3	51837.1	51666.1	19561.7	8245.91	3659.24	1430.91	270.045	360.06	338.017	180.03	90.0151	450.075	360.06	0	180.03	450.075
 19.5	6721.77	69771.6	92795.5	85047.4	74262	67849.1	58031.2	53150.7	42834.8	18307.3	6322	3144.04	993.132	1045.27	285.527	221.784	422.077	84.4155	369.943	369.943	84.4155	590.908	253.246
 20.2	5436.39	94013.1	89510.1	76254.5	65237.9	63781.5	53843.7	44821	39979.8	16012	7056.48	2931.51	1286.85	1157.41	444.04	683.057	237.789	237.789	366.005	286.742	315.824	553.614	79.2631
 20.9	5777.1	94107	81933.3	71589.7	61858.9	56827.4	50136.6	39642.3	40317.1	13369.2	7344.13	3184.53	1596.61	1039.32	222.533	338.193	294.125	339.261	0	40.6373	149.053	73.9806	372.048
 21.7	4123.57	97686.3	81680.5	66900.8	58793.2	55737.2	46159.2	41550.9	38392.1	15474.3	5683.59	2013.24	1149.03	834.853	274.693	448.463	224.584	450.939	139.786	240.915	566.874	427.797	349.222
 22.5	3504.07	100474	79702	62097.2	56391.5	50865.3	42671.3	36115.3	36654.4	14333	5381.27	2164.28	638.532	457.536	323.131	196.137	446.508	130.326	65.8249	130.377	429.218	452.234	130.339
 23.3	3679.96	96840.7	76339.2	57196.9	52566.7	47000.8	41136.5	34941.1	32658.1	12046.8	4987.59	1997.67	1121.66	552.918	368.65	129.611	557.308	123.649	248.639	432.184	207.365	120.661	68.1354
 24.1	2665.16	101513	70546.8	58751.4	48150.5	44761.7	38044.2	31343.1	30437.7	12330.7	5146.8	1707.4	728.383	283.463	349.606	165.572	173.954	57.8246	233.292	56.912	173.941	175.504	223.963
 25.0	2479.37	100039	69055.9	54184.5	47025.5	41954.1	39566.7	30127.8	28404.1	12079.1	5593.65	2519.55	1208.45	548.06	442.427	386.273	163.326	165.862	332.239	108.593	218.811	220.454	165.701
 25.9	2261.95	104852	66250.9	57109.8	47390.4	40779.4	36963.3	29403.5	28476.8	8807.41	5493.52	2072.77	1109.22	524.733	226.874	367.588	104.608	104.616	101.741	157.207	104.55	231.298	50.1054
 26.9	2159.6	108659	64130.3	51487.8	45039.4	42217.4	36471.7	29607.1	27203.1	12027.2	4608.59	2050.54	664.082	442.41	228.597	44.6928	247.285	149.092	0	146.199	97.6752	128.743	148.947
 27.9	1623.25	105421	59685.2	50602.3	44471.1	38927.5	33740.1	28642.8	24468.4	9878.92	3918.05	2004.21	890.082	472.234	328.254	139.748	184.407	284.649	144.512	46.5551	140.588	45.6773	241.19
 28.9	532.083	104810	60597.2	47944	41378.1	36011.8	34150.8	29376.7	24712.7	8283.68	4334.22	2124.07	1137.87	489.433	354.892	135.481	270.933	87.8898	103.138	135.146	89.8778	90.6095	40.7717
 30.0	1042.7	101294	58545.5	44586.5	41286.2	36218	33822	26377.8	22663.7	8956.9	3531.45	1578.11	757.128	383.979	164.313	123.481	298.289	42.7465	66.5315	84.6965	85.9414	127.891	40.7328
 31.1	607.282	99089.8	57566.6	46633.3	43886.3	35141.2	29973.6	26153.8	25234.1	9646.93	4746.73	1476.14	834.108	501.259	403.589	241.829	80.4883	80.5271	40.8581	37.5428	163.729	72.4052	122.256
 32.2	451.072	99601.9	54917.6	49561.3	38120.1	34649.4	29477.1	27170.7	25060.4	9497.91	4341.57	1448.87	721.937	184.152	344.945	75.4223	0	77.1361	0	75.0427	0	84.2513	75.5028
 33.4	474.429	95434.3	54594.6	44288.1	38873.2	34570.5	29213.7	24550.1	21718.4	9513.19	3527.9	1912.64	610.649	332.5	217.716	108.167	109.202	33.686	0	149.724	111.749	186.748	73.095
 34.6	559.585	95388.5	48950.4	44074.2	36189.7	34171.1	30025.9	23765.8	19596.9	8637.52	3768.19	1463.68	837.878	415.321	66.6079	136.236	70.3505	31.2597	34.3948	71.9273	70.9106	0	143.364
 35.9	775.258	91373.7	50138.1	40433.8	35707.9	32924.5	28181.9	25405.4	18379	9026.7	3453.06	2007.93	517.272	297.209	64.6341	97.2949	135.271	28.0538	31.2866	101.882	136.55	67.295	32.0446
 37.2	648.963	86865	51836.6	38427	34868.6	32156.3	27233.6	24367.9	18964.3	8243.71	3224.73	1789.74	735.22	95.1157	199.612	58.2062	28.4509	32.2192	137.401	32.9932	32.4898	29.7464	99.121
 38.5	558.287	84583.1	49653.1	35379.7	33910.2	29329.8	27168.6	22085.9	18769.3	7279.22	3270.55	1209.15	645.029	323.181	80.5624	189.667	124.254	58.0174	154.32	158.487	94.8117	62.7737	63.1833
 40.0	439.188	79638	43618	37158.4	31076	30743	25561.2	22536.9	16818.2	7905.28	3340.41	1462.62	456.557	284.034	114.442	90.0122	180.841	0	58.5982	28.2113	59.4158	59.9994	0
 41.4	327.247	74778.3	43065.6	35745.6	30233	28740.9	24958.1	21927.2	17104.3	6991.95	3765.86	1584.28	689.197	527.478	219.415	0	27.1912	86.8119	0	25.2441	25.8978	0	20.7138
 42.9	366.121	70348.7	41127.5	35518.1	31402.4	27164.3	24897.5	22468.1	17496.9	7470.38	3588.47	1352.41	719.965	365.989	195.042	140.304	80.9957	0	110.734	26.5598	0	26.3892	62.4934
 44.5	647.855	64415.6	37060.8	34321.3	29326.4	26263.2	22864.9	21337.8	15332	6107.93	3699.76	1107.7	742.977	203.971	188.399	134.316	23.025	51.777	0	80.7414	22.4826	52.563	23.3181
