Sample File	D:\OlinCollege\All_data\OlinCollege\HEPAir X\Cool2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17
Start Time	14:04:00	14:09:04	14:14:04	14:19:04	14:24:04	14:29:04	14:34:04	14:39:04	14:44:04	14:49:04	14:54:04	14:59:04	15:04:04	15:09:04	15:14:04	15:19:04	15:24:04	15:29:04	15:34:04	15:39:04	15:44:04	15:49:04
Diameter Midpoint
7.10	34656.7	25685	2.42764e+006	3.31834e+006	2.26128e+006	1.8181e+006	1.50108e+006	1.27924e+006	438932	189527	54095.4	25215.7	4485.86	8971.72	0	0	0	0	0	0	0	1495.29
7.37	35297.9	14999.2	1.8141e+006	3.35939e+006	2.37958e+006	1.78821e+006	1.44474e+006	1.19731e+006	451652	143300	71086.9	29711.8	9146.85	5074.69	0	3806.02	2537.35	1268.67	1534.81	0	0	1268.67
7.64	37924.5	30339.6	1.62761e+006	2.55548e+006	2.1999e+006	1.64601e+006	1.42193e+006	1.16105e+006	443460	134648	54203.9	26887.6	17109.6	4334.23	1083.56	0	0	0	856.25	1083.56	0	0
7.91	32163.1	19110.5	1.1935e+006	2.31087e+006	2.03507e+006	1.5406e+006	1.32676e+006	1.11254e+006	394556	140912	62011.5	19824.9	12120.2	1864.65	932.325	0	932.325	0	932.325	932.325	0	932.325
8.20	15151.3	19190.1	1.13173e+006	1.98489e+006	1.92836e+006	1.47528e+006	1.2749e+006	1.0616e+006	408411	132101	58569.7	18382.4	8077.67	5654.37	807.767	1615.53	807.767	0	807.767	807.767	807.767	0
8.51	19213	20446.3	1.05827e+006	1.67112e+006	1.82236e+006	1.35582e+006	1.24991e+006	985332	401001	134311	57467.3	18330.9	10577	2820.54	882.133	2115.41	0	1410.27	1410.27	0	0	705.135
8.82	93944.2	13444.5	1.12845e+006	1.44604e+006	1.50477e+006	1.25708e+006	1.16105e+006	951402	346812	133919	41863.2	22098.8	6328.36	3237.53	2317.5	1854.5	618.166	618.166	0	0	1236.33	0
