TSI CPC DATA VERSION 3
1490285516,2017/3/23,16:11:56
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/23,16:11:45,313,10177,14.99,,1024,0.000,2618,424,0
2017/3/23,16:12:00,318,10344,14.99,,1024,0.000,2612,433,0
2017/3/23,16:12:15,326,10616,14.99,,1024,0.000,2604,416,0
2017/3/23,16:12:30,409,13320,14.98,,1024,0.000,2603,444,0
2017/3/23,16:12:45,596,19391,14.98,,1024,0.000,2646,383,0
2017/3/23,16:13:00,990,32193,14.96,,1024,0.000,2587,423,0
2017/3/23,16:13:15,4.07e3,131628,14.86,,1024,0.000,2597,399,0
2017/3/23,16:13:30,3.74e3,121047,14.87,,1024,0.000,2598,367,0
2017/3/23,16:13:45,4.40e3,142284,14.85,,1024,0.000,2601,385,0
2017/3/23,16:14:00,5.70e3,183422,14.81,,1024,0.000,2587,382,0
2017/3/23,16:14:15,8.03e3,256787,14.74,,1024,0.000,2596,347,0
2017/3/23,16:14:30,1.05e4,335250,14.67,,1024,0.000,2541,383,0
2017/3/23,16:14:45,1.05e4,336243,14.67,,1024,0.000,2542,394,0
2017/3/23,16:15:00,1.60e4,503327,14.51,,1024,0.000,2513,377,0
2017/3/23,16:15:15,1.75e4,551438,14.47,,1024,0.000,2502,350,0
2017/3/23,16:15:30,1.76e4,552598,14.46,,1024,0.000,2495,350,0
2017/3/23,16:15:45,1.84e4,577125,14.44,,1024,0.000,2487,355,0
2017/3/23,16:16:00,2.10e4,654687,14.37,,1024,0.000,2452,386,0
2017/3/23,16:16:15,2.16e4,673493,14.35,,1024,0.000,2456,349,0
2017/3/23,16:16:30,3.00e4,918012,14.13,,1024,0.000,2360,383,0
2017/3/23,16:16:45,4.65e4,1379913,13.71,,1024,0.000,2220,346,0
2017/3/23,16:17:00,4.94e4,1459321,13.63,,1024,0.000,2172,377,0
2017/3/23,16:17:15,5.56e4,1623119,13.48,,1024,0.000,2109,377,0
2017/3/23,16:17:30,6.28e4,1809424,13.3,,1024,0.000,2088,384,0
2017/3/23,16:17:45,8.96e4,2442417,12.66,,1024,0.000,1958,404,0
2017/3/23,16:18:00,9.52e4,2572859,12.53,,1024,0.000,1948,378,0
2017/3/23,16:18:15,9.41e4,2555119,12.55,,1024,0.000,1936,408,0
2017/3/23,16:18:30,9.82e4,2648389,12.45,,1024,0.000,1925,393,0
2017/3/23,16:18:45,8.62e4,2379597,12.74,,1024,0.000,1962,385,0
2017/3/23,16:19:00,7.93e4,2216627,12.9,,1024,0.000,2000,401,0
2017/3/23,16:19:15,8.15e4,2268743,12.84,,1024,0.000,1992,386,0
2017/3/23,16:19:30,9.01e4,2462486,12.64,,1024,0.000,1975,402,0
2017/3/23,16:19:45,1.00e5,2707061,12.39,,1024,0.000,1962,415,0
2017/3/23,16:20:00,9.78e4,2642690,12.46,,1024,0.000,1939,406,0
2017/3/23,16:20:15,1.01e5,2714440,12.38,,1024,0.000,1901,388,0
2017/3/23,16:20:30,1.02e5,2754153,12.34,,1024,0.000,1917,386,0
2017/3/23,16:20:45,1.10e5,2921917,12.16,,1024,0.000,1862,413,0
2017/3/23,16:21:00,1.07e5,2851310,12.23,,1024,0.000,1921,426,0
2017/3/23,16:21:15,1.10e5,2905459,12.18,,1024,0.000,1918,402,0
2017/3/23,16:21:30,1.08e5,2878950,12.2,,1024,0.000,1899,401,0
2017/3/23,16:21:45,1.15e5,3010633,12.06,,1024,0.000,1901,418,0
2017/3/23,16:22:00,1.15e5,3005473,12.06,,1024,0.000,1866,426,0
2017/3/23,16:22:15,1.11e5,2929846,12.14,,1024,0.000,1894,422,0
2017/3/23,16:22:30,1.15e5,3024338,12.04,,1024,0.000,1875,421,0
2017/3/23,16:22:45,1.19e5,3095111,11.97,,1024,0.000,1865,422,0
2017/3/23,16:23:00,1.14e5,3004917,12.06,,1024,0.000,1877,395,0
2017/3/23,16:23:15,1.19e5,3093013,11.97,,1024,0.000,1873,423,0
