Sample File	D:\OlinCollege\All_data\OlinCollege\HEPAir X\Heat1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17
Start Time	16:07:00	16:12:03	16:17:03	16:22:03	16:27:03	16:32:03	16:37:03	16:42:03	16:47:03	16:52:03	16:57:03	17:02:03	17:07:03	17:12:03	17:17:03	17:22:03	17:27:03	17:32:04	17:37:04	17:42:04	17:47:03	17:52:04
Diameter Midpoint
7.10	1495.29	1495.29	25419.9	84387.9	291768	599044	653388	676056	251717	131476	34717.5	26710.9	2990.57	0	1291.08	0	1495.29	0	0	0	1495.29	1495.29
7.37	1268.67	2537.35	36055.1	57991.6	197055	461863	589099	613880	310029	122776	35073	15756.4	6343.37	0	0	1268.67	0	0	0	1268.67	0	0
7.64	1083.56	2167.12	14968.5	44731.1	151216	343284	475915	524333	270468	92783.3	41681.8	12548.1	7584.9	2167.12	0	1083.56	1083.56	0	1083.56	0	0	0
7.91	2796.97	1864.65	24954.8	37103.2	90213.3	251094	405480	462251	201959	73681.8	40818.4	13052.5	7458.6	3028.99	932.325	932.325	932.325	0	0	0	0	0
8.20	1821.3	1615.53	21413.5	25446.5	74539.3	167842	260358	382952	169282	51912.3	24237.8	8885.44	4846.6	2222.29	0	807.767	807.767	0	1615.53	0	0	0
8.51	525.517	705.135	16741	17628.4	44761.6	125678	217678	313574	150862	46354.1	16743.6	7228.35	1410.27	0	705.135	0	2115.41	705.135	0	0	0	0
8.82	2001.2	1854.5	19154.7	17455.3	30882.9	85140.7	168206	232286	125716	38456	18691.7	8027.69	6181.66	618.166	1854.5	0	1236.33	0	0	618.166	618.166	0
9.14	1503.37	544.171	7177.17	20237.3	19746.9	73682.1	126844	194010	102333	37704.6	12502.8	6945.09	1632.51	3265.03	1204.38	1088.34	0	0	544.171	0	0	0
9.47	482.218	568.231	16930	14743.1	17445.8	46552.6	72336.3	146961	77689.4	27038	10195.8	6354.84	2893.31	568.231	861.606	964.435	0	482.218	482.218	0	0	0
9.82	1285.41	1637.46	17936.5	12482.3	14548.3	22317.4	53851.7	98808.4	51300.6	20108	7559.62	2922.87	3427.77	780.515	428.471	428.471	1285.41	428.471	428.471	428.471	0	0
 10.2	766.855	1150.28	13324.9	13014.4	12276.1	16471.6	44056.2	72227	36083.5	14598.8	6930.25	3862.83	1917.14	383.427	0	766.855	0	0	383.427	0	383.427	1150.28
 10.6	687.869	1375.74	16116.8	11668.2	11644.1	14715.4	24662.4	45994.1	23952	13043.9	5133.4	2381.93	1031.8	343.934	0	343.934	1031.8	0	0	687.869	343.934	343.934
 10.9	927.689	2164.61	9868.4	13533.7	11725.2	12888.3	22142.4	29962.7	18834.7	9204.45	4614.3	4019.98	927.689	903.545	618.459	618.459	927.689	309.23	0	309.23	618.459	309.23
 11.3	790.026	5262.69	9988.13	14176.3	13294	8984.04	14924.8	27502.1	11993.5	5376.77	2537.7	559.083	1677.25	580.909	279.542	0	0	0	279.542	0	0	0
 11.8	1058.03	4606.87	14718.7	11467.4	13313.6	11053.9	13434.9	17341.7	7323.43	4744.47	2534.89	253.489	506.978	1520.93	506.978	253.489	253.489	253.489	506.978	253.489	253.489	506.978
 12.2	691.009	2439.93	14943.4	10797.3	10263.2	9804.64	11653.4	16001.3	5269.23	2965.87	1842.69	460.672	460.672	460.672	230.336	230.336	230.336	691.009	0	0	230.336	0
 12.6	936.882	5018.78	11405	11328.7	10188.9	9445.66	8689.96	12752.6	8804.73	3756.8	1472.31	1682.64	210.33	305.891	305.891	0	305.891	210.33	0	210.33	0	210.33
 13.1	876.254	6466.5	9596.56	10630.4	9696.23	8807.89	10099.4	9731.44	6080.96	2996.69	578.301	0	385.534	297.954	297.954	192.767	683.487	192.767	192.767	192.767	192.767	385.534
 13.6	529.983	8679.38	9878.88	9679.23	7213.04	9786.92	9133.32	9332.97	5499.48	1766.61	353.322	176.661	529.983	176.661	529.983	0	706.644	0	176.661	0	529.983	353.322
 14.1	323.955	9040.45	9453.96	9322.25	10021.5	9214.31	8908.75	8878.48	5782.52	1943.73	1286.62	971.864	161.977	647.909	323.955	485.932	485.932	485.932	161.977	800.691	485.932	638.713
 14.6	446.744	11280.5	7831.61	8794.42	7180.16	9022.93	8112.53	9014.47	4641.72	2194.83	714.142	297.829	110.029	744.573	446.744	595.658	893.488	148.915	744.573	8.45436	595.658	306.284
 15.1	1034.42	11749	7445.94	6748.01	6993.45	10393.6	6544.64	8196.11	5367.29	1896.09	999.296	275.245	999.296	412.868	412.868	275.245	417.368	825.736	275.245	412.868	825.736	0
 15.7	699.913	11852.2	9070.81	7341.27	5717.09	7402.91	7121.09	11460.7	3226	2103.91	638.182	290.36	290.36	510.545	127.636	127.636	669.096	382.909	255.273	255.273	382.909	382.909
 16.3	0	16731.6	8816.18	6102.88	7015.46	6522.09	7726.79	11639.1	2575.6	2489.63	594.399	323.071	441.625	237.108	237.108	237.108	441.625	237.108	355.662	237.108	237.108	355.662
 16.8	441.133	12426.4	7137.35	5863.62	5845.01	4791.85	5013.93	8844.3	2837.82	1514.42	961.484	441.133	330.85	220.567	220.567	441.133	220.567	411.584	521.867	110.283	301.301	330.85
 17.5	720.165	10874.2	7787.76	5123.86	5291.06	6125.1	4670.16	7637.13	2070.57	1159.25	850.612	411.523	308.642	102.881	102.881	0	0	130.447	233.327	102.881	336.208	205.762
 18.1	192.215	9042.67	5851.2	3874.18	4399.63	4901.47	4828.97	9195.03	3291.26	1057.18	394.391	384.429	96.1073	0	0	0	384.429	480.536	0	384.429	192.215	192.215
 18.8	360.06	10126.9	4946.72	5148.8	3919.96	3758.59	4581.44	8273.9	2421.08	1440.24	530.76	270.045	90.0151	90.0151	180.03	180.03	180.03	270.045	90.0151	90.0151	270.045	270.045
 19.5	168.831	9634.06	3684.45	4547.64	4559.25	3864.08	4811.68	6920.34	1603.89	1045.27	506.493	590.908	253.246	0	0	84.4155	0	32.2809	253.246	168.831	84.4155	168.831
 20.2	79.2631	6719.56	4603.01	3692.6	3347.69	3838.23	3643.65	7206.8	2376.67	1315.93	317.052	475.579	237.789	237.789	158.526	158.526	79.2631	128.216	0	236.561	0	79.2631
 20.9	147.612	6835.23	4173.89	2520.55	3488.38	3123.32	3118.1	5226.64	1631.35	1379.03	444.89	220.161	73.3792	73.9767	148.48	148.467	73.9754	73.3956	0	0.0412818	0	0
 21.7	356.369	6383.75	3153.3	4259.71	2815.71	3431.64	2792.42	4933.92	1813.07	938.688	419.464	210.528	0	0	351.069	210.633	0	0	140.415	69.5565	0	70.2179
 22.5	188.152	5420.04	3614.58	2457.45	3643.69	2577.7	3077.48	4788.1	1890.85	849.864	322.464	327.846	0	130.995	130.337	0	65.2079	0	0	0	63.8315	65.2356
 23.3	246.422	3544.69	2510.73	3001.95	2799.7	3058.21	1976.92	4102.28	2252.57	549.933	182.827	248.625	124.313	123.626	0	61.4328	130.277	61.4469	61.4173	123.59	62.1393	0
 24.1	111.812	3456.94	2128.67	2491.36	2593.73	2576.22	1780.51	5501.51	1528.62	668.107	171.682	116.354	33.064	0	0	56.2211	167.781	0	116.249	33.846	0	174.809
 25.0	53.9615	3250.68	1365.73	2358.63	2206.04	2338.1	1769.76	4232.29	1831.54	405.442	165.55	222.048	133.623	54.6623	54.6882	0	55.4212	165.674	0	133.607	110.941	0
 25.9	49.3493	2900.41	2162.26	1837.88	1633.6	2112.64	2181.27	3404.63	1332.47	469.693	103.098	199.509	0	50.8498	51.9463	124.612	123.852	0	0	0	102.939	52.7199
 26.9	50.0359	2739.57	1683.34	1886.68	1748.04	1616.69	1770.89	3493.64	1544.34	536.522	349.728	157.127	150.655	0	49.1465	76.0611	227.381	49.4004	150.724	50.1746	49.2273	0
 27.9	139.728	1668.54	1627.66	1525.06	1647.24	1600.99	1192.11	2982.13	578.085	241.134	329.535	93.0469	46.5115	140.664	91.1667	188.942	92.2024	47.2024	47.4883	93.8423	92.9167	51.3041
 28.9	150.884	1612.55	1478.5	1513.27	1373	1625.24	1496.86	3065.96	1221.44	162.165	88.4351	88.9214	89.8034	0	89.6894	0	88.6102	87.7235	45.3615	133.037	88.4118	86.8306
 30.0	107.564	1540.01	697.854	1160.29	1053.65	1426.6	1054.03	2805.55	694.318	392.91	167.358	256.441	86.0658	40.8807	41.9455	42.888	40.9765	84.822	42.8893	84.1838	0	0
 31.1	153.16	1724.27	1365.17	1523.32	1020.82	1002.57	1044.06	2235.03	811.115	319.154	116.605	0	0	81.2534	0	0	80.7309	0	0	41.0498	39.8436	0
 32.2	124.738	1294.75	1514.16	1134.19	1249.13	975.635	966.798	2171.56	626.311	345.648	389.703	78.6843	36.1683	38.1614	78.1392	38.6755	35.1085	39.3419	39.55	77.8777	116.108	35.1683
 33.4	112.498	1408.08	681.059	994.93	1000.13	918.951	616.314	1936.15	735.585	484.069	183.654	0	0	35.1818	37.6969	36.9117	74.4213	36.181	37.6969	36.6834	0	35.8881
 34.6	240.405	1500	1015.02	905.515	839.055	1152.42	811.873	1963.24	673.391	429.449	177.9	31.091	36.256	70.1208	36.2093	105.508	35.9625	0	35.9719	0	0	32.9849
 35.9	60.2751	1047.78	904.819	811.125	601.34	735.735	870.627	1777.12	646.945	269.823	38.7919	0	33.9785	33.249	33.8392	33.9965	0	33.2097	0	33.3028	0	34.412
 37.2	132.228	807.4	831.288	1094.8	834.316	665.117	899.402	1285.5	254.031	195.21	90.6133	29.8054	0	70.6205	30.1098	68.469	99.4632	98.8852	133.641	32.5535	98.6897	0
 38.5	0	979.913	575.299	966.814	930.845	710.445	773.327	1301.74	627.99	121.75	62.2205	126.283	0	58.8345	28.5847	151.991	126.182	29.8946	0	0	30.8595	32.0198
 40.0	87.1216	851.588	1018.78	492.755	948.306	514.15	778.563	1103.73	569.584	237.061	89.5872	58.6976	29.3405	59.6623	123.212	30.4177	85.7463	0	0	28.3309	61.8701	0
 41.4	33.1854	698.84	645.722	820.568	473.172	591.123	679.198	958.552	422.066	196.385	55.4851	48.7996	28.1772	0	28.0893	28.6364	57.4834	88.3014	0	86.2436	59.4368	0
 42.9	151.79	756.775	687.414	521.121	425.466	318.824	857.276	1039.72	565.433	135.359	110.871	48.569	0	57.5368	27.1676	0	55.0155	27.347	0	54.1709	86.3051	57.5368
 44.5	103.761	507.472	638.191	413.186	403.053	421.763	663.269	903.17	345.238	242.604	166.585	12.5449	0	27.6976	25.9524	26.196	26.2295	53.095	25.9678	0	27.1883	26.4275
 46.1	22.4593	832.072	543.562	317.465	464.325	581.545	450.014	1034.22	83.4177	232.768	124.46	0	79.4359	24.3785	24.1904	22.0174	106.703	0	0	25.435	52.9938	104.943
 47.8	49.669	557.474	766.157	620.938	500.064	554.207	466.328	728.65	363.189	120.885	97.6614	47.544	25.9132	48.0665	0	0	23.2646	23.7972	0	24.2453	49.9695	24.4232
 49.6	174.642	609.133	610.957	531.462	421.881	656.976	473.962	631.21	298.278	88.1373	70.3442	96.6353	0	47.571	0	73.8469	0	49.0108	0	0	0	74.0964
 51.4	190.705	315.824	481.64	561.413	467.371	665.388	526.936	811.501	178.407	134.033	21.2261	69.5681	0	22.5338	3.61315	0	22.7157	24.2307	21.9907	23.4104	23.5114	0
 53.3	15.7922	468.525	561.986	458.544	458.959	541.415	442.963	777.897	213.305	80.6644	68.6332	67.5965	43.8136	23.806	42.0505	42.6488	0	21.2906	0	17.7179	23.0223	15.7982
 55.2	35.2007	495.423	552.531	382.648	335.961	182.001	471.765	665.883	159.029	73.1414	18.6625	18.1978	45.8017	0	68.6118	67.1661	41.5748	17.1205	0	0	23.1748	0
 57.3	36.7896	579.069	347.333	404.075	597.724	561.874	261.07	425.665	205.45	123.324	40.9059	40.9151	21.6314	21.2681	0	0	88.5	58.6261	16.3398	40.0556	0	0
 59.4	148.289	527.705	508.94	398.052	328.089	443.171	399.393	490.362	207.827	157.787	42.9754	41.1717	18.5167	43.3613	20.742	20.3329	17.098	16.0444	0	20.5877	0	18.7167
 61.5	85.7952	544.226	363.709	412.891	298.686	390.807	433.997	410.038	233.162	110.181	56.4915	17.992	18.8613	0	17.8251	0	35.4109	0	42.9256	61.6241	0	0
 63.8	78.7417	556.134	348.918	309.719	293.953	147.74	317.024	481.849	142.206	72.0875	32.6646	19.9796	20.5029	0	18.3421	0	17.1741	41.5719	17.3863	0	0	0
 66.1	68.1324	400.517	300.729	327.339	413.578	453.148	296.499	331.576	177.514	68.4615	59.7149	19.3123	20.4535	0	18.6196	38.285	13.2031	0	19.5762	13.4107	12.9845	32.3822
 68.5	12.9047	450.584	450.868	296.808	280.572	353.522	245.658	562.169	312.338	114.119	46.2612	76.3317	0	55.0943	36.0995	59.8567	0	20.086	80.3441	14.9591	0	15.1925
 71.0	27.9641	476.418	340.29	199.786	327.751	420.63	347.757	266.012	155.791	44.4498	66.2527	0	0	13.051	18.8735	13.9407	51.6704	19.2969	0	16.1652	36.2261	12.44
 73.7	0	319.798	265.499	190.892	74.7171	193.664	171.486	497.886	193.046	172.387	25.0535	69.4624	0	34.9983	38.005	15.2448	17.6084	4.34256	0	0	0	12.4108
 76.4	76.2474	505.088	199.368	230.797	159.539	202.422	483.746	414.179	231.852	48.9573	27.9828	0	55.5955	0	0	45.605	11.7558	0	37.3523	15.973	14.4521	106.107
 79.1	51.6966	370.717	330.618	293.082	208.31	252.571	199.144	363.707	207.026	158.651	16.8903	50.9275	10.4436	0	0	33.1861	33.3887	33.5223	0	69.5905	0	30.0392
 82.0	100.51	216.183	413.535	260.394	190.556	158.69	447.819	304.296	145.862	86.7028	43.2004	27.4581	0	0	10.8745	7.3509	36.0146	51.1741	68.3935	13.0212	0	0
 85.1	37.1213	449.637	250.706	169.889	347.115	423.072	349.149	194.399	139.722	125.273	22.1046	32.1157	10.0112	13.8651	26.9769	28.2336	0	69.3703	29.8563	47.1325	50.2049	5.98006
 88.2	36.5019	241.416	277.882	320.424	280.673	428.905	228.062	293.092	94.7318	115.999	0	11.1318	28.6494	0	0	3.3224	46.5561	25.7326	0	13.6861	13.7127	27.0097
 91.4	6.93911	192.929	292.691	204.348	134.67	151.649	423.148	299.055	135.554	115.576	67.0148	25.4006	11.6463	17.6095	30.8701	51.1701	46.8211	8.41794	0	0	0	17.6095
 94.7	19.145	347.819	436.238	134.738	400.657	271.355	495.262	326.944	154.303	55.7422	50.996	0	0	69.7206	10.9159	10.9159	15.2005	0	27.1862	27.7661	32.6306	15.452
 98.2	89.7933	392.775	320.562	369.981	421.171	336.237	361.403	413.944	130.179	79.4136	0	7.84413	0	0	10.1837	15.6008	46.4635	0	0	42.2493	44.0999	12.5234
101.8	30.2407	275.99	342.18	237.044	419.895	264.11	181.865	241.186	125.88	27.0281	86.8959	23.657	11.4726	32.058	23.657	0	49.1312	0	0	25.0807	43.9989	66.2045
105.5	56.8312	585.602	569.35	549.367	608.896	480.321	507.878	407.141	238.111	91.0082	47.1511	28.4156	30.2267	33.8488	0	32.0377	33.8488	0	15.1133	15.1133	10.7677	33.8488
109.4	67.1197	541.625	553.738	786.059	515.33	608.662	632.623	380.924	143.838	50.3398	50.3398	33.5599	33.5599	16.7799	0	16.7799	100.68	67.1197	0	26.3785	33.5599	33.5599
113.4	117.016	718.528	568.366	532.524	775.976	527.491	551.649	420.037	207.754	76.2853	33.4333	16.7166	0	16.7166	0	50.1499	33.4333	0	0	23.8709	16.7166	33.4333
117.6	33.1586	591.557	623.625	769.34	518.002	671.259	534.036	584.864	232.11	196.303	73.0098	16.5793	39.8513	66.3171	33.1586	0	16.5793	16.5793	16.5793	0	66.3171	33.1586
121.9	66.0861	799.168	817.396	541.493	632.477	685.224	577.719	589.582	265.82	158.546	42.8952	33.043	9.85213	33.043	16.5215	49.5646	0	16.5215	16.5215	16.5215	0	0
126.3	65.8648	725.428	809.23	834.386	671.196	617.94	589.841	492.515	229.056	164.662	49.3986	16.4662	32.9324	10.1617	49.3986	16.4662	16.4662	0	26.6279	32.9324	16.4662	49.3986
131.0	82.066	947.325	766.249	953.078	691.263	613.573	820.129	360.825	279.024	114.892	82.066	16.4132	32.8264	39.1106	0	81.8006	32.561	49.2396	22.6974	16.4132	16.1478	49.2396
135.8	32.7248	991.689	868.531	803.081	854.425	804.808	696.901	382.7	212.711	84.8622	114.537	49.0872	16.3624	0	16.3624	0.26459	16.627	16.3624	0	16.3624	16.627	0
140.7	52.8055	837.6	792.122	937.826	705.321	849.186	662.794	489.205	229.45	197.254	81.9463	16.3893	32.7785	0	16.3893	16.3893	32.7785	65.557	49.1678	32.7785	32.7785	0
145.9	62.0293	729.335	882.587	805.179	558.903	843.1	576.084	293.327	182.043	226.213	49.2552	49.2552	16.4184	0	32.8368	32.8368	0	16.4184	0	16.4184	0	16.4184
151.2	32.7464	784.478	793.687	679.783	676.201	743.839	728.194	522.507	211.415	61.9106	114.613	16.3732	0	16.3732	16.3732	65.4929	16.3732	0	16.3732	49.1197	32.7464	16.3732
156.8	98.4373	807.186	645.381	718.901	660.146	554.838	788.115	497.108	119.765	95.4643	32.8124	49.2186	32.8124	0	49.2186	16.4062	0	16.4062	16.4062	16.4062	32.8124	0
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																						
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
D50(nm)	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41
Median(nm)	10.6157	16.9444	10.504	8.85844	7.65265	7.61085	7.73404	7.90809	7.9416	7.84899	7.98128	7.99541	8.32118	9.32914	9.92331	10.1867	10.684	15.0932	11.7036	14.0552	14.2597	13.6793
Mean(nm)	17.7876	24.0149	15.7191	13.6406	10.3386	9.02738	8.80114	8.96371	8.89495	9.1002	9.38498	9.6242	10.383	13.65	16.2162	18.0185	16.4152	22.2392	17.4978	21.8083	20.2199	20.5734
Geo. Mean(nm)	12.9924	19.1208	12.2113	10.7501	8.87847	8.27804	8.25135	8.45409	8.44322	8.49362	8.66579	8.78216	9.29696	11.2586	12.5386	13.0397	12.7058	17.0291	13.4738	15.8024	15.1843	15.2035
Mode(nm)	7.91476	16.2531	7.36525	7.10497	7.10497	7.10497	7.10497	7.10497	7.36525	7.10497	7.63506	7.10497	7.63506	9.13982	8.81683	7.36525	8.50526	15.1247	8.2047	7.36525	7.10497	7.10497
Geo. Std. Dev.	1.91377	1.76619	1.76534	1.71283	1.50316	1.34916	1.29567	1.30148	1.27921	1.32073	1.34336	1.38331	1.42209	1.63269	1.78525	1.93078	1.80831	1.85554	1.8153	1.99187	1.89631	1.93622
Total Concentration(#/cm³)	483.719	3777.28	6870.18	8692.14	17898.5	37475.3	51487.9	63450.4	29700.4	11443.7	4407.77	2035.02	895.915	354.316	224.455	217.532	306.701	133.283	156.293	135.358	158.813	145.277
Comment																						
