Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\High1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,8:27:00,8:32:04,8:37:04,8:42:04,8:47:04,8:52:04,8:57:04,9:02:04,9:07:04,9:12:04,9:17:04,9:22:04,9:27:04,9:32:04,9:37:04,9:42:04,9:47:04,9:52:04,9:57:04,10:02:04,10:07:04,10:12:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
7.1,4485.86,0,1.72E+06,2.28E+06,1.25E+06,804702,746290,565000,314466,165338,67348.8,31401,8971.72,7741.51,1495.29,0,0,0,0,0,0,0
7.37,5074.69,0,1.70E+06,2.47E+06,1.56E+06,1.00E+06,809993,574733,338003,166627,81502.5,27910.8,5074.69,4849.79,5074.69,0,1268.67,0,0,1268.67,0,0
7.64,2167.12,1083.56,1.02E+06,2.54E+06,1.57E+06,894268,743594,570594,326812,128567,67485.8,27848.8,12172.4,7584.9,1083.56,2167.12,0,0,0,0,0,0
