TSI CPC DATA VERSION 3
1490195833,2017/3/22,15:17:13
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/22,15:17:15,2.25e3,73270,14.92,,1011,0.000,2561,462,0
2017/3/22,15:17:30,2.20e3,71723,14.92,,1011,0.000,2601,395,0
2017/3/22,15:17:45,2.21e3,71949,14.92,,1011,0.000,2575,439,0
2017/3/22,15:18:00,2.19e3,71360,14.93,,1011,0.000,2612,397,0
2017/3/22,15:18:15,2.13e3,69532,14.93,,1011,0.000,2564,449,0
2017/3/22,15:18:30,2.11e3,68896,14.93,,1011,0.000,2565,438,0
2017/3/22,15:18:45,2.09e3,67946,14.93,,1011,0.000,2579,437,0
2017/3/22,15:19:00,2.07e3,67489,14.93,,1011,0.000,2591,422,0
2017/3/22,15:19:15,2.05e3,66738,14.93,,1011,0.000,2585,419,0
2017/3/22,15:19:30,2.02e3,65766,14.93,,1011,0.000,2593,433,0
2017/3/22,15:19:45,1.98e3,64522,14.93,,1011,0.000,2554,463,0
2017/3/22,15:20:00,1.95e3,63558,14.93,,1011,0.000,2572,441,0
2017/3/22,15:20:15,1.93e3,62924,14.93,,1011,0.000,2567,454,0
2017/3/22,15:20:30,1.92e3,62622,14.93,,1011,0.000,2609,410,0
2017/3/22,15:20:45,1.88e3,61203,14.94,,1011,0.000,2598,422,0
2017/3/22,15:21:00,1.87e3,60924,14.94,,1011,0.000,2576,421,0
2017/3/22,15:21:15,1.84e3,60114,14.94,,1011,0.000,2552,460,0
2017/3/22,15:21:30,1.84e3,59960,14.94,,1011,0.000,2575,457,0
2017/3/22,15:21:45,1.98e3,64373,14.93,,1011,0.000,2542,483,0
2017/3/22,15:22:00,2.30e3,74967,14.92,,1011,0.000,2550,466,0
2017/3/22,15:22:15,2.35e3,76685,14.92,,1011,0.000,2565,429,0
2017/3/22,15:22:30,2.86e3,92916,14.9,,1011,0.000,2581,421,0
2017/3/22,15:22:45,2.61e3,85090,14.91,,1011,0.000,2576,435,0
2017/3/22,15:23:00,7.96e3,252380,14.75,,1011,0.000,2543,416,0
2017/3/22,15:23:15,2.93e4,879290,14.16,,1011,0.000,2363,446,0
2017/3/22,15:23:30,3.36e4,1017556,14.03,,1011,0.000,2301,457,0
2017/3/22,15:23:45,2.85e4,874444,14.16,,1011,0.000,2342,429,0
2017/3/22,15:24:00,3.42e4,1038580,14.01,,1011,0.000,2294,447,0
2017/3/22,15:24:15,3.93e4,1183866,13.88,,1011,0.000,2249,445,0
2017/3/22,15:24:30,4.50e4,1339132,13.73,,1011,0.000,2202,432,0
2017/3/22,15:24:45,6.61e4,1892908,13.21,,1011,0.000,2014,455,0
2017/3/22,15:25:00,1.03e5,2751895,12.33,,1011,0.000,1903,472,0
2017/3/22,15:25:15,1.27e5,3260985,11.78,,1011,0.000,1798,463,0
2017/3/22,15:25:30,1.43e5,3558766,11.44,,1011,0.000,1774,485,0
2017/3/22,15:25:45,1.75e5,4108826,10.78,,1011,0.000,1687,482,0
2017/3/22,15:26:00,2.26e5,4806962,9.839,,1011,0.000,1608,512,0
2017/3/22,15:26:15,2.68e5,5268254,9.116,,1011,0.000,1573,512,0
2017/3/22,15:26:30,2.65e5,5261751,9.148,,1011,0.000,1546,504,0
2017/3/22,15:26:45,2.82e5,5422162,8.872,,1011,0.000,1530,522,0
2017/3/22,15:27:00,3.03e5,5597435,8.546,,1011,0.000,1536,512,0
2017/3/22,15:27:15,3.23e5,5766551,8.224,,1011,0.000,1481,528,0
2017/3/22,15:27:30,3.31e5,5823263,8.113,,1011,0.000,1455,531,0
2017/3/22,15:27:45,3.36e5,5854165,8.031,,1011,0.000,1464,528,0
2017/3/22,15:28:00,3.56e5,5981598,7.749,,1011,0.000,1429,509,0
2017/3/22,15:28:15,3.63e5,6011618,7.652,,1011,0.000,1480,561,0
2017/3/22,15:28:30,3.63e5,6022465,7.652,,1011,0.000,1422,518,0
2017/3/22,15:28:45,3.76e5,6094208,7.463,,1011,0.000,1429,499,0
2017/3/22,15:29:00,3.88e5,6150333,7.307,,1011,0.000,1484,546,0
2017/3/22,15:29:15,3.88e5,6147526,7.309,,1011,0.000,1464,563,0
2017/3/22,15:29:30,3.99e5,6191295,7.167,,1011,0.000,1434,554,0
2017/3/22,15:29:45,4.02e5,6213890,7.122,,1011,0.000,1450,557,0
2017/3/22,15:30:00,4.05e5,6225777,7.089,,1011,0.000,1434,531,0
2017/3/22,15:30:15,4.03e5,6210683,7.11,,1011,0.000,1424,520,0
2017/3/22,15:30:30,4.11e5,6244313,7.012,,1011,0.000,1420,578,0
2017/3/22,15:30:45,4.15e5,6254974,6.95,,1011,0.000,1440,551,0
2017/3/22,15:31:00,4.17e5,6269101,6.931,,1011,0.000,1428,567,0
2017/3/22,15:31:15,4.13e5,6253650,6.974,,1011,0.000,1413,534,0
2017/3/22,15:31:30,4.16e5,6265699,6.942,,1011,0.000,1478,581,0
2017/3/22,15:31:45,4.11e5,6211731,7.043,,1011,0.000,1422,567,0
2017/3/22,15:32:00,4.11e5,6248010,7.018,,1011,0.000,1416,539,0
2017/3/22,15:32:15,4.09e5,6242221,7.041,,1011,0.000,1411,538,0
2017/3/22,15:32:30,4.09e5,6232399,7.032,,1011,0.000,1394,527,0
2017/3/22,15:32:45,4.12e5,6251429,6.994,,1011,0.000,1420,535,0
2017/3/22,15:33:00,4.15e5,6259051,6.95,,1011,0.000,1441,541,0
2017/3/22,15:33:15,4.10e5,6236322,7.006,,1011,0.000,1420,546,0
2017/3/22,15:33:30,4.04e5,6213570,7.094,,1011,0.000,1420,528,0
2017/3/22,15:33:45,4.06e5,6223386,7.059,,1011,0.000,1435,527,0
2017/3/22,15:34:00,4.00e5,6202044,7.142,,1011,0.000,1467,574,0
2017/3/22,15:34:15,3.96e5,6174489,7.193,,1011,0.000,1440,535,0
2017/3/22,15:34:30,3.86e5,6132655,7.332,,1011,0.000,1488,554,0
2017/3/22,15:34:45,3.91e5,6160458,7.255,,1011,0.000,1483,561,0
2017/3/22,15:35:00,3.94e5,6173333,7.228,,1011,0.000,1453,527,0
2017/3/22,15:35:15,3.97e5,6183428,7.188,,1011,0.000,1435,535,0
2017/3/22,15:35:30,3.95e5,6178498,7.213,,1011,0.000,1402,566,0
2017/3/22,15:35:45,3.96e5,6185243,7.193,,1011,0.000,1445,533,0
2017/3/22,15:36:00,4.00e5,6199849,7.15,,1011,0.000,1429,549,0
2017/3/22,15:36:15,3.97e5,6179408,7.184,,1011,0.000,1446,556,0
2017/3/22,15:36:30,4.03e5,6204180,7.11,,1011,0.000,1417,546,0
2017/3/22,15:36:45,3.94e5,6166380,7.216,,1011,0.000,1425,520,0
2017/3/22,15:37:00,3.91e5,6160257,7.263,,1011,0.000,1444,572,0
2017/3/22,15:37:15,3.84e5,6119688,7.346,,1011,0.000,1456,531,0
2017/3/22,15:37:30,3.81e5,6104052,7.386,,1011,0.000,1468,554,0
2017/3/22,15:37:45,3.77e5,6091554,7.453,,1011,0.000,1444,557,0
2017/3/22,15:38:00,3.83e5,6119751,7.371,,1011,0.000,1439,535,0
2017/3/22,15:38:15,3.76e5,6085746,7.466,,1011,0.000,1456,550,0
2017/3/22,15:38:30,3.75e5,6076200,7.481,,1011,0.000,1463,531,0
2017/3/22,15:38:45,3.86e5,6127199,7.328,,1011,0.000,1429,546,0
2017/3/22,15:39:00,3.70e5,6055684,7.547,,1011,0.000,1450,540,0
2017/3/22,15:39:15,3.65e5,6029967,7.612,,1011,0.000,1420,544,0
2017/3/22,15:39:30,3.62e5,6005602,7.652,,1011,0.000,1475,562,0
2017/3/22,15:39:45,3.48e5,5926723,7.848,,1011,0.000,1466,535,0
2017/3/22,15:40:00,3.51e5,5951218,7.805,,1011,0.000,1456,517,0
2017/3/22,15:40:15,3.48e5,5922420,7.848,,1011,0.000,1499,555,0
2017/3/22,15:40:30,3.40e5,5875580,7.966,,1011,0.000,1486,556,0
2017/3/22,15:40:45,3.38e5,5861285,7.991,,1011,0.000,1488,539,0
2017/3/22,15:41:00,3.30e5,5810821,8.123,,1011,0.000,1479,520,0
2017/3/22,15:41:15,3.25e5,5771830,8.185,,1011,0.000,1558,576,0
2017/3/22,15:41:30,3.21e5,5742855,8.252,,1011,0.000,1502,539,0
2017/3/22,15:41:45,3.14e5,5694462,8.351,,1011,0.000,1494,548,0
2017/3/22,15:42:00,3.22e5,5745921,8.235,,1011,0.000,1503,550,0
2017/3/22,15:42:15,3.19e5,5727949,8.274,,1011,0.000,1489,545,0
2017/3/22,15:42:30,3.09e5,5655386,8.431,,1011,0.000,1520,533,0
2017/3/22,15:42:45,3.04e5,5608957,8.511,,1011,0.000,1524,548,0
2017/3/22,15:43:00,3.00e5,5582442,8.578,,1011,0.000,1525,520,0
2017/3/22,15:43:15,2.91e5,5503778,8.705,,1011,0.000,1507,534,0
2017/3/22,15:43:30,2.93e5,5521296,8.674,,1011,0.000,1549,552,0
2017/3/22,15:43:45,2.98e5,5566572,8.599,,1011,0.000,1522,509,0
2017/3/22,15:44:00,2.99e5,5572333,8.59,,1011,0.000,1511,537,0
2017/3/22,15:44:15,2.96e5,5542044,8.642,,1011,0.000,1555,556,0
