Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low 1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,15:17:14,15:22:18,15:27:18,15:32:18,15:37:18,15:42:18,15:47:18,15:52:18,15:57:18,16:02:18,16:07:18,16:12:18,16:17:18,16:22:18,16:27:18,16:32:18,16:37:18,16:42:18,16:47:18,16:52:18,16:57:18,17:02:18
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
7.1,7393.33,6039.51,2.48E+06,3.30E+06,2.87E+06,2.05E+06,1.36E+06,1.24E+06,1.06E+06,564504,319949,182288,82006.6,46806.2,25305.7,14892.6,7343.18,3019.75,3019.75,0,3019.75,1509.88
7.37,15505,8967.37,2.37E+06,3.21E+06,2.78E+06,1.96E+06,1.25E+06,1.13E+06,827590,518903,300538,151121,87952.4,46117.9,25753.5,14091.6,2562.1,2562.1,1281.05,6405.26,1281.05,2562.1
