TSI CPC DATA VERSION 3
1490188078,2017/3/22,13:07:58
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/22,13:07:45,1.39e3,45334,14.95,,1009,0.000,2557,499,0
2017/3/22,13:08:00,1.36e3,44452,14.95,,1009,0.000,2535,498,0
2017/3/22,13:08:15,1.29e3,42183,14.96,,1009,0.000,2548,499,0
2017/3/22,13:08:30,1.30e3,42266,14.96,,1009,0.000,2568,477,0
2017/3/22,13:08:45,1.29e3,42229,14.96,,1009,0.000,2545,480,0
2017/3/22,13:09:00,1.28e3,41826,14.96,,1009,0.000,2550,485,0
2017/3/22,13:09:15,1.28e3,41769,14.96,,1009,0.000,2524,505,0
2017/3/22,13:09:30,1.25e3,40723,14.96,,1009,0.000,2535,493,0
2017/3/22,13:09:45,1.18e3,38622,14.96,,1009,0.000,2562,479,0
2017/3/22,13:10:00,1.20e3,39078,14.96,,1009,0.000,2515,541,0
2017/3/22,13:10:15,1.18e3,38595,14.96,,1009,0.000,2508,541,0
2017/3/22,13:10:30,1.16e3,37939,14.96,,1009,0.000,2531,501,0
2017/3/22,13:10:45,1.19e3,38894,14.96,,1009,0.000,2509,526,0
2017/3/22,13:11:00,1.19e3,38900,14.96,,1009,0.000,2551,479,0
2017/3/22,13:11:15,1.15e3,37659,14.96,,1009,0.000,2546,491,0
2017/3/22,13:11:30,1.16e3,37987,14.96,,1009,0.000,2557,493,0
2017/3/22,13:11:45,1.16e3,37915,14.96,,1009,0.000,2526,532,0
2017/3/22,13:12:00,1.17e3,38057,14.96,,1009,0.000,2543,511,0
2017/3/22,13:12:15,1.15e3,37472,14.96,,1009,0.000,2534,523,0
2017/3/22,13:12:30,3.46e3,110624,14.89,,1009,0.000,2502,521,0
2017/3/22,13:12:45,2.32e4,717019,14.32,,1009,0.000,2382,429,0
2017/3/22,13:13:00,1.54e4,484545,14.53,,1009,0.000,2480,402,0
2017/3/22,13:13:15,1.24e4,394037,14.62,,1009,0.000,2524,367,0
2017/3/22,13:13:30,1.27e4,404792,14.61,,1009,0.000,2525,364,0
2017/3/22,13:13:45,1.62e4,510913,14.51,,1009,0.000,2485,371,0
2017/3/22,13:14:00,1.61e4,507675,14.51,,1009,0.000,2493,362,0
2017/3/22,13:14:15,1.26e4,399716,14.61,,1009,0.000,2521,379,0
2017/3/22,13:14:30,1.44e4,456473,14.56,,1009,0.000,2498,389,0
2017/3/22,13:14:45,2.32e4,718864,14.32,,1009,0.000,2421,375,0
2017/3/22,13:15:00,1.73e4,543626,14.48,,1009,0.000,2493,351,0
2017/3/22,13:15:15,2.91e4,895344,14.16,,1009,0.000,2336,369,0
2017/3/22,13:15:30,3.26e4,995623,14.07,,1009,0.000,2314,374,0
2017/3/22,13:15:45,3.22e4,984306,14.08,,1009,0.000,2331,351,0
2017/3/22,13:16:00,3.03e4,928081,14.14,,1009,0.000,2316,399,0
2017/3/22,13:16:15,3.18e4,973670,14.09,,1009,0.000,2344,334,0
2017/3/22,13:16:30,3.69e4,1118525,13.96,,1009,0.000,2283,355,0
2017/3/22,13:16:45,5.11e4,1493791,13.61,,1009,0.000,2170,371,0
2017/3/22,13:17:00,4.00e4,1204786,13.88,,1009,0.000,2239,371,0
2017/3/22,13:17:15,5.97e4,1693714,13.41,,1009,0.000,2114,402,0
2017/3/22,13:17:30,4.68e4,1384864,13.71,,1009,0.000,2178,367,0
2017/3/22,13:17:45,5.19e4,1525758,13.58,,1009,0.000,2116,380,0
2017/3/22,13:18:00,5.80e4,1689039,13.43,,1009,0.000,2076,371,0
2017/3/22,13:18:15,6.98e4,1986747,13.14,,1009,0.000,2038,374,0
2017/3/22,13:18:30,7.54e4,2126120,13.01,,1009,0.000,1984,393,0
2017/3/22,13:18:45,9.26e4,2527152,12.6,,1009,0.000,1961,384,0
2017/3/22,13:19:00,8.85e4,2435430,12.69,,1009,0.000,1968,372,0
2017/3/22,13:19:15,8.79e4,2422367,12.71,,1009,0.000,1937,390,0
2017/3/22,13:19:30,8.98e4,2464338,12.66,,1009,0.000,1977,385,0
2017/3/22,13:19:45,1.05e5,2818643,12.29,,1009,0.000,1903,394,0
2017/3/22,13:20:00,1.08e5,2868695,12.24,,1009,0.000,1909,405,0
2017/3/22,13:20:15,1.05e5,2803012,12.3,,1009,0.000,1892,401,0
2017/3/22,13:20:30,1.07e5,2854120,12.25,,1009,0.000,1881,422,0
2017/3/22,13:20:45,1.17e5,3067572,12.02,,1009,0.000,1862,408,0
2017/3/22,13:21:00,1.21e5,3144048,11.94,,1009,0.000,1851,402,0
2017/3/22,13:21:15,1.25e5,3225829,11.85,,1009,0.000,1842,416,0
2017/3/22,13:21:30,1.28e5,3288332,11.78,,1009,0.000,1838,417,0
2017/3/22,13:21:45,1.43e5,3550717,11.48,,1009,0.000,1796,437,0
2017/3/22,13:22:00,1.42e5,3538692,11.5,,1009,0.000,1800,432,0
2017/3/22,13:22:15,1.57e5,3805738,11.18,,1009,0.000,1782,433,0
2017/3/22,13:22:30,1.56e5,3791338,11.2,,1009,0.000,1800,426,0
2017/3/22,13:22:45,1.63e5,3912685,11.05,,1009,0.000,1748,437,0
2017/3/22,13:23:00,1.74e5,4087346,10.84,,1009,0.000,1740,467,0
2017/3/22,13:23:15,1.72e5,4063492,10.86,,1009,0.000,1702,426,0
2017/3/22,13:23:30,1.82e5,4220697,10.67,,1009,0.000,1721,458,0
2017/3/22,13:23:45,1.71e5,4049105,10.89,,1009,0.000,1726,477,0
2017/3/22,13:24:00,1.69e5,4017209,10.93,,1009,0.000,1717,462,0
2017/3/22,13:24:15,1.72e5,4058378,10.88,,1009,0.000,1719,438,0
2017/3/22,13:24:30,1.75e5,4113640,10.81,,1009,0.000,1751,447,0
2017/3/22,13:24:45,1.76e5,4128037,10.78,,1009,0.000,1713,466,0
2017/3/22,13:25:00,1.81e5,4212200,10.69,,1009,0.000,1740,465,0
2017/3/22,13:25:15,1.82e5,4215512,10.68,,1009,0.000,1705,454,0
2017/3/22,13:25:30,1.79e5,4168891,10.73,,1009,0.000,1707,445,0
2017/3/22,13:25:45,1.79e5,4169968,10.73,,1009,0.000,1704,483,0
2017/3/22,13:26:00,1.78e5,4165534,10.74,,1009,0.000,1710,469,0
2017/3/22,13:26:15,1.77e5,4136474,10.77,,1009,0.000,1724,455,0
2017/3/22,13:26:30,1.69e5,4020836,10.92,,1009,0.000,1726,457,0
2017/3/22,13:26:45,1.77e5,4144950,10.76,,1009,0.000,1693,452,0
2017/3/22,13:27:00,1.81e5,4196100,10.68,,1009,0.000,1724,460,0
2017/3/22,13:27:15,1.82e5,4220921,10.65,,1009,0.000,1693,445,0
2017/3/22,13:27:30,1.81e5,4198206,10.68,,1009,0.000,1727,443,0
2017/3/22,13:27:45,1.86e5,4271518,10.58,,1009,0.000,1695,484,0
2017/3/22,13:28:00,1.90e5,4331926,10.51,,1009,0.000,1689,473,0
2017/3/22,13:28:15,1.94e5,4390824,10.42,,1009,0.000,1665,483,0
2017/3/22,13:28:30,1.85e5,4254096,10.6,,1009,0.000,1724,471,0
2017/3/22,13:28:45,1.79e5,4169409,10.7,,1009,0.000,1726,460,0
2017/3/22,13:29:00,1.82e5,4212581,10.65,,1009,0.000,1740,474,0
2017/3/22,13:29:15,1.77e5,4131407,10.76,,1009,0.000,1696,472,0
2017/3/22,13:29:30,1.75e5,4098425,10.79,,1009,0.000,1744,472,0
2017/3/22,13:29:45,1.75e5,4107702,10.78,,1009,0.000,1727,455,0
2017/3/22,13:30:00,1.79e5,4166815,10.71,,1009,0.000,1738,446,0
2017/3/22,13:30:15,1.75e5,4097047,10.79,,1009,0.000,1713,461,0
2017/3/22,13:30:30,1.71e5,4038578,10.87,,1009,0.000,1750,477,0
2017/3/22,13:30:45,1.78e5,4147895,10.73,,1009,0.000,1684,473,0
2017/3/22,13:31:00,1.77e5,4129595,10.76,,1009,0.000,1730,449,0
2017/3/22,13:31:15,1.72e5,4051130,10.85,,1009,0.000,1737,477,0
2017/3/22,13:31:30,1.72e5,4054231,10.85,,1009,0.000,1712,456,0
2017/3/22,13:31:45,1.71e5,4035282,10.87,,1009,0.000,1727,463,0
2017/3/22,13:32:00,1.65e5,3947619,10.98,,1009,0.000,1743,443,0
2017/3/22,13:32:15,1.68e5,3990050,10.93,,1009,0.000,1734,482,0
2017/3/22,13:32:30,1.66e5,3950904,10.97,,1009,0.000,1751,456,0
2017/3/22,13:32:45,1.62e5,3889635,11.05,,1009,0.000,1707,471,0
2017/3/22,13:33:00,1.66e5,3959618,10.97,,1009,0.000,1750,465,0
2017/3/22,13:33:15,1.64e5,3929061,11.0,,1009,0.000,1726,461,0
2017/3/22,13:33:30,1.61e5,3869688,11.07,,1009,0.000,1756,458,0
2017/3/22,13:33:45,1.60e5,3862402,11.07,,1009,0.000,1760,460,0
2017/3/22,13:34:00,1.62e5,3882307,11.05,,1009,0.000,1741,465,0
2017/3/22,13:34:15,1.66e5,3953728,10.96,,1009,0.000,1721,502,0
2017/3/22,13:34:30,1.60e5,3858535,11.08,,1009,0.000,1759,468,0
2017/3/22,13:34:45,1.58e5,3817210,11.13,,1009,0.000,1765,466,0
2017/3/22,13:35:00,1.56e5,3791360,11.16,,1009,0.000,1779,427,0
2017/3/22,13:35:15,1.57e5,3798203,11.15,,1009,0.000,1746,440,0
2017/3/22,13:35:30,1.60e5,3849216,11.09,,1009,0.000,1739,430,0
2017/3/22,13:35:45,1.60e5,3861456,11.08,,1009,0.000,1718,471,0
2017/3/22,13:36:00,1.57e5,3800076,11.16,,1009,0.000,1729,458,0
2017/3/22,13:36:15,1.55e5,3765401,11.19,,1009,0.000,1760,465,0
2017/3/22,13:36:30,1.52e5,3715344,11.26,,1009,0.000,1788,479,0
2017/3/22,13:36:45,1.52e5,3711929,11.25,,1009,0.000,1763,484,0
2017/3/22,13:37:00,1.53e5,3738116,11.23,,1009,0.000,1756,474,0
2017/3/22,13:37:15,1.44e5,3582674,11.41,,1009,0.000,1765,460,0
2017/3/22,13:37:30,1.48e5,3642592,11.34,,1009,0.000,1781,484,0
2017/3/22,13:37:45,1.48e5,3647000,11.33,,1009,0.000,1804,469,0
2017/3/22,13:38:00,1.46e5,3618791,11.37,,1009,0.000,1778,461,0
2017/3/22,13:38:15,1.43e5,3549834,11.45,,1009,0.000,1781,468,0
2017/3/22,13:38:30,1.42e5,3531070,11.47,,1009,0.000,1790,446,0
2017/3/22,13:38:45,1.45e5,3588387,11.4,,1009,0.000,1787,457,0
2017/3/22,13:39:00,1.49e5,3662694,11.32,,1009,0.000,1749,473,0
2017/3/22,13:39:15,1.61e5,3875496,11.06,,1009,0.000,1746,467,0
2017/3/22,13:39:30,1.53e5,3727324,11.24,,1009,0.000,1763,451,0
2017/3/22,13:39:45,1.58e5,3817293,11.13,,1009,0.000,1717,456,0
2017/3/22,13:40:00,1.49e5,3671494,11.31,,1009,0.000,1800,490,0
2017/3/22,13:40:15,1.38e5,3473538,11.54,,1009,0.000,1779,458,0
2017/3/22,13:40:30,1.43e5,3564980,11.43,,1009,0.000,1784,467,0
2017/3/22,13:40:45,1.45e5,3597378,11.39,,1009,0.000,1737,474,0
2017/3/22,13:41:00,1.40e5,3496875,11.51,,1009,0.000,1802,455,0
2017/3/22,13:41:15,1.40e5,3497341,11.51,,1009,0.000,1821,451,0
2017/3/22,13:41:30,1.36e5,3428488,11.59,,1009,0.000,1802,452,0
2017/3/22,13:41:45,1.31e5,3330520,11.7,,1009,0.000,1843,452,0
2017/3/22,13:42:00,1.34e5,3393924,11.63,,1010,0.000,1822,460,0
2017/3/22,13:42:15,1.49e5,3653881,11.32,,1009,0.000,1778,467,0
2017/3/22,13:42:30,1.35e5,3410463,11.61,,1009,0.000,1817,460,0
2017/3/22,13:42:45,1.59e5,3821489,11.11,,1009,0.000,1748,452,0
2017/3/22,13:43:00,1.56e5,3788683,11.17,,1009,0.000,1772,457,0
2017/3/22,13:43:15,1.94e5,4381138,10.42,,1009,0.000,1687,477,0
2017/3/22,13:43:30,1.87e5,4267812,10.56,,1009,0.000,1676,476,0
2017/3/22,13:43:45,2.09e5,4584657,10.14,,1009,0.000,1628,474,0
2017/3/22,13:44:00,2.12e5,4602507,10.1,,1009,0.000,1650,501,0
2017/3/22,13:44:15,2.08e5,4578592,10.16,,1009,0.000,1640,484,0
2017/3/22,13:44:30,2.29e5,4823353,9.775,,1009,0.000,1627,498,0
2017/3/22,13:44:45,3.34e5,5763859,8.077,,1009,0.000,1461,512,0
2017/3/22,13:45:00,2.84e5,5416759,8.821,,1009,0.000,1556,507,0
2017/3/22,13:45:15,3.35e5,5775290,8.051,,1009,0.000,1494,555,0
2017/3/22,13:45:30,3.31e5,5736847,8.114,,1009,0.000,1459,524,0
2017/3/22,13:45:45,2.75e5,5340908,8.95,,1009,0.000,1546,479,0
