Sample File	D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Date	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17
Start Time	13:07:00	13:12:03	13:17:04	13:22:04	13:27:04	13:32:04	13:37:04	13:42:04	13:47:04	13:52:04	13:57:04	14:02:04	14:07:04	14:12:04	14:17:04	14:22:04	14:27:04	14:32:04	14:37:04	14:42:04	14:47:04	14:52:04	14:57:04	15:02:04
Diameter Midpoint
7.10	0	0	35682.7	182347	794040	1.18921e+006	1.01369e+006	838077	4.52388e+006	1.87779e+006	832613	387414	167098	64562.4	45388.8	16448.2	4485.86	4485.86	1495.29	0	0	1495.29	1495.29	0
7.37	1268.67	1268.67	27910.8	89380.6	584680	867698	956649	799579	4.29638e+006	1.75394e+006	835059	338882	169206	92920.5	44486	10149.4	7878.18	1268.67	3806.02	1268.67	2537.35	1268.67	2803.49	1268.67
7.64	0	2167.12	20587.6	75673.7	392935	675716	776093	706483	3.80216e+006	1.60906e+006	737801	347662	166770	68569.4	42310.7	21671.2	11691.8	3250.67	2167.12	3250.67	1083.56	1083.56	4106.92	2420.4
7.91	3028.99	932.325	22607.8	31263.2	282881	522286	662474	573118	3.38881e+006	1.39095e+006	698687	328176	174883	58546.7	31495.2	18646.5	9555.26	5825.96	0	932.325	1164.34	932.325	0	2579.04
8.20	3837.82	807.767	25045.5	25040.8	211898	463751	560081	506364	3.17894e+006	1.38599e+006	655056	296312	148674	61811.3	32917.4	17976.6	8684.42	3837.82	1615.53	1615.53	3030.05	1615.53	807.767	2423.3
8.51	1410.27	705.135	18507.9	19392.6	125654	286940	403111	387415	2.83205e+006	1.25764e+006	552206	267387	157390	63625.8	25738.9	9341.13	5818.08	2820.54	0	2820.54	705.135	705.135	705.135	0
8.82	618.166	1854.5	27800.5	21325.5	76452.5	209911	347319	324209	2.30669e+006	1.12886e+006	553970	239250	128071	56035.2	28272	13582.7	5408.32	4945.32	2472.66	1383.03	618.166	1854.5	1236.33	0
9.14	1088.34	544.171	19331.9	11971.8	43664.3	156827	233355	234539	2.03566e+006	1.02629e+006	475975	225157	111758	44597.3	23386.3	11829.5	5673.8	3265.03	1088.34	959.202	0	2720.86	544.171	544.171
9.47	964.435	482.218	19374.7	11573.2	26316.3	89023.3	168352	182835	1.80106e+006	914194	459652	205223	111190	47982.5	14845.9	10988.2	5666.97	2411.09	1050.45	0	1928.87	0	964.435	0
9.82	856.942	0	14491.6	9054.56	16023.4	58059.9	102034	129565	1.56111e+006	780695	393281	188258	117851	36065.4	14568	8997.89	4693.43	1713.88	1208.99	1713.88	856.942	1285.41	1285.41	428.471
 10.2	1533.71	383.427	11148	11068.7	8666.69	37864.3	80516.7	83853.4	1.33323e+006	743131	369038	188735	93683.2	37899.2	15834.8	11502.8	4933.84	2300.56	1150.28	383.427	383.427	1917.14	383.427	0
 10.6	1375.74	0	12362.3	4472.7	5504.51	23337.9	46968.4	55649.9	1.12519e+006	660819	308846	165195	83063.7	27044.3	18474.7	8254.43	3783.28	2753.03	1375.74	1719.67	0	687.869	343.934	0
 10.9	927.689	1236.92	10817.4	6183.19	5873.96	11440.1	25590.8	33982.7	958910	537552	273350	134706	78317.2	24997.9	17549.5	5875.36	1546.15	1235.52	927.689	0	903.545	0	309.23	0
 11.3	1628.65	559.083	11133.1	8337.65	6429.46	5590.83	15902.2	20513.5	837319	485827	253878	138112	60042.8	16670.4	12875.8	4703.61	1397.71	1118.17	1118.17	279.542	580.909	559.083	279.542	0
 11.8	1311.51	4997.96	6634.79	5802.5	3984.01	2534.89	9395.42	15423.7	713792	439431	217403	116755	54879.3	20593	10690.6	7433.28	760.467	506.978	688.647	253.489	253.489	1449.11	760.467	253.489
 12.2	460.672	5866.48	6031.55	4023.79	3750.64	3455.04	3656.88	8300.36	660867	370378	197974	104702	44866.8	17059.2	11423	4017.74	2533.7	691.009	1447.28	0	921.345	295.597	0	230.336
 12.6	1051.65	12752.6	5735.39	5945.72	4512.5	1892.97	2169.71	3727.65	555818	323506	178092	87997.1	45391.1	11805.8	9435.72	4808.45	1892.97	726.552	420.661	210.33	630.991	1051.65	210.33	95.56
 13.1	385.534	11138.7	7488.21	4461.83	2341.39	1349.37	1366.97	2138.04	441954	262672	149748	73798	34181.6	13858.6	5888.2	2861.81	771.068	1069.02	192.767	192.767	250.651	385.534	443.418	297.954
 13.6	883.305	14625.7	6683.06	3980.1	1330.18	1612.94	1413.29	1259.62	364296	222600	127177	61958	28453.1	11740.6	5522.47	4232.79	1589.95	176.661	353.322	176.661	300.274	176.661	476.935	0
 14.1	314.759	10599.7	6754.38	4514.29	2390.19	2237.41	1133.84	788.808	304520	195746	113253	64079.9	24608.8	10125.6	4979.14	2711.46	1133.84	161.977	647.909	323.955	647.909	971.864	323.955	323.955
 14.6	714.142	9814.84	4939.54	6733.41	2658.49	1646.51	1191.32	1042.4	263481	169324	96074.3	47497.3	24672.6	7660.72	3573.95	1042.4	1113.55	446.744	595.658	258.944	297.829	595.658	297.829	148.915
 15.1	724.051	8639.61	5851.21	3961.25	2517.65	1376.23	1034.42	1513.85	228147	135658	78392.8	42010.5	18559.9	7885.74	2961.14	1309.67	418.181	621.552	550.491	311.182	688.114	1034.42	137.623	137.623
 15.7	510.545	7825.17	6733.91	3353.63	2803.83	1148.73	699.913	765.818	184135	122399	67969.2	38453.9	17842.5	5818.08	3507.91	2614.46	479.728	699.913	255.273	127.636	127.636	317.004	382.909	35.0873
 16.3	0	5833.18	3762.76	3168.36	2726.74	1896.86	594.399	829.877	152271	105060	57248.5	30138	14731.2	6152.99	2015.42	1778.31	915.841	237.108	237.108	592.769	355.662	474.216	829.877	324.701
 16.8	771.983	5643.05	5924.23	2205.67	2367.13	1213.12	1101.32	771.983	136273	93534.1	44374.9	23187.6	14591.6	5124.21	2867.36	882.266	852.717	330.85	441.133	441.133	411.584	441.133	521.867	219.051
 17.5	1131.69	4888.87	5142.39	2821.92	1906.99	1337.45	514.404	1131.69	117042	74404.4	40114.9	20521.5	11129.8	4155.75	1895.99	1337.45	1159.25	205.762	764.301	411.523	953.493	720.165	336.208	102.881
 18.1	874.928	5535.3	6188.12	3322.53	1057.18	1057.18	480.536	394.391	97508.8	65622.2	34838.5	19967.3	8498.38	3579.58	2169.24	1345.5	672.751	288.322	343.199	202.177	682.713	576.644	288.322	288.322
 18.8	1318.85	5012.85	4043.19	2790.47	1778.26	720.121	428.032	1228.84	85050.5	54525.6	30736.3	17094.7	8979.47	3681.29	1778.26	810.136	990.166	270.045	270.045	440.745	800.805	720.121	180.03	90.0151
 19.5	864.826	4518.73	3692.7	2174.95	1488.02	876.435	611.58	1202.49	69338.5	48660.2	25369.3	11408.4	7104.14	2701.29	1994.51	1129.68	590.908	707.605	422.077	168.831	675.324	506.493	253.246	84.4155
 20.2	1188.95	3996.76	3979.34	3424.5	1632.99	1078.15	791.403	870.666	63970.7	39012.7	22414.5	11593.1	7373.53	3010.77	1791.51	683.057	713.368	445.268	475.579	396.316	317.052	396.316	158.526	317.052
 20.9	929.626	5193.55	3636.92	1934.91	1332	885.025	784.552	515.323	56312.8	38018.8	18900.7	10336.7	4737.31	3082.76	2077.07	741.984	634.445	294.964	367.781	70.6224	365.773	260.439	410.185	294.798
 21.7	715.701	3240.93	3354.79	1531.51	1606.2	979.056	722.656	763.545	46381.1	32136.5	16112.5	7957.91	4806.29	2550.27	1321.26	973.739	447.254	207.315	493.648	346.093	555.492	302.374	167.413	414.506
 22.5	1152.21	4016.35	3359.31	2152.9	974.342	703.002	515.26	712.135	41820.6	29798.7	12342.4	7953.35	5863.87	2121.46	1437.05	957.03	518.509	788.157	621.467	325.094	649.577	190.149	393.076	390.321
 23.3	922.46	3497.72	3011.09	2268.84	975.022	620.486	619.583	798.807	34643.1	22178.9	12489.1	7179.77	4750.79	2059.91	998.034	707.057	863.143	492.963	152.042	375.998	486.43	1050.35	499.715	301.28
 24.1	1526.25	3244.47	2371.1	1855.22	1330.1	655.301	510.608	633.515	32279	20341.2	10727.8	5652.44	3049.84	1997.91	1056.02	801.144	757.664	263.23	343.168	451.932	805.109	493.473	275.6	226.357
 25.0	993.592	4088.71	1886.02	1243.25	1311.43	845.261	435.208	653.748	24678.7	17274.6	10250	5695.79	3500.79	1718.71	1234.17	655.556	266.895	74.799	158.606	274.97	429.306	460.003	439.229	324.782
