Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Medium1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017
Start Time,19:12:35,19:17:38,19:22:38,19:27:38,19:32:38,19:37:38,19:42:38,19:47:38,19:52:38,19:57:38,20:02:38,20:07:38,20:12:38,20:17:38,20:22:38,20:27:38,20:32:38,20:37:39,20:42:38,20:47:38,20:52:38,20:57:39
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
7.1,100449,118045,208436,180208,189384,178591,188119,169028,287073,258663,241950,226032,222076,206158,201434,194079,158418,205037,149920,147251,181968,145490
7.37,73420.2,66585.8,168653,153961,148682,151137,138164,115224,242236,186681,176224,179580,166914,195910,183611,172009,126950,149827,120402,132352,155271,129570
7.64,78723,61106.8,129449,128742,119418,143134,119924,144043,188791,207167,157595,162943,154703,139053,156512,135303,127841,124110,121008,95379.1,119016,118789
