Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Medium2.S80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017
Start Time,9:53:28,9:58:31,10:03:31,10:08:31,10:13:31,10:18:31,10:23:31,10:28:31,10:33:31,10:38:31,10:43:31,10:48:32,10:53:32,10:58:32,11:03:31,11:08:32,11:13:32,11:18:31,11:23:32,11:28:32,11:33:32,11:38:32,11:43:32,11:48:32,11:53:32,11:58:32,12:03:32,12:08:32
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,279570,292824,291885,305873,295289,283913,258702,248439,237763,241106,276845,369701,314558,275763,257289,196860,191844,163930,140209,171319,139774,104179,100163,100041,63984.1,92156,80541.3,52395.9
