Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\High1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
Date	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17
Start Time	15:04:28	15:09:31	15:14:31	15:19:31	15:24:31	15:29:31	15:34:31	15:39:31	15:44:31	15:49:31	15:54:31	15:59:31	16:04:32	16:09:32	16:14:31	16:19:31	16:24:31	16:29:32	16:34:32	16:39:32	16:44:32	16:49:32	16:54:32	16:59:32	17:04:32	17:09:32	17:14:32
Diameter Midpoint
7.10	494144	393946	443229	377612	418075	438391	429532	342025	423311	359345	462729	268365	360958	183665	13278.9	6639.43	0	0	13278.9	13278.9	0	6639.43	0	0	0	13278.9	13070
7.37	327366	385647	421248	477142	350144	343081	332140	278749	315494	365140	380448	365354	291126	166439	27064.1	10825.6	5412.81	5412.81	0	0	0	0	10825.6	5412.81	0	5412.81	5412.81
7.64	262056	314753	303868	236638	257016	253969	234662	282753	187977	286052	305024	249096	267817	129253	17816.5	14601.3	0	0	0	0	4454.13	0	8908.26	0	0	13362.4	0
7.91	241266	224963	248780	247064	180088	242369	207986	242295	209972	233862	201576	225919	276715	86820.3	18545.7	10075.7	7403.57	3701.79	0	7403.57	3701.79	11105.4	3701.79	0	3701.79	3701.79	0
8.20	231198	207678	221790	196180	186188	199254	169894	197041	190031	141147	160609	200085	152062	58967.9	17769.9	9315.59	0	0	0	6210.4	6210.4	6210.4	3105.2	0	6210.4	3105.2	0
8.51	168284	157997	173544	161096	160159	161096	179274	194015	154378	165368	131644	184065	143205	64297.9	11224.3	0	0	0	0	2630.23	2630.23	0	0	2630.23	0	5260.46	0
8.82	123982	140676	171971	132616	152463	139008	131283	141403	121647	120982	130858	146974	122646	41933.2	13786.2	6726.08	2242.03	4484.05	0	0	0	0	0	2242.03	4484.05	0	2242.03
9.14	109175	129414	130156	136988	135807	101046	130595	124406	151610	133412	118012	99678.9	141389	39787.3	9327.29	1922.75	1922.75	1922.75	0	0	0	0	0	1922.75	0	1922.75	0
9.47	134770	118058	99404.9	115162	137224	96526.9	110009	108167	94072.9	224383	107212	93463.9	167054	26868.7	14174.7	3325.73	1662.87	0	0	0	0	0	1662.87	0	1662.87	0	0
9.82	72239.3	80218.5	88937.5	120874	82542.8	89167.1	80411.2	95824.6	93905.2	139491	104279	86876	161844	36109.9	5020.36	1444.4	0	0	1444.4	0	2888.79	0	7221.98	1444.4	2888.79	1444.4	1444.4
 10.2	93621.4	79884.2	99361.5	87596.9	90484	71145.2	84175.3	87908.1	87293.8	89237.4	78031.2	79113.3	122856	26392.4	5062.07	1265.52	2531.03	2531.03	0	1265.52	1265.52	0	0	0	0	1265.52	0
 10.6	75067.1	64882.9	73239	74577.2	68238.5	65119.5	64882.9	72512.6	72281.7	73792.7	73066.2	65436.5	105995	16856.5	7791.05	1113.01	1113.01	0	1113.01	1113.01	0	2226.02	1113.01	0	1113.01	0	1113.01
 10.9	57242.5	60330.1	65861.2	64124.7	59347.6	47199.6	62024.6	58942.1	50723.9	58224.9	69801.1	47069.5	73590.6	23714	3929.81	1964.9	982.452	0	982.452	0	0	0	982.452	982.452	1964.9	1964.9	1964.9
 11.3	67643	61621.9	107804	58250	50306.4	45158.3	63188.3	53705.5	46391.6	45818.3	57590	41123.3	67976.1	12101.7	1745.98	0	0	0	0	1745.98	872.989	663.1	0	0	872.989	872.989	0
 11.8	47500.3	56168.6	52038.1	51413.7	50685.8	47382.5	45842.9	48958.9	43979.9	54878.9	46335.3	52648.2	45743.6	18695.9	4673.97	778.995	1557.99	1557.99	0	0	0	187.29	0	0	778.995	0	778.995
 12.2	46821.2	50748.1	48866.8	36875.5	35434.9	43854.5	45012.3	51261.3	39204	49333.8	41756.3	41736.4	42427.3	15339.6	1394.51	697.254	1394.51	0	0	0	1394.51	697.254	697.254	697.254	0	697.254	1394.51
 12.6	38756.6	40927.5	49169.6	37788.7	43074.6	42739.7	40563.6	34362.3	39624.6	33294.5	34937.5	38081.5	33993.3	8788.52	627.752	627.752	627.752	0	0	627.752	627.752	0	627.752	1255.5	1883.26	2511.01	0
 13.1	30483.2	39246.6	31082.8	45551.9	37971.5	35272.4	42513.4	27584.3	36407.9	37590.9	28199.5	32306.9	24146.1	12490.1	2838.67	0	567.733	0	567.733	567.733	0	1135.47	567.733	0	1135.47	1135.47	0
 13.6	36813.1	38427.9	39032	32366.2	39664	30543	34544.5	29515.3	35503.7	23013.1	29692.9	28146.5	28305.3	10612.8	1027.65	1027.65	1027.65	0	513.827	513.827	513.827	513.827	1541.48	1027.65	0	513.827	0
 14.1	36127.6	30317.9	34178.5	32502	32303.6	26786.2	28183	29287.5	26568.2	27935.4	24384.1	33086.4	27821.1	6300.24	1483.46	465.59	0	0	0	465.59	465.59	931.18	0	465.59	0	0	931.18
 14.6	25204.5	28651	24393.5	27464.6	28277.3	27351.9	27055.3	23044.8	26553.2	26837.5	24436.7	24013.4	29516.3	9233.69	1614.37	846.592	0	296.589	0	0	423.296	0	423.296	423.296	296.589	846.592	423.296
 15.1	27057.1	25929.8	28721.2	22604	21982.5	26164.3	27209.7	24926.6	22101.2	23762.6	26664.4	27520.5	27596.8	7354.77	774.187	0	0	502.964	387.093	0	0	0	0	463.403	115.871	387.093	76.3094
 15.7	22756.5	26030.6	27786.9	24038.1	28242	24980.1	22971.8	21070.4	20793.7	19392.9	21224.3	19603.1	26997.2	3198.91	1066.3	0	355.434	355.434	0	0	0	355.434	0	285.366	0	710.869	525.237
 16.3	23624.9	22033.3	17994.6	19003	23246.3	18419.8	21292.2	20425.5	18455.3	21927	19196.4	21512.9	25720.8	6213.51	2289.19	654.054	327.027	0	327.027	327.027	0	0	0	327.027	327.027	981.081	433.355
 16.8	24684.4	21069.2	21370.7	17919.7	23733.5	19036.4	21839	16325.7	17531.6	23481.1	20854.3	16799.3	17787.6	4823.77	1205.94	0	301.485	0	301.485	0	301.485	0	602.971	602.971	0	602.971	0
 17.5	18082.3	19147.9	17763.9	20747.8	17883.5	14460.7	19081.5	15808.5	20263.3	13581.1	18234.7	16213.9	19502.4	6127.86	1115.41	1951.96	0	0	557.703	836.554	0	278.851	0	0	278.851	557.703	278.851
 18.1	17671.7	18296.8	16159.4	20296.7	18705.2	17151.8	16217.1	17773.7	15811.8	16539.4	15611.1	18542.5	19333.5	4140.42	1033.52	615.548	258.379	258.379	258.379	258.379	516.758	0	0	0	0	258.379	0
 18.8	12816.2	18432.3	17166.1	17882.6	15697.7	14316	14409.1	13204.6	14254.4	9786.27	14016.8	14885.5	20353.3	3121.69	480.26	388.447	240.13	480.26	0	0	0	240.13	0	720.39	720.39	240.13	480.26
 19.5	13713.3	13609.4	13992	14397.2	14183.1	15783.9	16505.9	12686.6	14954.2	13019.9	14383.9	12372.1	16492.6	4046.36	894.136	0	246.285	223.534	0	0	0	223.534	447.068	0	223.534	223.534	0
 20.2	16412.3	13430.8	14695.9	14056.1	14426.8	13925.1	11007.3	13706.5	11883.4	11071.7	10993.4	13077.6	18454	2776.7	1042.08	0	187.204	0	416.834	208.417	0	625.251	0	0	0	416.834	0
 20.9	12133.2	15025.6	14411.1	11450.3	10915.3	9835.94	9922.35	12457.8	12558.6	11715.7	11723.9	12142.3	13060.9	2823.91	772.757	0	0	194.626	191.696	194.626	138.957	0	389.252	191.688	389.252	194.626	0
