TSI CPC DATA VERSION 3
1491645803,2017/4/8,10:03:23
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/4/8,10:03:15,852,27708,14.96,,998,0.000,2746,341,408
2017/4/8,10:03:30,1.15e3,37436,14.95,,998,0.000,2672,396,0
2017/4/8,10:03:45,1.14e3,37058,14.95,,998,0.000,2603,451,0
2017/4/8,10:04:00,1.14e3,37117,14.95,,998,0.000,2569,491,0
2017/4/8,10:04:15,1.14e3,37230,14.96,,998,0.000,2540,510,0
2017/4/8,10:04:30,1.13e3,36758,14.96,,998,0.000,2502,537,0
2017/4/8,10:04:45,1.14e3,37136,14.96,,998,0.000,2474,562,0
2017/4/8,10:05:00,1.12e3,36654,14.96,,998,0.000,2572,478,0
2017/4/8,10:05:15,1.12e3,36477,14.96,,998,0.000,2530,512,0
2017/4/8,10:05:30,1.10e3,35987,14.96,,998,0.000,2551,496,0
2017/4/8,10:05:45,1.13e3,36852,14.96,,998,0.000,2545,484,0
2017/4/8,10:06:00,1.10e3,36046,14.96,,998,0.000,2530,507,0
2017/4/8,10:06:15,1.10e3,35926,14.96,,998,0.000,2558,480,0
2017/4/8,10:06:30,1.11e3,36152,14.96,,998,0.000,2520,501,0
2017/4/8,10:06:45,1.09e3,35501,14.96,,998,0.000,2537,517,0
2017/4/8,10:07:00,1.09e3,35657,14.96,,998,0.000,2573,474,0
2017/4/8,10:07:15,1.10e3,35840,14.96,,998,0.000,2559,489,0
2017/4/8,10:07:30,1.09e3,35472,14.96,,998,0.000,2542,502,0
2017/4/8,10:07:45,1.09e3,35476,14.96,,998,0.000,2547,513,0
2017/4/8,10:08:00,1.08e3,35393,14.96,,998,0.000,2562,482,0
2017/4/8,10:08:15,1.07e3,34801,14.96,,998,0.000,2523,521,0
2017/4/8,10:08:30,1.06e3,34766,14.96,,998,0.000,2583,487,0
2017/4/8,10:08:45,1.05e3,34192,14.96,,998,0.000,2512,532,0
2017/4/8,10:09:00,1.05e3,34209,14.96,,998,0.000,2539,493,0
2017/4/8,10:09:15,1.06e3,34744,14.96,,998,0.000,2563,485,0
2017/4/8,10:09:30,1.22e3,39958,14.95,,998,0.000,2565,482,0
2017/4/8,10:09:45,2.23e3,71644,14.92,,998,0.000,2579,446,0
2017/4/8,10:10:00,5.58e3,178912,14.8,,998,0.000,2510,467,0
2017/4/8,10:10:15,7.07e3,226096,14.75,,998,0.000,2503,452,0
2017/4/8,10:10:30,8.14e3,259794,14.71,,998,0.000,2468,468,0
2017/4/8,10:10:45,9.26e3,294959,14.67,,998,0.000,2495,441,0
2017/4/8,10:11:00,9.20e3,293168,14.67,,998,0.000,2474,443,0
2017/4/8,10:11:15,1.00e4,318219,14.65,,998,0.000,2481,429,0
2017/4/8,10:11:30,1.09e4,347396,14.62,,998,0.000,2432,444,0
2017/4/8,10:11:45,1.05e4,334833,14.63,,998,0.000,2459,449,0
2017/4/8,10:12:00,8.02e3,256348,14.71,,998,0.000,2481,437,0
2017/4/8,10:12:15,9.15e3,291377,14.68,,998,0.000,2485,444,0
2017/4/8,10:12:30,1.06e4,336551,14.63,,998,0.000,2468,433,0
2017/4/8,10:12:45,1.23e4,390632,14.57,,998,0.000,2457,422,0
2017/4/8,10:13:00,1.62e4,507502,14.45,,998,0.000,2387,441,0
2017/4/8,10:13:15,1.59e4,499849,14.46,,998,0.000,2365,457,0
2017/4/8,10:13:30,2.51e4,773314,14.17,,998,0.000,2268,461,0
2017/4/8,10:13:45,2.84e4,867147,14.07,,998,0.000,2219,444,0
2017/4/8,10:14:00,2.90e4,885308,14.06,,998,0.000,2230,440,0
2017/4/8,10:14:15,2.98e4,907592,14.04,,998,0.000,2226,441,0
2017/4/8,10:14:30,3.09e4,940259,14.0,,998,0.000,2221,443,0
2017/4/8,10:14:45,3.64e4,1092798,13.85,,998,0.000,2155,437,0
2017/4/8,10:15:00,3.79e4,1135314,13.8,,998,0.000,2154,426,0
2017/4/8,10:15:15,4.10e4,1220678,13.72,,998,0.000,2094,452,0
2017/4/8,10:15:30,4.40e4,1303087,13.63,,998,0.000,2095,423,0
2017/4/8,10:15:45,4.73e4,1388762,13.54,,998,0.000,2054,468,0
2017/4/8,10:16:00,5.54e4,1600907,13.32,,998,0.000,1956,452,0
2017/4/8,10:16:15,5.79e4,1664030,13.26,,998,0.000,1987,422,0
2017/4/8,10:16:30,6.38e4,1811747,13.1,,998,0.000,1931,460,0
2017/4/8,10:16:45,6.96e4,1954567,12.95,,998,0.000,1926,435,0
2017/4/8,10:17:00,7.25e4,2023533,12.87,,998,0.000,1890,472,0
2017/4/8,10:17:15,6.90e4,1941000,12.96,,998,0.000,1922,458,0
2017/4/8,10:17:30,7.19e4,2008945,12.89,,998,0.000,1925,457,0
2017/4/8,10:17:45,7.95e4,2188200,12.69,,998,0.000,1879,465,0
2017/4/8,10:18:00,8.31e4,2270590,12.6,,998,0.000,1916,435,0
2017/4/8,10:18:15,1.00e5,2649664,12.17,,998,0.000,1831,433,0
2017/4/8,10:18:30,1.01e5,2662180,12.15,,998,0.000,1839,488,0
2017/4/8,10:18:45,1.20e5,3042831,11.69,,998,0.000,1761,476,0
2017/4/8,10:19:00,1.27e5,3173410,11.53,,998,0.000,1759,484,0
2017/4/8,10:19:15,1.25e5,3143839,11.57,,998,0.000,1754,478,0
2017/4/8,10:19:30,1.56e5,3677299,10.87,,998,0.000,1676,500,0
2017/4/8,10:19:45,1.53e5,3627529,10.95,,998,0.000,1729,487,0
2017/4/8,10:20:00,1.92e5,4219056,10.12,,998,0.000,1667,524,0
2017/4/8,10:20:15,1.83e5,4084112,10.32,,998,0.000,1661,500,0
2017/4/8,10:20:30,1.74e5,3958949,10.49,,998,0.000,1687,482,0
2017/4/8,10:20:45,1.95e5,4248315,10.07,,998,0.000,1661,516,0
2017/4/8,10:21:00,2.06e5,4386157,9.871,,998,0.000,1613,516,0
2017/4/8,10:21:15,2.26e5,4641975,9.466,,998,0.000,1583,518,0
2017/4/8,10:21:30,2.14e5,4489612,9.699,,998,0.000,1628,535,0
2017/4/8,10:21:45,2.28e5,4658083,9.427,,998,0.000,1583,529,0
2017/4/8,10:22:00,2.79e5,5137045,8.529,,998,0.000,1540,546,0
2017/4/8,10:22:15,2.99e5,5297202,8.197,,998,0.000,1518,541,0
2017/4/8,10:22:30,2.67e5,5036405,8.733,,998,0.000,1538,557,0
2017/4/8,10:22:45,2.65e5,5022632,8.755,,998,0.000,1549,538,0
2017/4/8,10:23:00,2.96e5,5253183,8.262,,998,0.000,1529,550,0
2017/4/8,10:23:15,3.28e5,5496535,7.737,,998,0.000,1494,559,0
2017/4/8,10:23:30,3.04e5,5348828,8.104,,998,0.000,1523,574,0
2017/4/8,10:23:45,3.16e5,5376826,7.955,,998,0.000,1492,570,0
2017/4/8,10:24:00,3.48e5,5601265,7.433,,998,0.000,1462,571,0
2017/4/8,10:24:15,3.81e5,5756779,6.974,,998,0.000,1489,571,0
2017/4/8,10:24:30,3.94e5,5803211,6.805,,998,0.000,1444,573,0
2017/4/8,10:24:45,3.95e5,5803014,6.782,,998,0.000,1472,594,0
2017/4/8,10:25:00,3.61e5,5654044,7.266,,998,0.000,1456,573,0
2017/4/8,10:25:15,3.83e5,5767227,6.956,,998,0.000,1436,572,0
2017/4/8,10:25:30,4.00e5,5822709,6.715,,998,0.000,1425,565,0
2017/4/8,10:25:45,4.04e5,5827078,6.674,,998,0.000,1459,589,0
2017/4/8,10:26:00,4.20e5,5875008,6.465,,998,0.000,1435,548,0
2017/4/8,10:26:15,4.14e5,5872841,6.54,,998,0.000,1439,607,0
2017/4/8,10:26:30,4.27e5,5898894,6.376,,998,0.000,1411,561,0
2017/4/8,10:26:45,4.10e5,5850690,6.591,,998,0.000,1457,589,0
2017/4/8,10:27:00,4.09e5,5851745,6.607,,998,0.000,1430,582,0
2017/4/8,10:27:15,4.22e5,5873708,6.457,,998,0.000,1452,593,0
2017/4/8,10:27:30,4.43e5,5938091,6.182,,998,0.000,1414,572,0
2017/4/8,10:27:45,4.71e5,5986781,5.87,,998,0.000,1409,583,0
2017/4/8,10:28:00,4.61e5,5966539,5.977,,998,0.000,1383,596,0
2017/4/8,10:28:15,4.73e5,5996593,5.846,,998,0.000,1409,590,0
2017/4/8,10:28:30,4.50e5,5956006,6.107,,998,0.000,1451,587,0
2017/4/8,10:28:45,4.63e5,5972342,5.955,,998,0.000,1389,581,0
2017/4/8,10:29:00,4.76e5,5988689,5.828,,998,0.000,1411,609,0
2017/4/8,10:29:15,4.80e5,5999849,5.776,,998,0.000,1383,573,0
2017/4/8,10:29:30,4.87e5,6000344,5.698,,998,0.000,1390,609,0
2017/4/8,10:29:45,4.71e5,5988783,5.867,,998,0.000,1445,593,0
2017/4/8,10:30:00,4.82e5,6003799,5.757,,998,0.000,1457,581,0
2017/4/8,10:30:15,4.85e5,6013545,5.726,,998,0.000,1424,628,0
2017/4/8,10:30:30,4.82e5,6006317,5.743,,998,0.000,1407,570,0
2017/4/8,10:30:45,4.62e5,5978913,5.97,,998,0.000,1429,610,0
2017/4/8,10:31:00,4.86e5,6012922,5.707,,998,0.000,1423,582,0
2017/4/8,10:31:15,4.88e5,6012790,5.685,,998,0.000,1409,584,0
2017/4/8,10:31:30,4.73e5,6005664,5.86,,998,0.000,1436,618,0
2017/4/8,10:31:45,4.53e5,5970237,6.092,,998,0.000,1428,583,0
2017/4/8,10:32:00,4.72e5,6002869,5.872,,998,0.000,1419,568,0
2017/4/8,10:32:15,4.89e5,6034334,5.689,,998,0.000,1423,573,0
2017/4/8,10:32:30,4.70e5,6006011,5.903,,998,0.000,1419,614,0
2017/4/8,10:32:45,4.80e5,6024556,5.788,,998,0.000,1402,581,0
2017/4/8,10:33:00,4.71e5,6011052,5.892,,998,0.000,1391,601,0
2017/4/8,10:33:15,4.76e5,6022750,5.84,,998,0.000,1419,601,0
2017/4/8,10:33:30,4.61e5,5998962,6.016,,998,0.000,1440,581,0
2017/4/8,10:33:45,4.49e5,5983546,6.144,,998,0.000,1472,596,0
2017/4/8,10:34:00,4.74e5,6010474,5.854,,998,0.000,1378,605,0
2017/4/8,10:34:15,4.60e5,6001322,6.014,,998,0.000,1398,588,0
2017/4/8,10:34:30,4.48e5,5988070,6.165,,998,0.000,1391,585,0
2017/4/8,10:34:45,4.44e5,5980072,6.214,,998,0.000,1453,610,0
2017/4/8,10:35:00,4.54e5,5993847,6.105,,998,0.000,1422,584,0
2017/4/8,10:35:15,4.77e5,6032455,5.832,,998,0.000,1361,577,0
2017/4/8,10:35:30,4.75e5,6018488,5.852,,998,0.000,1407,576,0
2017/4/8,10:35:45,4.53e5,5998776,6.129,,998,0.000,1402,616,0
2017/4/8,10:36:00,4.48e5,5989603,6.171,,998,0.000,1418,606,0
2017/4/8,10:36:15,4.38e5,5945986,6.339,,998,0.000,1418,596,0
2017/4/8,10:36:30,4.37e5,5971971,6.306,,998,0.000,1435,605,0
2017/4/8,10:36:45,4.46e5,5984016,6.182,,998,0.000,1406,592,0
2017/4/8,10:37:00,4.45e5,5985814,6.208,,998,0.000,1413,582,0
2017/4/8,10:37:15,4.32e5,5957511,6.364,,998,0.000,1450,605,0
2017/4/8,10:37:30,4.44e5,5983902,6.221,,998,0.000,1420,576,0
2017/4/8,10:37:45,4.28e5,5946528,6.414,,998,0.000,1462,587,0
2017/4/8,10:38:00,4.34e5,5961842,6.338,,998,0.000,1395,572,0
2017/4/8,10:38:15,4.23e5,5938162,6.467,,998,0.000,1436,588,0
2017/4/8,10:38:30,4.11e5,5895379,6.608,,998,0.000,1417,616,0
2017/4/8,10:38:45,4.31e5,5963852,6.381,,998,0.000,1433,587,0
2017/4/8,10:39:00,4.24e5,5944920,6.462,,998,0.000,1466,566,0
2017/4/8,10:39:15,4.13e5,5914086,6.611,,998,0.000,1469,606,0
2017/4/8,10:39:30,4.07e5,5895187,6.681,,998,0.000,1475,581,0
2017/4/8,10:39:45,3.98e5,5863687,6.802,,998,0.000,1464,587,0
2017/4/8,10:40:00,3.98e5,5872462,6.807,,998,0.000,1436,590,0
2017/4/8,10:40:15,3.98e5,5880423,6.81,,998,0.000,1490,581,0
2017/4/8,10:40:30,3.87e5,5833218,6.952,,998,0.000,1437,595,0
2017/4/8,10:40:45,3.91e5,5854485,6.912,,998,0.000,1480,585,0
2017/4/8,10:41:00,3.82e5,5816772,7.015,,998,0.000,1464,566,0
2017/4/8,10:41:15,3.89e5,5852522,6.93,,998,0.000,1469,577,0
2017/4/8,10:41:30,3.80e5,5811375,7.054,,998,0.000,1472,588,0
2017/4/8,10:41:45,3.82e5,5820922,7.018,,998,0.000,1423,579,0
2017/4/8,10:42:00,3.81e5,5814302,7.044,,998,0.000,1433,589,0
2017/4/8,10:42:15,3.70e5,5771866,7.201,,998,0.000,1488,581,0
2017/4/8,10:42:30,3.64e5,5746354,7.279,,998,0.000,1510,593,0
2017/4/8,10:42:45,3.67e5,5758590,7.236,,998,0.000,1481,609,0
2017/4/8,10:43:00,3.61e5,5734417,7.328,,998,0.000,1463,570,0
2017/4/8,10:43:15,3.62e5,5744218,7.308,,998,0.000,1468,582,0
2017/4/8,10:43:30,3.58e5,5720648,7.361,,998,0.000,1505,557,0
2017/4/8,10:43:45,3.48e5,5669948,7.517,,998,0.000,1496,578,0
2017/4/8,10:44:00,3.46e5,5660875,7.547,,998,0.000,1497,568,0
2017/4/8,10:44:15,3.43e5,5645429,7.593,,998,0.000,1475,554,0
2017/4/8,10:44:30,3.33e5,5584155,7.734,,998,0.000,1464,576,0
2017/4/8,10:44:45,3.30e5,5569496,7.772,,998,0.000,1501,573,0
2017/4/8,10:45:00,3.35e5,5602081,7.716,,998,0.000,1507,561,0
2017/4/8,10:45:15,3.25e5,5545368,7.866,,998,0.000,1477,555,0
2017/4/8,10:45:30,3.24e5,5540234,7.874,,998,0.000,1490,574,0
2017/4/8,10:45:45,3.16e5,5489632,7.997,,998,0.000,1497,556,0
2017/4/8,10:46:00,3.16e5,5490198,8.005,,998,0.000,1512,570,0
2017/4/8,10:46:15,3.11e5,5455684,8.082,,998,0.000,1541,585,0
2017/4/8,10:46:30,3.09e5,5439057,8.112,,998,0.000,1479,579,0
2017/4/8,10:46:45,3.08e5,5425544,8.124,,998,0.000,1507,579,0
2017/4/8,10:47:00,3.00e5,5370283,8.245,,998,0.000,1523,599,0
2017/4/8,10:47:15,2.96e5,5344149,8.313,,998,0.000,1546,578,0
2017/4/8,10:47:30,3.01e5,5379915,8.241,,998,0.000,1531,590,0
2017/4/8,10:47:45,2.97e5,5353239,8.312,,998,0.000,1527,555,0
2017/4/8,10:48:00,2.96e5,5350106,8.317,,998,0.000,1525,551,0
2017/4/8,10:48:15,2.96e5,5351598,8.337,,998,0.000,1536,570,0
2017/4/8,10:48:30,2.91e5,5309622,8.411,,998,0.000,1507,574,0
2017/4/8,10:48:45,2.86e5,5261741,8.485,,998,0.000,1519,568,0
2017/4/8,10:49:00,2.86e5,5273924,8.484,,998,0.000,1551,552,0
2017/4/8,10:49:15,2.89e5,5295831,8.45,,998,0.000,1533,561,0
2017/4/8,10:49:30,2.80e5,5221737,8.599,,998,0.000,1533,561,0
2017/4/8,10:49:45,2.79e5,5214377,8.601,,998,0.000,1522,577,0
2017/4/8,10:50:00,2.81e5,5223886,8.576,,998,0.000,1550,560,0
2017/4/8,10:50:15,2.82e5,5239966,8.569,,998,0.000,1553,574,0
2017/4/8,10:50:30,2.77e5,5200790,8.638,,998,0.000,1540,572,0
2017/4/8,10:50:45,2.75e5,5174595,8.683,,998,0.000,1564,561,0
2017/4/8,10:51:00,2.70e5,5134302,8.758,,998,0.000,1596,579,0
2017/4/8,10:51:15,2.68e5,5112393,8.805,,998,0.000,1551,582,0
2017/4/8,10:51:30,2.71e5,5139895,8.745,,998,0.000,1560,559,0
2017/4/8,10:51:45,2.65e5,5079403,8.891,,998,0.000,1527,567,0
2017/4/8,10:52:00,2.66e5,5101864,8.841,,998,0.000,1589,560,0
2017/4/8,10:52:15,2.61e5,5061595,8.919,,998,0.000,1555,549,0
2017/4/8,10:52:30,2.63e5,5076167,8.889,,998,0.000,1545,590,0
2017/4/8,10:52:45,2.60e5,5044004,8.954,,998,0.000,1528,579,0
2017/4/8,10:53:00,2.58e5,5028961,8.978,,998,0.000,1558,576,0
2017/4/8,10:53:15,2.60e5,5044785,8.946,,998,0.000,1563,573,0
2017/4/8,10:53:30,2.52e5,4975699,9.084,,998,0.000,1577,584,0
2017/4/8,10:53:45,2.51e5,4965313,9.103,,998,0.000,1584,565,0
2017/4/8,10:54:00,2.46e5,4910005,9.189,,998,0.000,1596,567,0
