Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\High2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	10:04:00	10:09:04	10:14:04	10:19:04	10:24:04	10:29:04	10:34:04	10:39:04	10:44:04	10:49:04	10:54:04	10:59:04	11:04:04	11:09:04	11:14:04	11:19:04	11:24:04	11:29:04	11:34:04	11:39:04	11:44:04	11:49:04	11:54:04	11:59:04	12:04:04
Diameter Midpoint
7.10	18542.5	15881.1	30226.9	22223.8	18489.4	21992.6	23349.9	24779	8951.01	24832.1	19562.4	9591.52	462.394	2608.32	0	0	0	0	2608.32	1304.16	2839.52	0	0	0	0
7.37	15195.4	19847.2	17853.6	16093.7	14746.5	15590.3	13165.7	8908.72	13363.1	22308	15590.3	17422.6	4059.53	0	1113.59	0	0	0	0	0	916.176	0	1113.59	0	0
7.64	31577.4	8835.7	12462.5	13751.2	13951.9	20318.4	11706.4	10525.8	21275.3	15109.5	14353.4	11482.7	2870.67	0	1913.78	956.891	0	0	956.891	0	0	0	956.891	0	956.891
7.91	71423.2	12434.1	14712.3	14905.9	19046.4	15746.5	10571.8	12627.7	14712.3	19046.4	9521.32	10765.4	828.106	0	0	828.106	828.106	0	0	0	0	0	0	2484.32	828.106
8.20	10641.9	4870.47	14612.3	10283.8	8840.91	10641.9	13169.5	13527.6	10821.4	17314.3	14253.3	8657.14	1442.86	721.428	0	0	0	0	0	0	0	0	0	0	0
8.51	11395.3	8863.01	13925.2	12026	12659.1	10921.1	9967.89	12028.4	7755.77	8388.85	9970.45	5697.65	3798.43	791.981	1266.14	0	0	0	0	0	0	633.072	0	1899.22	0
8.82	7808.7	7250.94	11147.7	7243.3	9899.76	12130.8	7808.7	10172.1	9341.99	9341.99	6690.92	12270.8	1673.29	1533.29	0	557.765	0	0	557.765	557.765	0	0	557.765	0	0
