TSI CPC DATA VERSION 3
1491653685,2017/4/8,12:14:45
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/4/8,12:14:45,1.34e3,43602,14.95,,999,0.000,2581,447,0
2017/4/8,12:15:00,1.31e3,42862,14.95,,999,0.000,2604,452,0
2017/4/8,12:15:15,999,32498,14.96,,999,0.000,2567,474,0
2017/4/8,12:15:30,922,29974,14.97,,999,0.000,2559,478,0
2017/4/8,12:15:45,1.07e3,34839,14.96,,999,0.000,2554,487,0
2017/4/8,12:16:00,1.15e3,37601,14.96,,999,0.000,2563,466,0
2017/4/8,12:16:15,1.10e3,36065,14.96,,999,0.000,2562,482,0
2017/4/8,12:16:30,1.10e3,35834,14.96,,999,0.000,2558,483,0
2017/4/8,12:16:45,1.02e3,33330,14.96,,999,0.000,2561,480,0
2017/4/8,12:17:00,1.02e3,33229,14.96,,999,0.000,2546,500,0
2017/4/8,12:17:15,977,31765,14.96,,999,0.000,2576,458,0
2017/4/8,12:17:30,929,30217,14.97,,999,0.000,2553,499,0
2017/4/8,12:17:45,922,29971,14.97,,999,0.000,2579,461,0
2017/4/8,12:18:00,927,30146,14.97,,999,0.000,2591,416,0
2017/4/8,12:18:15,918,29839,14.97,,999,0.000,2611,433,0
2017/4/8,12:18:30,909,29560,14.97,,999,0.000,2613,426,0
2017/4/8,12:18:45,909,29553,14.97,,999,0.000,2586,456,0
2017/4/8,12:19:00,905,29442,14.97,,999,0.000,2598,456,0
2017/4/8,12:19:15,892,28997,14.97,,999,0.000,2581,426,0
2017/4/8,12:19:30,895,29099,14.97,,999,0.000,2601,443,0
2017/4/8,12:19:45,889,28918,14.97,,999,0.000,2573,447,0
2017/4/8,12:20:00,880,28627,14.97,,999,0.000,2564,490,0
2017/4/8,12:20:15,879,28577,14.97,,999,0.000,2562,502,0
2017/4/8,12:20:30,946,30772,14.97,,999,0.000,2589,451,0
2017/4/8,12:20:45,1.41e3,45860,14.95,,999,0.000,2602,419,0
2017/4/8,12:21:00,6.00e3,191559,14.8,,999,0.000,2558,429,0
2017/4/8,12:21:15,1.31e4,413823,14.59,,999,0.000,2463,455,0
2017/4/8,12:21:30,1.11e4,353760,14.64,,999,0.000,2506,429,0
2017/4/8,12:21:45,1.47e4,464214,14.54,,999,0.000,2467,444,0
2017/4/8,12:22:00,1.59e4,502350,14.5,,999,0.000,2454,447,0
2017/4/8,12:22:15,3.93e4,1160992,13.87,,999,0.000,2204,500,0
2017/4/8,12:22:30,8.37e4,2210175,12.8,,999,0.000,2003,511,0
2017/4/8,12:22:45,1.19e5,3040816,11.95,,999,0.000,1845,488,0
2017/4/8,12:23:00,1.62e5,3840465,11.02,,999,0.000,1732,510,0
2017/4/8,12:23:15,1.27e5,3214476,11.76,,999,0.000,1824,463,0
2017/4/8,12:23:30,2.04e5,4444479,10.21,,999,0.000,1683,522,0
2017/4/8,12:23:45,1.61e5,3824957,11.04,,999,0.000,1724,494,0
2017/4/8,12:24:00,1.53e5,3691661,11.21,,999,0.000,1782,471,0
2017/4/8,12:24:15,2.08e5,4494416,10.14,,999,0.000,1677,496,0
2017/4/8,12:24:30,2.14e5,4627121,10.0,,999,0.000,1669,512,0
2017/4/8,12:24:45,2.40e5,4957243,9.528,,999,0.000,1606,517,0
2017/4/8,12:25:00,2.52e5,5068426,9.333,,999,0.000,1578,531,0
2017/4/8,12:25:15,2.84e5,5395177,8.8,,999,0.000,1524,529,0
2017/4/8,12:25:30,2.87e5,5435235,8.726,,999,0.000,1507,513,0
2017/4/8,12:25:45,2.87e5,5430982,8.726,,999,0.000,1547,559,0
2017/4/8,12:26:00,2.75e5,5317025,8.933,,999,0.000,1578,560,0
2017/4/8,12:26:15,3.16e5,5647564,8.287,,999,0.000,1520,540,0
2017/4/8,12:26:30,3.71e5,5955976,7.523,,999,0.000,1478,549,0
2017/4/8,12:26:45,3.98e5,6125434,7.111,,999,0.000,1442,533,0
2017/4/8,12:27:00,3.76e5,6034691,7.414,,999,0.000,1474,555,0
2017/4/8,12:27:15,3.93e5,6076420,7.229,,999,0.000,1496,577,0
2017/4/8,12:27:30,3.91e5,6094789,7.218,,999,0.000,1430,534,0
2017/4/8,12:27:45,3.80e5,6055032,7.362,,999,0.000,1436,561,0
2017/4/8,12:28:00,3.96e5,6094925,7.195,,999,0.000,1458,596,0
2017/4/8,12:28:15,4.16e5,6202987,6.898,,999,0.000,1450,563,0
2017/4/8,12:28:30,4.52e5,6304754,6.447,,999,0.000,1436,581,0
2017/4/8,12:28:45,4.51e5,6307501,6.473,,999,0.000,1416,571,0
2017/4/8,12:29:00,4.14e5,6194752,6.916,,999,0.000,1448,571,0
2017/4/8,12:29:15,4.70e5,6362635,6.25,,999,0.000,1409,559,0
2017/4/8,12:29:30,4.91e5,6392765,6.006,,999,0.000,1437,599,0
2017/4/8,12:29:45,4.58e5,6328836,6.385,,999,0.000,1431,573,0
2017/4/8,12:30:00,4.48e5,6305117,6.508,,999,0.000,1447,585,0
2017/4/8,12:30:15,4.57e5,6332805,6.402,,999,0.000,1391,556,0
2017/4/8,12:30:30,4.99e5,6405358,5.927,,999,0.000,1391,603,0
2017/4/8,12:30:45,4.77e5,6374563,6.166,,999,0.000,1385,576,0
2017/4/8,12:31:00,4.58e5,6325542,6.376,,999,0.000,1394,555,0
2017/4/8,12:31:15,4.56e5,6329991,6.405,,999,0.000,1437,582,0
2017/4/8,12:31:30,4.46e5,6305456,6.53,,999,0.000,1445,598,0
2017/4/8,12:31:45,4.53e5,6322913,6.438,,999,0.000,1420,557,0
2017/4/8,12:32:00,4.54e5,6320853,6.42,,999,0.000,1428,574,0
2017/4/8,12:32:15,4.44e5,6297624,6.549,,999,0.000,1440,576,0
2017/4/8,12:32:30,4.65e5,6346233,6.296,,999,0.000,1445,585,0
2017/4/8,12:32:45,4.82e5,6387900,6.119,,999,0.000,1407,571,0
2017/4/8,12:33:00,4.61e5,6332530,6.343,,999,0.000,1411,582,0
2017/4/8,12:33:15,4.67e5,6352787,6.283,,999,0.000,1441,587,0
2017/4/8,12:33:30,4.51e5,6313744,6.455,,999,0.000,1405,568,0
2017/4/8,12:33:45,4.33e5,6262280,6.674,,999,0.000,1424,585,0
2017/4/8,12:34:00,4.36e5,6273132,6.629,,999,0.000,1419,584,0
2017/4/8,12:34:15,4.34e5,6264747,6.653,,999,0.000,1397,562,0
2017/4/8,12:34:30,4.46e5,6291037,6.505,,999,0.000,1405,549,0
2017/4/8,12:34:45,4.50e5,6305725,6.462,,999,0.000,1455,565,0
2017/4/8,12:35:00,4.33e5,6257075,6.657,,999,0.000,1444,579,0
2017/4/8,12:35:15,4.20e5,6222881,6.831,,999,0.000,1425,548,0
2017/4/8,12:35:30,4.10e5,6185507,6.96,,999,0.000,1467,571,0
2017/4/8,12:35:45,4.11e5,6178798,6.935,,999,0.000,1420,576,0
2017/4/8,12:36:00,4.20e5,6216865,6.827,,999,0.000,1431,562,0
2017/4/8,12:36:15,4.14e5,6199248,6.906,,999,0.000,1466,562,0
2017/4/8,12:36:30,4.08e5,6175235,6.982,,999,0.000,1446,577,0
2017/4/8,12:36:45,3.97e5,6136178,7.12,,999,0.000,1407,541,0
2017/4/8,12:37:00,3.93e5,6117455,7.181,,999,0.000,1474,604,0
2017/4/8,12:37:15,3.86e5,6088588,7.276,,999,0.000,1477,561,0
2017/4/8,12:37:30,3.88e5,6095356,7.242,,999,0.000,1464,574,0
2017/4/8,12:37:45,3.87e5,6083493,7.255,,999,0.000,1470,572,0
2017/4/8,12:38:00,3.81e5,6054846,7.322,,999,0.000,1489,540,0
2017/4/8,12:38:15,3.84e5,6076279,7.29,,999,0.000,1466,578,0
2017/4/8,12:38:30,3.69e5,6001803,7.494,,999,0.000,1473,590,0
2017/4/8,12:38:45,3.60e5,5953526,7.615,,999,0.000,1470,554,0
2017/4/8,12:39:00,3.72e5,6017912,7.462,,999,0.000,1477,552,0
2017/4/8,12:39:15,3.62e5,5967023,7.595,,999,0.000,1491,573,0
2017/4/8,12:39:30,3.60e5,5953602,7.62,,999,0.000,1506,552,0
2017/4/8,12:39:45,3.53e5,5918594,7.718,,999,0.000,1489,574,0
2017/4/8,12:40:00,3.51e5,5900573,7.746,,999,0.000,1513,563,0
2017/4/8,12:40:15,3.47e5,5879548,7.81,,999,0.000,1536,565,0
2017/4/8,12:40:30,3.37e5,5812670,7.953,,999,0.000,1474,570,0
2017/4/8,12:40:45,3.31e5,5774805,8.031,,999,0.000,1483,537,0
2017/4/8,12:41:00,3.30e5,5758258,8.055,,999,0.000,1518,550,0
2017/4/8,12:41:15,3.30e5,5764865,8.046,,999,0.000,1533,582,0
2017/4/8,12:41:30,3.29e5,5758202,8.059,,999,0.000,1500,589,0
2017/4/8,12:41:45,3.26e5,5737117,8.113,,999,0.000,1484,549,0
2017/4/8,12:42:00,3.25e5,5732016,8.117,,999,0.000,1511,527,0
2017/4/8,12:42:15,3.25e5,5739496,8.129,,999,0.000,1524,550,0
2017/4/8,12:42:30,3.19e5,5681554,8.217,,999,0.000,1573,552,0
2017/4/8,12:42:45,3.15e5,5654638,8.265,,999,0.000,1514,573,0
2017/4/8,12:43:00,3.12e5,5641224,8.328,,999,0.000,1530,574,0
2017/4/8,12:43:15,3.10e5,5628824,8.365,,999,0.000,1525,535,0
2017/4/8,12:43:30,3.03e5,5553454,8.494,,999,0.000,1486,561,0
2017/4/8,12:43:45,3.06e5,5594808,8.434,,999,0.000,1531,566,0
2017/4/8,12:44:00,3.03e5,5574204,8.475,,999,0.000,1523,561,0
2017/4/8,12:44:15,3.02e5,5562339,8.497,,999,0.000,1549,567,0
2017/4/8,12:44:30,3.02e5,5559022,8.483,,999,0.000,1571,545,0
2017/4/8,12:44:45,2.94e5,5500777,8.622,,999,0.000,1535,528,0
2017/4/8,12:45:00,2.89e5,5454925,8.702,,999,0.000,1549,560,0
2017/4/8,12:45:15,2.94e5,5497627,8.616,,999,0.000,1578,546,0
2017/4/8,12:45:30,2.88e5,5447771,8.704,,999,0.000,1562,551,0
2017/4/8,12:45:45,2.85e5,5417495,8.747,,999,0.000,1525,552,0
2017/4/8,12:46:00,2.85e5,5411886,8.752,,999,0.000,1541,540,0
2017/4/8,12:46:15,2.80e5,5366369,8.845,,999,0.000,1562,554,0
2017/4/8,12:46:30,2.76e5,5328260,8.908,,999,0.000,1567,566,0
2017/4/8,12:46:45,2.77e5,5342550,8.881,,999,0.000,1579,566,0
2017/4/8,12:47:00,2.68e5,5248686,9.036,,999,0.000,1574,552,0
2017/4/8,12:47:15,2.67e5,5251104,9.051,,999,0.000,1582,527,0
2017/4/8,12:47:30,2.66e5,5241263,9.067,,999,0.000,1553,538,0
2017/4/8,12:47:45,2.66e5,5233431,9.069,,999,0.000,1596,565,0
2017/4/8,12:48:00,2.60e5,5170732,9.173,,999,0.000,1562,560,0
2017/4/8,12:48:15,2.59e5,5170348,9.18,,999,0.000,1593,533,0
2017/4/8,12:48:30,2.60e5,5169343,9.169,,999,0.000,1573,544,0
2017/4/8,12:48:45,2.55e5,5119736,9.247,,999,0.000,1588,539,0
2017/4/8,12:49:00,2.53e5,5097680,9.292,,999,0.000,1594,578,0
2017/4/8,12:49:15,2.52e5,5095446,9.307,,999,0.000,1595,539,0
2017/4/8,12:49:30,2.49e5,5054979,9.357,,999,0.000,1602,538,0
2017/4/8,12:49:45,2.52e5,5089214,9.311,,999,0.000,1584,565,0
2017/4/8,12:50:00,2.44e5,5000442,9.455,,999,0.000,1585,568,0
2017/4/8,12:50:15,2.42e5,4987613,9.485,,999,0.000,1651,531,0
2017/4/8,12:50:30,2.39e5,4952093,9.535,,999,0.000,1639,561,0
2017/4/8,12:50:45,2.39e5,4950327,9.529,,999,0.000,1622,546,0
2017/4/8,12:51:00,2.39e5,4947668,9.543,,999,0.000,1614,538,0
2017/4/8,12:51:15,2.34e5,4887646,9.636,,999,0.000,1625,559,0
2017/4/8,12:51:30,2.33e5,4874433,9.653,,999,0.000,1643,546,0
2017/4/8,12:51:45,2.28e5,4814816,9.741,,999,0.000,1627,526,0
2017/4/8,12:52:00,2.26e5,4788921,9.774,,999,0.000,1661,554,0
2017/4/8,12:52:15,2.27e5,4801704,9.763,,999,0.000,1656,528,0
2017/4/8,12:52:30,2.25e5,4783709,9.793,,999,0.000,1647,537,0
2017/4/8,12:52:45,2.21e5,4731700,9.862,,999,0.000,1677,568,0
2017/4/8,12:53:00,2.20e5,4724175,9.875,,999,0.000,1671,535,0
2017/4/8,12:53:15,2.21e5,4730127,9.878,,999,0.000,1655,551,0
2017/4/8,12:53:30,2.15e5,4661630,9.965,,999,0.000,1658,535,0
2017/4/8,12:53:45,2.13e5,4636939,10.0,,999,0.000,1693,524,0
2017/4/8,12:54:00,2.15e5,4660753,9.971,,999,0.000,1629,568,0
2017/4/8,12:54:15,2.10e5,4593327,10.06,,999,0.000,1706,535,0
2017/4/8,12:54:30,2.10e5,4593442,10.06,,999,0.000,1655,531,0
2017/4/8,12:54:45,2.09e5,4574850,10.09,,999,0.000,1667,522,0
2017/4/8,12:55:00,2.07e5,4548138,10.11,,999,0.000,1641,532,0
2017/4/8,12:55:15,2.05e5,4516288,10.16,,999,0.000,1660,524,0
2017/4/8,12:55:30,2.03e5,4490270,10.2,,999,0.000,1689,563,0
2017/4/8,12:55:45,2.02e5,4480067,10.22,,999,0.000,1683,534,0
2017/4/8,12:56:00,2.01e5,4464417,10.24,,999,0.000,1660,548,0
2017/4/8,12:56:15,2.02e5,4479574,10.22,,999,0.000,1655,537,0
