Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	14:26:39	14:31:43	14:36:43	14:41:43	14:46:43	14:51:43	14:56:43	15:01:43	15:06:43	15:11:43	15:16:43	15:21:43	15:26:43	15:31:43	15:36:43	15:41:43	15:46:43	15:51:43	15:56:43	16:01:43	16:06:43	16:11:43	16:16:43	16:21:43	16:26:43	16:31:43	16:36:43	16:41:43	16:46:43	16:51:43
Diameter Midpoint
7.10	2990.57	5776.94	4750.94	7476.43	13457.6	25419.9	14809.5	13457.6	15217.9	14748.7	22694.4	8971.72	32196.3	22429.3	58112	37443	19438.7	6246.23	7476.43	1495.29	1495.29	2990.57	1495.29	2990.57	0	1495.29	0	0	2990.57	1495.29
7.37	1268.67	3806.02	10190.6	2537.35	7612.04	13955.4	8921.95	12686.7	17536.5	15224.1	11193.2	12686.7	14549.4	28709.2	50010.5	14262.8	12686.7	8655.81	2537.35	5074.69	4072.16	1268.67	5074.69	0	1268.67	0	266.141	0	1268.67	3806.02
7.64	0	7584.9	8441.15	2167.12	17336.9	8668.46	3023.37	8921.74	12172.4	8668.46	14086.3	9752.02	10835.6	42336.7	33642.2	32812	7838.19	4334.23	7584.9	2167.12	3023.37	3250.67	0	1083.56	1083.56	1083.56	4106.92	0	0	0
7.91	2096.66	3729.3	932.325	0	8622.93	10255.6	5593.95	5376.02	10970	6526.27	9555.26	8390.92	8390.92	79758.2	28229.9	21722	19360.9	8390.92	2796.97	932.325	3729.3	0	932.325	2796.97	232.011	1864.65	932.325	0	932.325	932.325
8.20	2222.29	4038.84	2423.3	1013.53	9095.95	7269.9	7269.9	4244.6	2423.3	7475.67	14338.8	7475.67	4038.84	65433.9	34336.7	16963.1	7269.9	5654.37	4038.84	0	1615.53	807.767	807.767	0	1414.52	0	1013.53	0	807.767	807.767
8.51	2115.41	705.135	2820.54	7576.87	5281.85	5641.08	5641.08	8282	5995.08	6871.73	8461.62	8987.14	2115.41	44069.8	23443.8	15338.8	7933.48	4935.95	2115.41	705.135	1410.27	1410.27	0	1410.27	705.135	1410.27	525.517	705.135	0	0
8.82	1236.33	2472.66	1383.03	2001.2	6181.66	7417.99	5563.49	8801.02	5871.32	7417.99	3855.69	5563.49	5710.19	34916.6	21618.9	17608	7409.52	3708.99	1236.33	1383.03	618.166	1236.33	618.166	618.166	618.166	146.701	618.166	1854.5	618.166	618.166
9.14	2176.69	2720.86	1503.37	2591.72	2720.86	3381.07	2176.69	5428.61	5985.89	3809.2	4224.23	5441.71	4224.23	30576.5	14434.3	8693.64	4340.27	5985.89	2176.69	2047.54	1632.51	1088.34	544.171	0	0	959.202	0	544.171	0	0
9.47	1928.87	2411.09	1928.87	1928.87	6751.05	2394.27	3375.52	4237.13	2014.88	5786.61	4822.18	3857.74	6751.05	32929.2	16567.4	8180.88	4805.36	3857.74	1928.87	2893.31	482.218	0	0	482.218	1446.65	964.435	1446.65	482.218	0	0
9.82	428.471	428.471	1713.88	0	2999.3	3351.34	5141.65	5570.12	3779.81	4284.71	3112.64	6427.06	3856.24	22144.8	18384.7	7207.58	5978.84	3427.77	2142.35	1285.41	428.471	856.942	0	0	428.471	1713.88	0	0	0	856.942
 10.2	3450.85	1150.28	3067.42	766.855	5013.11	4246.26	4217.7	1917.14	3067.42	2683.99	7595.68	3067.42	3834.27	24387.2	16031.1	7697.11	4550.41	4217.7	766.855	766.855	1533.71	383.427	0	0	766.855	383.427	0	0	0	1150.28
 10.6	1377.29	2063.61	687.869	2063.61	2725.86	3759.22	1721.23	3783.28	1031.8	3098.52	3071.35	1721.23	4815.08	15824.1	9262.17	7540.94	2409.1	2751.48	0	343.934	343.934	0	687.869	343.934	0	687.869	687.869	343.934	0	343.934
 10.9	1235.52	0	1212.77	1546.15	2164.61	3400.12	2781.67	2164.61	1546.15	3398.72	2781.67	3709.35	4019.98	12936.6	12034.4	6160.45	4637.04	2473.84	1546.15	1236.92	1236.92	0	309.23	618.459	618.459	309.23	0	309.23	309.23	618.459
 11.3	1956.79	559.083	21.8258	1349.11	1677.25	1677.25	4472.67	1628.65	2187.73	1677.25	1628.65	1677.25	3074.96	11359.1	10036.7	3096.78	3074.96	1956.79	1397.71	559.083	1118.17	279.542	0	0	559.083	279.542	279.542	279.542	0	559.083
 11.8	1013.96	1774.42	1267.45	1565	2970.05	2534.89	2534.89	1311.51	2325.47	2027.91	3521.1	1449.11	2534.89	12553.2	8447.24	2534.89	4562.8	2463.07	1520.93	1774.42	0	1013.96	0	0	0	253.489	253.489	0	253.489	253.489
 12.2	1151.68	460.672	460.672	460.672	1907.95	1151.68	1612.35	1842.69	2303.36	1518.59	1814.19	2965.87	2533.7	9256.26	8991.37	4512.96	1979.26	1907.95	230.336	460.672	230.336	460.672	921.345	230.336	366.909	230.336	460.672	0	230.336	0
 12.6	210.33	420.661	1051.65	1261.98	1051.65	1892.97	1778.2	3040.19	2313.64	1978.59	3030.25	1749.05	2944.63	8049.03	7532.81	5018.78	3030.25	1261.98	1051.65	420.661	420.661	305.891	95.56	0	295.95	210.33	630.991	210.33	0	210.33
 13.1	771.068	1156.6	578.301	443.418	1734.9	1850.67	1454.56	2861.81	1734.9	2505.97	1927.67	2909.11	1927.67	9223.12	6804.73	2418.39	1542.14	1542.14	192.767	578.301	0	490.721	297.954	0	0	192.767	192.767	250.651	578.301	385.534
 13.6	706.644	1082.96	353.322	1006.92	1236.63	1506.84	1766.61	2243.55	1082.96	906.294	706.644	1766.61	1082.96	9133.32	5269.77	1459.27	3356.56	883.305	529.983	199.65	0	176.661	529.983	0	176.661	176.661	176.661	300.274	0	529.983
 14.1	485.932	464.854	809.887	485.932	1133.84	1112.76	1934.53	1448.6	2084.63	788.808	809.887	2258.49	1256.35	7756.52	3695.2	2540.28	1934.53	1295.82	647.909	788.808	323.955	485.932	161.977	323.955	323.955	161.977	323.955	161.977	161.977	161.977
 14.6	595.658	407.858	595.658	595.658	1638.06	1340.23	714.142	1348.69	1340.23	1935.89	1935.89	2242.17	1506.05	5895.72	5628.32	3135.66	1568.74	893.488	893.488	446.744	0	297.829	148.915	0	148.915	0	148.915	148.915	148.915	148.915
 15.1	275.245	448.805	963.359	412.868	1447.29	1376.23	1687.41	412.868	825.736	963.359	1100.98	1309.67	1376.23	6131.77	4027	3374.01	2207.28	550.491	412.868	137.623	275.245	137.623	275.245	0	137.623	0	0	0	137.623	0
