TSI CPC DATA VERSION 3
1489154502,2017/3/10,14:01:42
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/10,14:01:41,2.79e3,22757,3.742,,1000,0.000,1083,184,0
2017/3/10,14:01:45,2.88e3,93860,14.92,,1000,0.000,1032,220,0
2017/3/10,14:02:00,2.97e3,96703,14.92,,1000,0.000,1035,224,0
2017/3/10,14:02:15,2.96e3,96477,14.92,,1000,0.000,1055,244,0
2017/3/10,14:02:30,2.96e3,96498,14.92,,1000,0.000,1091,260,0
2017/3/10,14:02:45,2.88e3,93874,14.92,,1000,0.000,1129,256,0
2017/3/10,14:03:00,2.81e3,91323,14.92,,1000,0.000,1184,278,0
2017/3/10,14:03:15,2.77e3,90145,14.92,,1000,0.000,1285,283,0
2017/3/10,14:03:30,2.75e3,89482,14.92,,1000,0.000,1378,308,0
2017/3/10,14:03:45,2.74e3,89249,14.92,,1000,0.000,1478,343,0
2017/3/10,14:04:00,2.70e3,87940,14.92,,1000,0.000,1600,362,0
2017/3/10,14:04:15,2.70e3,87968,14.92,,1000,0.000,1722,411,0
2017/3/10,14:04:30,2.71e3,88110,14.92,,1000,0.000,1899,434,0
2017/3/10,14:04:45,2.66e3,86626,14.92,,1000,0.000,2045,474,0
2017/3/10,14:05:00,2.61e3,84935,14.92,,1000,0.000,2153,494,0
2017/3/10,14:05:15,2.60e3,84684,14.92,,1000,0.000,2275,505,0
2017/3/10,14:05:30,2.58e3,83912,14.92,,1000,0.000,2335,513,0
2017/3/10,14:05:45,2.55e3,83046,14.92,,1000,0.000,2408,468,0
2017/3/10,14:06:00,2.56e3,83296,14.92,,1000,0.000,2435,490,0
2017/3/10,14:06:15,2.53e3,82293,14.92,,1000,0.000,2436,485,0
2017/3/10,14:06:30,2.53e3,82398,14.92,,1000,0.000,2448,498,0
2017/3/10,14:06:45,2.51e3,81781,14.92,,1000,0.000,2495,458,0
2017/3/10,14:07:00,2.51e3,81739,14.92,,1000,0.000,2478,489,0
2017/3/10,14:07:15,2.67e3,86874,14.91,,1000,0.000,2471,461,0
2017/3/10,14:07:30,4.69e3,150915,14.85,,1000,0.000,2443,483,0
2017/3/10,14:07:45,1.13e4,356697,14.65,,1000,0.000,2364,516,0
2017/3/10,14:08:00,1.48e4,466660,14.55,,1000,0.000,2288,529,0
2017/3/10,14:08:15,2.90e4,885687,14.16,,1000,0.000,2203,529,0
2017/3/10,14:08:30,3.78e4,1130048,13.93,,1000,0.000,2086,543,0
2017/3/10,14:08:45,5.59e4,1619078,13.46,,1000,0.000,1984,517,0
2017/3/10,14:09:00,4.23e4,1263121,13.8,,1000,0.000,2055,523,0
2017/3/10,14:09:15,5.63e4,1625991,13.45,,1000,0.000,1965,517,0
2017/3/10,14:09:30,5.58e4,1625277,13.46,,1000,0.000,1944,512,0
2017/3/10,14:09:45,8.36e4,2312257,12.79,,1000,0.000,1831,474,0
2017/3/10,14:10:00,7.65e4,2147107,12.95,,1000,0.000,1801,495,0
2017/3/10,14:10:15,7.36e4,2077394,13.02,,1000,0.000,1844,483,0
2017/3/10,14:10:30,1.04e5,2770759,12.29,,1000,0.000,1770,467,0
2017/3/10,14:10:45,1.13e5,2957824,12.1,,1000,0.000,1724,482,0
2017/3/10,14:11:00,1.48e5,3618696,11.32,,1000,0.000,1628,473,0
2017/3/10,14:11:15,1.66e5,3929329,10.94,,1000,0.000,1617,500,0
2017/3/10,14:11:30,1.77e5,4106859,10.71,,1000,0.000,1614,524,0
2017/3/10,14:11:45,1.88e5,4245534,10.5,,1000,0.000,1634,488,0
2017/3/10,14:12:00,2.54e5,5090317,9.262,,1000,0.000,1516,534,0
2017/3/10,14:12:15,2.38e5,4908689,9.53,,1000,0.000,1542,546,0
2017/3/10,14:12:30,2.64e5,5160320,9.089,,1000,0.000,1491,523,0
2017/3/10,14:12:45,2.83e5,5348452,8.761,,1000,0.000,1474,522,0
2017/3/10,14:13:00,2.85e5,5353293,8.719,,1000,0.000,1497,527,0
2017/3/10,14:13:15,3.06e5,5522492,8.38,,1000,0.000,1483,529,0
2017/3/10,14:13:30,2.96e5,5465748,8.518,,1000,0.000,1513,557,0
2017/3/10,14:13:45,3.07e5,5544077,8.351,,1000,0.000,1474,551,0
2017/3/10,14:14:00,3.25e5,5674745,8.071,,1000,0.000,1474,533,0
2017/3/10,14:14:15,3.46e5,5803707,7.761,,1000,0.000,1458,548,0
2017/3/10,14:14:30,3.37e5,5747137,7.869,,1000,0.000,1416,528,0
2017/3/10,14:14:45,3.61e5,5878808,7.531,,1000,0.000,1481,540,0
2017/3/10,14:15:00,3.93e5,6017365,7.094,,1000,0.000,1417,527,0
2017/3/10,14:15:15,3.83e5,5977585,7.232,,1000,0.000,1445,551,0
2017/3/10,14:15:30,3.67e5,5902987,7.432,,1000,0.000,1430,534,0
2017/3/10,14:15:45,3.64e5,5855067,7.512,,1000,0.000,1456,548,0
2017/3/10,14:16:00,3.59e5,5872698,7.541,,1000,0.000,1447,548,0
2017/3/10,14:16:15,3.79e5,5963780,7.261,,1000,0.000,1406,540,0
2017/3/10,14:16:30,3.76e5,5946775,7.3,,1000,0.000,1457,566,0
2017/3/10,14:16:45,5.40e5,6269917,5.409,,1000,0.000,1387,563,0
2017/3/10,14:17:00,4.70e5,6235312,6.131,,1000,0.000,1417,577,0
2017/3/10,14:17:15,4.11e5,6088092,6.843,,1000,0.000,1446,543,0
2017/3/10,14:17:30,3.99e5,6054687,7.002,,1000,0.000,1458,540,0
2017/3/10,14:17:45,3.80e5,5974804,7.265,,1000,0.000,1436,541,0
2017/3/10,14:18:00,3.82e5,5983277,7.236,,1000,0.000,1456,544,0
2017/3/10,14:18:15,3.83e5,5970557,7.209,,1000,0.000,1455,537,0
2017/3/10,14:18:30,3.85e5,6008662,7.199,,1000,0.000,1473,539,0
2017/3/10,14:18:45,3.63e5,5898932,7.496,,1000,0.000,1473,523,0
2017/3/10,14:19:00,3.56e5,5853537,7.592,,1000,0.000,1469,541,0
2017/3/10,14:19:15,3.38e5,5742898,7.841,,1000,0.000,1453,501,0
2017/3/10,14:19:30,3.16e5,5603506,8.172,,1000,0.000,1489,516,0
2017/3/10,14:19:45,3.26e5,5671569,8.023,,1000,0.000,1514,524,0
2017/3/10,14:20:00,3.13e5,5573474,8.224,,1000,0.000,1519,489,0
