Sample File,C:\Documents and Settings\bostonair\Desktop\OlinCollege\No Filter\Baseline2.S80
Classifier Model,3080
DMA Model,3085
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01905
DMA Characteristic Length(cm),0.04987
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Diameter Midpoint,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,Scan Up Time(s),Retrace Time(s),Down Scan First,Scans Per Sample,Impactor Type(cm),Sheath Flow(lpm),Aerosol Flow(lpm),CPC Inlet Flow(lpm),CPC Sample Flow(lpm),Low Voltage,High Voltage,Lower Size(nm),Upper Size(nm),Density(g/cc),Title,Status Flag,td(s),tf(s),D50(nm),Median(nm),Mean(nm),Geo. Mean(nm),Mode(nm),Geo. Std. Dev.,Total Conc.(#/cm³),Comment
1,03/10/17,16:26:00,,3000.4,5091.37,0,4.71928,4858.44,2829.81,2480.79,3051.67,2133.79,3439.03,769.375,2070.39,1240.98,2243.68,3415.44,4291.5,3798.39,2320.81,1772.42,3442.55,3673.29,2043.27,2232.25,4014.87,2018.79,2797.69,2979.05,1850.06,2565.42,2483.03,2951.98,2644.82,2981.52,1767.33,2448.11,1824.73,2368.73,3152.63,2872.35,2830.44,2912.37,3073.14,2195.24,2413.11,3346.22,2813.1,2542.2,2123.41,2073.61,2221.87,2691.04,1980.37,2241.39,2546.96,2461.01,1821.77,1365.25,1705.63,1329.76,1761.74,1208.21,1200.24,1487.55,1331.51,842.651,977.83,1011.23,1082.7,1227.88,874.329,1259.02,756.201,1284.37,765.304,699.14,1337.98,1302.93,1335.68,1242.54,1457.57,1080.21,1070.73,1021.85,989.199,1177.77,947.759,869.926,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,24.0192,36.3611,25.657,7.36525,2.2633,2815.9,
2,03/10/17,16:28:18,,0,0,0,1870.78,2363.11,5011.67,439.435,705.085,2902.81,1719.52,769.375,1380.26,2481.97,3365.52,3560.51,4159.68,2110.22,2320.81,3000.69,2124.01,2091.66,1933.05,2718.95,1280.72,2987.76,2993.05,2831.97,2224.34,2267.76,2005.89,2029.73,2952.04,2573.43,1578.88,2658.43,2777.12,2510.34,2424.54,3011.66,2408.38,3492.3,2458.74,2892.39,2621.67,2281.14,2582.94,2662.74,3089.55,2767.45,1745.74,2243.22,2075.99,1548.05,2821.19,2400.95,1291.75,1651.75,1688.67,1258.55,1473.69,1696.88,1290.84,1294.22,891.714,1045.97,868.268,1121.6,1161.84,611.063,826.428,1228.55,849.313,895.721,882.674,908.592,1094.59,1319.72,864.997,883.161,1016.58,1489.53,1310.12,716.913,832.121,892.301,941.354,973.21,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,26.4409,37.906,27.6348,8.50526,2.1751,2523.47,
3,03/10/17,16:30:33,,60148.4,312044,242711,209083,199396,109534,177206,269276,170964,95750.4,54962.1,39398.3,40258,52249.9,38313.3,24658.6,23536,16327.1,12776.9,10384.8,8012.94,6982.2,5207.31,4581.93,4287.19,5109.19,4983.64,3099.01,3989.45,2718.1,2678.53,1563.88,3062.57,2685.56,2839.27,2447.68,2734.16,2349.06,2687.94,2721.44,2384.36,2204.36,2692.29,2168.42,2190.2,2398.35,2262.2,2039.35,1831.96,2567.99,2136.9,1900.82,1868.67,1957.88,1953.17,1597.12,1261.32,2177.79,1532.72,1809.09,1477.03,1317.9,917.726,1024.29,1202.37,1048.36,905.146,882.061,1175.22,395.938,879.089,485.787,744.036,1068.95,732.882,1160.05,1238.41,1502.29,1365.65,1245.56,1188.71,1453.2,1454.01,1116.71,1204.42,1163.82,752.644,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,8.69499,10.926,9.45045,7.36525,1.48202,35996.2,
4,03/10/17,16:32:48,,442978,1.9832e+006,2.14723e+006,1.93618e+006,1.93182e+006,2.03046e+006,2.09325e+006,1.81341e+006,1.26362e+006,975891,907432,901426,791598,720950,734450,584363,461655,290178,248717,196382,134925,94199.2,73378.7,58678.2,32444.5,22133.2,15951.4,8611.86,7014.63,3216.54,4268.35,3384.57,2401.45,3563.02,2550.42,2989.35,1414.06,1952.46,2678.38,2619.15,2495.03,2926.98,2709.81,2235.45,2214.11,2056.67,2648.32,2993.11,2703.27,2277.05,3261.16,2123.3,2505.42,1272.59,2128.7,1413.54,1871.13,1674.45,1624.04,1418.36,1380.25,998.222,885.552,1076.73,915.11,990.941,693.048,795.238,607.322,971.683,838.901,963.43,827.081,1027.09,834.577,1051.83,1101.82,1395.64,1210.73,1379.27,1501.61,1288.53,964.843,1043.59,1018.33,1189.15,992.962,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,8.81734,9.51173,9.21993,7.63506,1.23688,359470,
5,03/10/17,16:35:03,,697216,2.53458e+006,2.47719e+006,2.41864e+006,2.07889e+006,2.00784e+006,1.78643e+006,1.6234e+006,1.55063e+006,1.34591e+006,1.2435e+006,1.20051e+006,1.06553e+006,972836,816014,698863,597974,487916,405175,294629,215621,168496,112731,83577.5,55417.3,40816.1,29060.9,18702.5,11108.6,7625.32,5273.41,4632.2,4128.55,3234.65,3039.81,2641.33,2517.01,1632.7,2430.36,2883.49,2668.03,2100.37,2165.12,2942.88,2524.96,2855.25,1981.58,3063.03,2542.19,2208.1,1840.98,2287.14,2194.34,1755.86,1674.97,1298.49,2009.9,1333.79,1232.77,1178.88,1282.44,792.861,1037.88,837.28,1056.38,890.707,512.566,888.137,441.055,766.285,909.253,816.725,1067.11,688.431,430.112,1219.23,1281.4,1425.1,1386.78,1362.58,1293.25,875.821,890.522,956.313,878.471,1005.86,1077.87,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,8.90245,9.61331,9.32127,7.36525,1.24459,424175,
6,03/10/17,16:37:18,,465013,1.68253e+006,1.90707e+006,1.89727e+006,1.84536e+006,1.64601e+006,1.57817e+006,1.40047e+006,1.2912e+006,1.14256e+006,1.06899e+006,972283,890823,779601,759894,662132,517177,422228,301872,261546,193602,145435,104404,80310.3,57366.8,40546.2,24675.2,14131.2,11000.9,8966.21,3557.3,3781.25,3554.93,2236.21,3124.39,2523.9,3022.59,2760.91,1977.15,2844.67,3192.19,2451.71,2294.13,1704.37,3063,2305.46,2422.86,2420.66,2037.4,2179.24,1571.66,1694.92,1818.84,1685.68,1195.1,1140.24,1870.7,1433.8,1273.94,1038.27,802.502,1247.41,983.659,1530.63,1102.24,1045.48,1066.04,796.764,594.728,883.424,1009.42,844.056,939.893,1061.83,866.23,892.843,1034.48,1349.86,1145.4,1156.13,1117.21,1388.76,1015.72,693.223,936.822,807.62,958.124,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.00477,9.74449,9.43009,7.63506,1.24989,347939,
7,03/10/17,16:39:33,,406412,1.15391e+006,1.31417e+006,1.24775e+006,1.09249e+006,1.03224e+006,940755,813610,752277,663351,647918,569798,482744,438033,364877,309041,295655,276495,218247,167260,125622,93050.1,75228.1,49063.6,32762.1,19511.7,13693.2,11147.1,6122.52,5925.18,4025.55,2167.29,4017.93,2617.53,2212.81,2750.39,2802.78,1854.65,2159.42,2283.88,2286.42,1640.52,1710.9,3591.39,1768.24,2756.53,2215.96,2380.67,2065.07,2044.71,2109.55,1426.57,1651.4,1642.4,1286.11,1588.99,1324.19,1130.4,1354.17,903.095,1439.89,1380.74,954.374,734.662,883.639,1007.65,927.977,788.075,1107.09,841.642,1114.29,1128.95,751.221,768.308,997.801,1297.59,852.106,1081.54,1272.89,849.717,1120.66,640.557,950.847,1083.83,791.213,1096.9,551.143,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,8.866,9.7474,9.35995,7.63506,1.27061,214208,
8,03/10/17,16:41:48,,256111,875833,861270,814838,749001,724389,668578,660364,649640,618988,539357,484616,475069,419277,376375,309855,284840,231253,216444,160539,124346,96045.8,77091,57080.2,41780.7,27519.7,15378,11681.3,8608.92,5478.79,3617.99,3303.05,3371.6,1571.96,3511.08,1975.52,2182.04,2654.5,1981.65,1815.61,2493.46,2258.06,2786.42,2512.33,2699.88,2718.85,2612.07,2137.57,2111.49,2250.13,1502.83,2375.29,1570.08,1828.14,1903.67,1367.35,1763.26,1408.11,1087.54,1046.59,1272.32,1151.09,1292.84,1542.56,921.569,619.247,1130.33,818.964,886.975,967.018,806.194,940.115,831.334,766.148,782.751,943.443,1157.93,1387.49,1612.61,1311.86,1046.43,1045.85,950.847,948.249,754.77,1005.86,870.47,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.23627,10.1336,9.66265,7.36525,1.29345,170872,
9,03/10/17,16:44:03,,284943,893293,893235,827615,799308,778224,748424,636123,624166,598725,519074,502216,440609,417285,394837,358743,309348,255992,231562,180107,143027,109882,88479,72347.3,46399,30762.3,21640.9,17791.7,8182.98,7477.89,4802.45,4226.23,2317.03,2012.57,2674.72,2289.59,2278.07,1867.23,2830.65,2458.45,2216.2,2095.58,2654.52,2450.83,2125.59,2784.86,2579.66,1944.95,1930.02,2003.5,2051.67,2221.51,1871.09,1709.95,1579.07,1449.49,1821.8,1716.35,1163.81,1605.5,1384.4,1356.99,997.394,987.62,1261.23,925.042,1000.19,653.578,613.747,932.314,693.805,604.122,681.767,581.741,628.36,775.823,1000.78,1081.54,1283.83,903.143,1016.09,1147.32,847.01,948.249,894.086,899.776,850.717,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.20645,10.1461,9.68723,7.36525,1.29394,177070,
