TSI CPC DATA VERSION 3
1490446753,2017/3/25,12:59:13
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/25,12:59:00,7.75e4,2171125,12.96,,1019,0.000,2042,474,0
2017/3/25,12:59:15,7.21e4,2044064,13.08,,1019,0.000,2034,482,0
2017/3/25,12:59:30,6.45e4,1852158,13.27,,1019,0.000,2081,474,0
2017/3/25,12:59:45,6.88e4,1954735,13.16,,1019,0.000,2088,462,0
2017/3/25,13:00:00,7.57e4,2134028,13.0,,1019,0.000,2043,452,0
2017/3/25,13:00:15,6.94e4,1978600,13.15,,1018,0.000,2067,484,0
2017/3/25,13:00:30,5.61e4,1638152,13.47,,1018,0.000,2158,471,0
2017/3/25,13:00:45,6.19e4,1788218,13.33,,1019,0.000,2099,488,0
2017/3/25,13:01:00,5.89e4,1709928,13.4,,1019,0.000,2175,447,0
2017/3/25,13:01:15,5.49e4,1606798,13.5,,1019,0.000,2158,468,0
2017/3/25,13:01:30,5.77e4,1680053,13.43,,1019,0.000,2167,467,0
2017/3/25,13:01:45,5.81e4,1690614,13.42,,1019,0.000,2139,479,0
2017/3/25,13:02:00,5.96e4,1729269,13.38,,1019,0.000,2135,456,0
2017/3/25,13:02:15,5.65e4,1650900,13.46,,1019,0.000,2136,463,0
2017/3/25,13:02:30,5.89e4,1712446,13.4,,1019,0.000,2127,458,0
2017/3/25,13:02:45,5.99e4,1737710,13.38,,1019,0.000,2147,463,0
2017/3/25,13:03:00,5.90e4,1714293,13.4,,1019,0.000,2142,466,0
2017/3/25,13:03:15,5.76e4,1679345,13.43,,1019,0.000,2150,460,0
2017/3/25,13:03:30,5.76e4,1678372,13.43,,1019,0.000,2133,469,0
2017/3/25,13:03:45,5.88e4,1709994,13.4,,1019,0.000,2172,454,0
2017/3/25,13:04:00,5.96e4,1729345,13.38,,1019,0.000,2137,483,0
2017/3/25,13:04:15,5.86e4,1704706,13.41,,1019,0.000,2155,433,0
2017/3/25,13:04:30,6.13e4,1774810,13.34,,1018,0.000,2130,457,0
2017/3/25,13:04:45,8.13e4,2268816,12.87,,1019,0.000,2006,467,0
2017/3/25,13:05:00,7.95e4,2225652,12.91,,1018,0.000,2020,458,0
2017/3/25,13:05:15,1.02e5,2712799,12.41,,1019,0.000,1940,491,0
2017/3/25,13:05:30,1.79e5,4167794,10.78,,1019,0.000,1774,488,0
2017/3/25,13:05:45,1.09e5,2890414,12.23,,1019,0.000,1916,450,0
2017/3/25,13:06:00,1.17e5,3063786,12.05,,1018,0.000,1904,451,0
2017/3/25,13:06:15,1.85e5,4241070,10.66,,1019,0.000,1740,488,0
2017/3/25,13:06:30,1.97e5,4410481,10.43,,1019,0.000,1752,499,0
2017/3/25,13:06:45,3.22e5,5589784,8.413,,1019,0.000,1571,570,0
2017/3/25,13:07:00,3.82e5,6104892,7.48,,1019,0.000,1525,556,0
2017/3/25,13:07:15,3.10e5,5665718,8.514,,1019,0.000,1610,537,0
2017/3/25,13:07:30,3.88e5,6052029,7.485,,1019,0.000,1520,568,0
2017/3/25,13:07:45,3.91e5,6107738,7.41,,1019,0.000,1479,561,0
2017/3/25,13:08:00,3.73e5,6105387,7.58,,1019,0.000,1514,548,0
2017/3/25,13:08:15,3.42e5,5927491,8.023,,1019,0.000,1534,543,0
2017/3/25,13:08:30,3.81e5,6146633,7.48,,1019,0.000,1512,566,0
2017/3/25,13:08:45,4.91e5,6489376,6.151,,1019,0.000,1467,585,0
2017/3/25,13:09:00,4.76e5,6431432,6.358,,1019,0.000,1450,572,0
2017/3/25,13:09:15,4.26e5,6315551,6.914,,1019,0.000,1472,550,0
2017/3/25,13:09:30,4.76e5,6479301,6.302,,1019,0.000,1462,560,0
2017/3/25,13:09:45,5.00e5,6524066,6.044,,1019,0.000,1441,532,0
2017/3/25,13:10:00,5.17e5,6531472,5.881,,1019,0.000,1440,573,0
