Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\High 1 (Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17
Start Time	14:56:55	15:01:58	15:06:58	15:11:58	15:16:58	15:21:58	15:26:58	15:31:58	15:36:58	15:41:58	15:46:58	15:51:58	15:56:58	16:01:58	16:06:58	16:11:58	16:16:58	16:21:58	16:26:58	16:31:58	16:36:58	16:41:58
Diameter Midpoint
7.10	15217.9	23924.6	26710.9	31931.2	43220	44306.8	39964.3	50635.5	29905.7	11962.3	8767.51	5776.94	4750.94	4485.86	4485.86	2990.57	1495.29	5981.15	4485.86	1495.29	10467	7741.51
7.37	16534	27910.8	29179.5	32535.7	45447.3	29486.9	38592.5	38592.5	11418.1	12686.7	7612.04	1268.67	3581.11	2537.35	1268.67	1268.67	7612.04	2537.35	1268.67	3806.02	1268.67	7387.13
7.64	11691.8	31423.2	16253.4	26005.4	33843.6	23890.2	55566.7	40143.6	16253.4	16759.9	1083.56	4587.51	4334.23	4334.23	5417.79	2167.12	3250.67	4334.23	1083.56	1083.56	4334.23	5417.79
7.91	8390.92	13984.9	27969.7	23772.1	35442.4	30330.9	29876.6	35456.5	16781.8	9819.71	3729.3	3511.37	3729.3	2796.97	3729.3	1864.65	3729.3	1864.65	4661.62	2796.97	4661.62	3729.3
8.20	12322.3	11514.5	25246.5	19792.1	20198.9	22823.2	34130.9	32114.4	16566.9	10706.7	4244.6	3231.07	1615.53	4846.6	1615.53	1615.53	807.767	2423.3	5052.36	1615.53	807.767	7269.9
8.51	9692.27	10574.4	16215.5	15690	17097.6	21679.6	20802.9	29967.1	10217.8	11279.5	4051.19	705.135	2115.41	2115.41	2115.41	3525.68	2115.41	2820.54	525.517	2820.54	705.135	2115.41
8.82	11127	18211.7	19301.4	19008	11434.8	25784.9	26889	26409	8182.85	7262.82	3708.99	6181.66	3708.99	1236.33	0	618.166	1236.33	3090.83	1854.5	2472.66	1854.5	1236.33
9.14	7618.4	7463.06	15094.6	12515.9	11659.7	21727.6	17529.5	25861.9	13475.1	3265.03	2720.86	1088.34	3265.03	3925.24	2176.69	2176.69	1088.34	544.171	1632.51	544.171	1088.34	3265.03
9.47	6751.05	8078.05	15810.3	13984.3	12900.2	13675.8	14363.7	12537.7	8851.94	3857.74	2893.31	1446.65	2411.09	1343.82	964.435	2583.12	2411.09	1446.65	1446.65	1446.65	482.218	964.435
9.82	3856.24	8064.52	10453.3	13282.6	8549.67	16451.9	12539	18480.9	8044.77	3856.24	2627.5	856.942	856.942	2142.35	428.471	2046.17	1713.88	2142.35	2142.35	428.471	0	428.471
