Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\High 2 (candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17
Start Time	16:59:02	17:04:05	17:09:05	17:14:06	17:19:05	17:24:05	17:29:05	17:34:05	17:39:05	17:44:05	17:49:05	17:54:05	17:59:05	18:04:05	18:09:05	18:14:05	18:19:05	18:24:06	18:29:06	18:34:06	18:39:05	18:44:06
Diameter Midpoint
7.10	187303	145225	195248	141331	169089	135989	141148	147455	69109.1	33161.4	17739.2	4485.86	10467	10262.8	10467	2990.57	5981.15	2990.57	5981.15	11758.1	7476.43	4485.86
7.37	121875	135339	115573	113896	114263	127748	115573	119195	64048.4	26683.4	12686.7	5074.69	10149.4	11418.1	2537.35	1534.81	2537.35	5074.69	13955.4	6343.37	6343.37	3806.02
7.64	109491	98235.6	89436.2	119872	110504	102815	105690	93796.4	68691.8	26861.6	13002.7	13509.3	10835.6	3250.67	3503.96	7610.88	0	4334.23	2167.12	1083.56	3250.67	3250.67
7.91	94425	93117.4	97968.8	99322.9	97046.3	99815.1	83983.9	101940	37307.1	18646.5	9555.26	6090.41	8854.95	5593.95	6308.34	5608.03	6758.28	3729.3	8390.92	4193.32	2796.97	5593.95
8.20	83816.3	75327.1	85849.1	71304.5	83022.7	91692.9	80385.2	83423.7	32315.4	14143.6	7068.89	8077.67	2829.04	2423.3	2423.3	4043.58	4645.59	2423.3	4846.6	3636.81	4038.84	2423.3
8.51	68041.7	67870	65736	68208	80723.5	69806	72972.2	71208.2	29613.1	15153.7	3525.68	5818.08	7933.48	4935.95	4935.95	3523.06	3525.68	2115.41	4407.81	3525.68	1410.27	2820.54
8.82	55925.8	58067.7	63499	63637.2	57464	61179	52682.3	62107.5	23953.3	14836	3090.83	6791.36	7409.52	3090.83	3090.83	462.999	1236.33	2472.66	2317.5	2472.66	1854.5	3708.99
