Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low 1 (Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17
Start Time	18:54:22	18:59:26	19:04:26	19:09:26	19:14:26	19:19:26	19:24:26	19:29:26	19:34:26	19:39:26	19:44:26	19:49:26	19:54:26	19:59:26	20:04:26	20:09:26	20:14:26	20:19:26	20:24:26	20:29:26	20:34:26	20:39:26
Diameter Midpoint
7.10	170910	137484	207415	207184	231252	195718	193992	203194	127078	99484.2	75029.4	68579	57968.6	40168.5	30992.6	31992	35682.7	30088.3	25215.7	16243.9	14748.7	31196.8
7.37	124699	150318	162248	162351	191019	147065	155844	155475	132332	100615	56395.1	54819.1	29753	30448.2	28709.2	27236.1	31716.8	17086.7	27910.8	19030.1	13955.4	18027.6
7.64	86937.9	119549	174688	161729	152536	135199	135671	147013	99284.7	89532.6	61263.7	56371	41253.1	35180.4	19905.7	16506.6	21924.4	20517.2	8921.74	19180.3	11088.9	16532.6
7.91	112357	72327.7	137619	137312	132243	134344	123327	133147	82304.8	70884.8	43661.9	37307.1	41064.5	34992.5	17946.2	20757.2	15163.3	16606.2	17728.3	9601.78	14931.3	11916.4
8.20	87664.6	63210.6	115740	108667	92520.7	104417	107859	111280	73917.3	61003.5	47056.3	35546.5	27066.8	20399.9	28276.6	19395.9	17384.1	13936.8	10505.7	7681.43	9697.95	14544.6
8.51	76318.5	68575.1	105752	92536.6	99933.9	85313.5	91654.5	86729.2	57467.3	54813.1	42305.5	37369.5	22384.7	19564.2	12689.8	14097.5	17615	12692.4	9692.27	11276.9	6871.73	14628.2
8.82	66564.4	59628.8	91324.9	95911.6	80782.2	85752.9	90796.6	81693.8	57464	51575.7	41848.7	30250.3	24401.9	17602	20244.3	9580.32	16219	11745.1	11273.7	8343.98	6799.82	4945.32
