Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low 2(Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	11:18:30	11:23:33	11:28:33	11:33:33	11:38:34	11:43:33	11:48:34	11:53:34	11:58:34	12:03:34	12:08:34	12:13:34	12:18:34	12:23:34	12:28:34	12:33:34	12:38:34	12:43:34	12:48:34	12:53:34	12:58:34	13:03:34
Diameter Midpoint
7.10	185720	140535	137280	122857	114233	109604	136132	125378	69930.9	70461.1	56677.6	37647.2	32753	29701.5	28675.5	20934	19438.7	5776.94	9032.59	17943.4	10997.2	4750.94
7.37	211276	115103	102109	103664	111297	99857.8	108881	100349	75895.5	54676.6	37835.3	33026.7	25680.8	19030.1	17802.7	13955.4	12686.7	11418.1	17802.7	15224.1	16042.9	3581.11
7.64	115669	99660.3	106546	104833	82323.4	94068.2	73358.2	99512	59849	50751.9	41681.8	27945.2	31475.1	24921.8	21443.8	5417.79	8668.46	15169.8	5190.48	2167.12	2420.4	6501.35
7.91	86312.6	75996.4	98432.8	74424.4	84387.3	75764.4	68097.7	72049.2	48495	43615.4	35456.5	32163.1	26601.6	15849.5	13052.5	11187.9	9323.25	1864.65	11187.9	7458.6	3511.37	6526.27
8.20	82200.7	68468.7	72713.3	59793.8	133738	80786.2	76961.6	53136.4	44226.2	40598.9	30293.1	19190.1	22221.2	13130	15553.3	8885.44	5654.37	2629.06	6667.9	7269.9	4244.6	4038.84
8.51	63105.8	59931.3	70151.7	63451.7	89335.4	62928.8	71736.3	58507.6	38254.3	26789.9	22390.2	15687.4	19915.5	10397.4	6343.6	7228.35	7051.35	4756.33	8282	6523.21	4051.19	2820.54
8.82	124836	54350.3	57774.3	56690.7	55160.9	53901.7	51251	45696	40025.6	32452.4	17608	18234.6	13899	10802.2	8645.85	9735.48	6799.82	3708.99	5563.49	7262.82	1236.33	6181.66
9.14	59458.3	42678.9	51344.9	40345.4	39283.3	53508.5	52692.9	45479.7	26236.3	26896.5	18488.7	12515.9	16196	8136.37	9665.95	5985.89	4353.37	4897.54	2176.69	3809.2	2176.69	3265.03
9.47	48687.2	35530.8	40646.4	134299	31706.7	44091.1	42713.6	29415.3	29966.7	19255.1	13881.5	17049.6	11659.2	7681.85	5786.61	5786.61	6268.83	1928.87	2497.1	3857.74	2411.09	3461.54
9.82	34856.4	38446.5	35952.1	36865.7	35600	32743.2	39931.1	37075.2	26210.6	17042.7	14996.5	10615.6	8549.67	11472.5	7284.01	6855.54	6912.21	4454.73	1694.13	3427.77	3856.24	1637.46
 10.2	42798.1	29891.6	33897.2	37538	36409.8	24929.2	28443.5	25160.5	22476.5	16110.4	11531.4	10301.8	8413.25	9180.1	6901.69	7285.12	5700.7	3710.69	3016.7	1150.28	1533.71	383.427
 10.6	28159.2	29165.4	34855.4	28447.2	25380.5	26436.4	29770.2	26090.9	21960.6	14395.6	13734.9	8943.85	7886.43	5480.45	4471.15	2754.59	2407.54	3759.22	687.869	1031.8	2751.48	2063.61
 10.9	25301.5	28012.2	28990.9	28349.7	27395.1	26468.8	24997.9	24711.4	20051.6	14484.1	9510.88	7990.28	9869.8	7109.48	1236.92	4944.87	3092.3	2472.44	1236.92	3068.15	2473.84	1855.38
 11.3	32835.2	22423.9	25637.5	28637.1	23347.6	25450.2	25433.3	21400.7	21094.4	13036.3	11757.6	5914.03	6961.77	5262.69	4472.67	3074.96	2236.33	1397.71	3026.36	1650.48	1908.19	838.625
 11.8	21651	27095.6	21391.5	20427.7	23182.2	20405.3	20724.6	15235.9	16762.9	14509.3	11704.6	8800.3	6127.81	3592.92	3730.52	3295.36	2281.4	2281.4	2071.98	2071.98	1565	1013.96
 12.2	20881.1	19592.9	14815	20974.9	19069.2	20047.5	16629.2	14692.8	15648.7	11761.5	9025.92	6190.58	5801.21	4837.06	2368.62	2073.03	2670.27	1612.35	1612.35	1842.69	230.336	1151.68
 12.6	23344.9	15611	19368.5	17981.8	14721.3	17609.5	14310.6	16289.2	9597.02	9511.4	7188.5	6280.76	6156.05	3250.52	3040.19	3671.18	2284.48	1682.64	841.322	841.322	841.322	1261.98
 13.1	17568.5	19122.7	18415	16005.2	14946.7	14590.9	16343.4	14994	13416.7	8269.86	6657.75	3247.34	3497.99	3574.99	2225.62	1647.32	2283.51	2505.97	1792.79	1021.72	963.835	1349.37
 13.6	14773.9	16332.2	34752.5	13288.5	13005.7	15132.7	13496.8	11822.1	9656.24	11723.1	5517	3526.15	2897.14	1943.27	2649.92	1943.27	1759.54	2119.93	1713.56	1713.56	1059.97	1236.63
 14.1	16625.8	10566.7	18173.1	15590.7	15294.3	12564.5	13425.7	11550.5	9352.53	8380.66	6619.99	5284.7	2753.61	3077.57	2267.68	1781.75	1901.57	1448.6	485.932	485.932	647.909	647.909
 14.6	9894.44	14830.6	14739.3	14692	12996.3	14165.6	9767.5	9141.41	29964.1	5878.81	6364.44	5785.69	4428.55	4020.69	2045.92	2382.63	1935.89	1944.34	297.829	1489.15	595.658	744.573
