TSI CPC DATA VERSION 3
1490534152,2017/3/26,13:15:52
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/26,13:15:46,2.14e5,4126350,8.871,,1028,0.000,1735,515,0
2017/3/26,13:16:00,2.15e5,4670348,10.0,,1028,0.000,1708,546,0
2017/3/26,13:16:15,2.10e5,4601896,10.11,,1028,0.000,1757,538,0
2017/3/26,13:16:30,2.01e5,4482236,10.28,,1028,0.000,1750,513,0
2017/3/26,13:16:45,1.99e5,4455650,10.32,,1028,0.000,1732,556,0
2017/3/26,13:17:00,1.94e5,4383330,10.41,,1028,0.000,1779,526,0
2017/3/26,13:17:15,1.84e5,4240480,10.59,,1028,0.000,1756,529,0
2017/3/26,13:17:30,1.79e5,4156860,10.7,,1028,0.000,1774,549,0
2017/3/26,13:17:45,1.80e5,4174701,10.68,,1028,0.000,1768,559,0
2017/3/26,13:18:00,1.78e5,4149382,10.71,,1028,0.000,1794,517,0
2017/3/26,13:18:15,1.76e5,4106775,10.76,,1028,0.000,1784,554,0
2017/3/26,13:18:30,1.78e5,4141775,10.72,,1028,0.000,1821,522,0
2017/3/26,13:18:45,1.77e5,4122603,10.73,,1028,0.000,1789,535,0
2017/3/26,13:19:00,1.72e5,4055704,10.82,,1028,0.000,1782,532,0
2017/3/26,13:19:15,1.71e5,4029829,10.86,,1028,0.000,1790,540,0
2017/3/26,13:19:30,1.68e5,3982914,10.92,,1028,0.000,1779,534,0
2017/3/26,13:19:45,1.65e5,3941194,10.97,,1028,0.000,1845,541,0
2017/3/26,13:20:00,1.61e5,3863330,11.06,,1028,0.000,1823,513,0
2017/3/26,13:20:15,1.57e5,3794620,11.15,,1028,0.000,1807,549,0
2017/3/26,13:20:30,1.58e5,3814650,11.13,,1028,0.000,1793,543,0
2017/3/26,13:20:45,1.57e5,3809989,11.14,,1028,0.000,1807,521,0
2017/3/26,13:21:00,1.54e5,3753121,11.2,,1028,0.000,1820,524,0
2017/3/26,13:21:15,1.46e5,3618281,11.36,,1028,0.000,1835,535,0
2017/3/26,13:21:30,1.43e5,3560214,11.43,,1028,0.000,1848,538,0
2017/3/26,13:21:45,1.43e5,3562293,11.42,,1028,0.000,1829,529,0
2017/3/26,13:22:00,1.45e5,3585042,11.4,,1028,0.000,1829,552,0
2017/3/26,13:22:15,1.49e5,3664924,11.3,,1028,0.000,1823,559,0
2017/3/26,13:22:30,2.32e5,4864809,9.737,,1028,0.000,1711,538,0
2017/3/26,13:22:45,1.82e5,4209695,10.64,,1028,0.000,1750,529,0
2017/3/26,13:23:00,2.30e5,4854676,9.766,,1028,0.000,1699,533,0
2017/3/26,13:23:15,2.56e5,5144361,9.326,,1028,0.000,1666,537,0
2017/3/26,13:23:30,3.57e5,5915089,7.807,,1028,0.000,1564,556,0
2017/3/26,13:23:45,4.77e5,6378648,6.31,,1028,0.000,1447,577,0
2017/3/26,13:24:00,4.52e5,6384639,6.536,,1028,0.000,1481,563,0
2017/3/26,13:24:15,4.28e5,6246218,6.881,,1028,0.000,1516,555,0
2017/3/26,13:24:30,5.04e5,6446045,6.019,,1028,0.000,1461,598,0
2017/3/26,13:24:45,5.77e5,6506889,5.296,,1028,0.000,1409,590,0
2017/3/26,13:25:00,5.54e5,6509563,5.499,,1028,0.000,1419,568,0
2017/3/26,13:25:15,5.63e5,6487398,5.445,,1028,0.000,1441,577,0
2017/3/26,13:25:30,6.23e5,6537552,4.858,,1028,0.000,1402,581,0
2017/3/26,13:25:45,5.59e5,6542148,5.428,,1028,0.000,1437,612,0
2017/3/26,13:26:00,6.47e5,6493672,4.683,,1028,0.000,1402,587,0
2017/3/26,13:26:15,6.13e5,6526209,4.93,,1028,0.000,1451,584,0
2017/3/26,13:26:30,5.72e5,6549001,5.293,,1028,0.000,1416,581,0
2017/3/26,13:26:45,5.86e5,6547747,5.17,,1028,0.000,1467,587,0
2017/3/26,13:27:00,5.96e5,6534325,5.07,,1028,0.000,1407,607,0
2017/3/26,13:27:15,6.33e5,6511842,4.76,,1028,0.000,1396,583,0
2017/3/26,13:27:30,6.05e5,6541222,4.995,,1028,0.000,1430,595,0
2017/3/26,13:27:45,6.70e5,6478218,4.478,,1028,0.000,1397,577,0
2017/3/26,13:28:00,6.79e5,6472386,4.412,,1028,0.000,1406,610,0
2017/3/26,13:28:15,6.87e5,6464948,4.353,,1028,0.000,1381,582,0
2017/3/26,13:28:30,6.47e5,6517550,4.653,,1028,0.000,1396,594,0
2017/3/26,13:28:45,6.73e5,6488097,4.457,,1028,0.000,1422,594,0
2017/3/26,13:29:00,6.96e5,6460985,4.296,,1028,0.000,1352,603,0
2017/3/26,13:29:15,6.46e5,6509402,4.659,,1028,0.000,1435,598,0
2017/3/26,13:29:30,6.52e5,6514465,4.615,,1028,0.000,1435,585,0
2017/3/26,13:29:45,6.50e5,6499667,4.625,,1028,0.000,1396,599,0
2017/3/26,13:30:00,6.53e5,6502234,4.598,,1028,0.000,1407,590,0
2017/3/26,13:30:15,6.71e5,6476183,4.461,,1028,0.000,1386,615,0
