Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium 1 (candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	13:15:53	13:20:57	13:25:57	13:30:57	13:35:57	13:40:57	13:45:57	13:50:57	13:55:57	14:00:57	14:05:57	14:10:57	14:15:57	14:20:57	14:25:57	14:30:57	14:35:57	14:40:57	14:45:57	14:50:57	14:55:57	15:00:57
Diameter Midpoint
7.10	102309	99712.7	101947	103407	124540	102259	105173	112104	80964.9	52171.3	43630.4	26971.6	23951.8	10206.9	13382.7	8903.21	10569.1	17962.5	18118.5	16402.4	9059.26	13432.8
7.37	82119.8	75972.8	98386.2	94480.1	96290.8	89673.7	90319.2	74115.7	48812.4	40940.7	42407.1	17484.6	21777.9	14224	7686.31	2694.51	14091.6	9930.65	5504.92	14091.6	7686.31	11661.9
7.64	59941.1	57013.4	82932.6	72553.9	87635.6	77018.2	72745.5	78689.7	57087.7	39108.1	25165	19413.7	15317.8	6993.79	9847.18	13129.6	7658.92	11325.8	12139.3	19694.4	9847.18	6328.66
7.91	50456.7	57665.5	59059.9	64292.7	72027.2	73181.2	64339.3	80082.7	54555.9	37407.1	20830.7	21761.1	8472.8	9045.09	10355.6	4707.11	7531.38	5767.92	11869.4	8472.8	4707.11	6793.12
8.20	46061.3	33809.6	57566.9	54775.7	57463.4	40679	42644.4	57273.5	38806.9	23309.6	21919.1	14842.8	6525.19	5709.54	8851.75	8036.1	9787.79	12131.3	4893.89	8156.49	4893.89	8156.49
8.51	37939.4	36313.3	46993.5	53611.8	66217.9	39760.7	54938.3	51565.3	41507.1	17703.3	12104.3	10178.4	10680.2	7120.16	6513.24	6205.99	6812.9	7120.16	7120.16	10680.2	5696.13	4984.11
8.82	36742.2	37978.6	48247.1	37525.9	46154.8	44416.4	49018.4	45457.1	30585.7	29153.9	12202.7	12483.9	7661.82	8738.76	6241.97	3390.34	4014.54	8286.02	6241.97	5617.78	8114.57	6241.97
9.14	25809.5	24408.6	32888.1	39659.3	45768	40645.5	29537	32882.3	26326.6	20179.9	15616.9	8791.7	8640.77	5494.81	5494.81	6044.29	4945.33	5893.37	5478.66	5494.81	3846.37	7143.26
9.47	28742.8	22899.7	31873.3	35848.9	40762.6	43821.5	36910.1	37170.7	23415.3	13298.7	12187.4	10225.4	8277.69	9083.95	5843.07	973.846	2921.54	4382.31	4883.55	5356.15	6816.92	3895.38
9.82	25522	22783.4	31877	30881.3	31152.7	30438	33458.7	31454	26962.7	13852.8	11248.9	9085.69	4759.17	5340.73	4759.17	5191.82	3028.56	1730.61	4901.91	3171.31	5191.82	3603.96
 10.2	25548.3	18707	30968.7	26714.6	27999.1	25036.4	31746	29808.2	23484.8	14581.8	5420.36	5420.36	6191.78	5420.36	2323.01	1548.68	2704.34	2320.09	2582.45	2582.45	3097.35	4899.62
 10.6	23276.3	16553.8	27667.1	25774.1	25012.8	21636.5	19329.5	24767.4	21291.9	14241.5	8905.55	5432.64	4046.1	4043.48	5085.35	4167.48	2783.56	2780.94	3125.61	2083.74	4862.07	1394.4
