Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium 2 (Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	15:10:00	15:15:04	15:20:03	15:25:03	15:30:04	15:35:03	15:40:04	15:45:04	15:50:04	15:55:04	16:00:04	16:05:04	16:10:04	16:15:04	16:20:04	16:25:04	16:30:04	16:35:04	16:40:04	16:45:04	16:50:04
Diameter Midpoint
7.10	7741.51	29905.7	35886.9	41663.8	62658.7	49874.6	55182.3	36565.3	32896.3	13457.6	17739.2	15217.9	22429.3	16448.2	10262.8	11758.1	6511.3	8971.72	18004.3	8971.72	19499.6
7.37	13730.5	22836.1	21567.4	27910.8	35564.1	51095.5	44178.7	29179.5	36791.5	16758.9	20298.8	11459.3	7878.18	12952.9	7612.04	8880.71	8430.9	8144.32	13730.5	11418.1	7387.13
7.64	8668.46	23838.3	21671.2	26258.7	30618.9	48584.7	35757.4	33843.6	23838.3	16279.3	5671.07	15449.1	9524.71	8441.15	11088.9	5924.35	16253.4	16882.3	8921.74	14086.3	8921.74
7.91	14216.9	11651.9	27969.7	25418.9	32427.5	18442.6	33795.7	23322.2	17714.2	16563.9	14931.3	9819.71	7458.6	13984.9	4443.69	9819.71	7458.6	9323.25	8172.99	5593.95	7472.68
8.20	11107.7	17574.6	25040.8	22215.4	24237.8	33725.2	28482.4	17775.6	10912.5	14539.8	7876.66	6462.14	10706.7	5052.36	5860.13	8077.67	5654.37	4038.84	7475.67	4846.6	5453.35
8.51	11282.2	13218	18687.5	24856.7	21856.6	21859.2	30843.7	19036	19384.5	13397.6	5995.08	7933.48	6343.6	4756.33	4051.19	3525.68	4230.81	4935.95	4228.19	5995.08	2292.4
8.82	9272.48	9890.65	19764.4	19154.7	17153.5	28582.3	20537.7	17300.2	9565.89	11745.1	7254.35	7409.52	8499.15	5563.49	3090.83	5563.49	6799.82	4945.32	4171.99	4634.99	4790.16
