Sample File,D:\OlinCollege\All_data\OlinCollege\No Filter\Baseline1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017
Start Time,14:03:00,14:08:03,14:13:03,14:18:03,14:23:03,14:28:03,14:33:03,14:38:03,14:43:03,14:48:03,14:53:03,14:58:03,15:03:03,15:08:04,15:13:04,15:18:04,15:23:04,15:28:04,15:33:04,15:38:04,15:43:04,15:48:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
7.1,1291.08,72038.8,1.28E+06,1.75E+06,3.58E+06,3.63E+06,3.40E+06,2.43E+06,805159,419676,304086,219229,147190,66587.9,68783.2,25685,22225.1,20994.9,10467,10732.1,12227.4,2990.57
7.37,4072.16,98527.5,1.60E+06,1.75E+06,3.11E+06,3.63E+06,3.32E+06,2.39E+06,762051,428345,316046,210540,157747,118110,67772,26417.2,27174.4,31758.1,12952.9,17536.5,6650.74,1534.81
