TSI CPC DATA VERSION 3
1490362412,2017/3/24,13:33:32
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/24,13:33:30,2.49e3,80964,14.91,,1019,0.000,2562,493,0
2017/3/24,13:33:45,2.52e3,82159,14.91,,1019,0.000,2561,460,0
2017/3/24,13:34:00,2.41e3,78564,14.92,,1019,0.000,2569,446,0
2017/3/24,13:34:15,2.34e3,76199,14.92,,1019,0.000,2532,490,0
2017/3/24,13:34:30,2.40e3,78014,14.92,,1019,0.000,2579,466,0
2017/3/24,13:34:45,2.35e3,76471,14.92,,1018,0.000,2572,454,0
2017/3/24,13:35:00,2.33e3,75848,14.92,,1019,0.000,2590,430,0
2017/3/24,13:35:15,2.32e3,75719,14.92,,1019,0.000,2581,446,0
2017/3/24,13:35:30,2.31e3,75275,14.92,,1018,0.000,2548,471,0
2017/3/24,13:35:45,2.29e3,74744,14.92,,1018,0.000,2562,462,0
2017/3/24,13:36:00,2.29e3,74522,14.92,,1019,0.000,2587,462,0
2017/3/24,13:36:15,2.62e3,85175,14.91,,1018,0.000,2612,394,0
2017/3/24,13:36:30,2.45e3,79845,14.92,,1018,0.000,2580,439,0
2017/3/24,13:36:45,2.30e3,74812,14.92,,1018,0.000,2612,422,0
2017/3/24,13:37:00,2.32e3,75533,14.92,,1018,0.000,2583,452,0
2017/3/24,13:37:15,2.55e3,82873,14.91,,1018,0.000,2559,477,0
2017/3/24,13:37:30,2.53e3,82249,14.91,,1018,0.000,2578,451,0
2017/3/24,13:37:45,2.60e3,84569,14.91,,1018,0.000,2570,467,0
2017/3/24,13:38:00,2.52e3,81908,14.91,,1018,0.000,2562,467,0
2017/3/24,13:38:15,2.53e3,82228,14.91,,1018,0.000,2570,457,0
2017/3/24,13:38:30,2.52e3,82012,14.91,,1018,0.000,2553,479,0
2017/3/24,13:38:45,2.57e3,83796,14.91,,1018,0.000,2554,440,0
2017/3/24,13:39:00,2.61e3,84945,14.91,,1018,0.000,2545,505,0
